Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,TEAM RADSPORT BUCHSTALLER 3 ,4077,RELAY,,00:46:22,04:16:07,02:31:54,07:37:19,Challenge Roth,07/07/2019,"Roth, Germany"
1, Andreas Dreitz,2,M MPRO,GER,00:51:28,04:13:10,02:51:10,07:59:02,Challenge Roth,07/07/2019,"Roth, Germany"
2,TEAM TWENTY.SIX BY DER BARANSKI ,4082,RELAY,,00:50:11,04:36:09,02:31:25,08:00:57,Challenge Roth,07/07/2019,"Roth, Germany"
2, Jesper Svensson,28,M MPRO,SWE,00:48:27,04:22:30,02:48:41,08:02:20,Challenge Roth,07/07/2019,"Roth, Germany"
3, Cameron Dr. Wurf,5,M MPRO,AUS,00:54:38,04:15:53,02:50:36,08:04:08,Challenge Roth,07/07/2019,"Roth, Germany"
4, Bart Aernouts,1,M MPRO,BEL,00:56:11,04:17:56,02:47:48,08:04:48,Challenge Roth,07/07/2019,"Roth, Germany"
5, David McNamee,10,M MPRO,GBR,00:50:21,04:31:38,02:41:00,08:05:50,Challenge Roth,07/07/2019,"Roth, Germany"
6, Alessandro Degasperi,13,M MPRO,ITA,00:53:45,04:29:01,02:42:03,08:08:24,Challenge Roth,07/07/2019,"Roth, Germany"
7, Andy Potts,8,M MPRO,USA,00:50:20,04:17:42,02:58:19,08:09:39,Challenge Roth,07/07/2019,"Roth, Germany"
3,MARIS-IT MIXED ,4231,RELAY,,01:02:41,04:25:56,02:37:33,08:09:52,Challenge Roth,07/07/2019,"Roth, Germany"
8, Jens Petersen-Bach,47,M MPRO,DEN,00:51:38,04:30:12,02:48:07,08:13:01,Challenge Roth,07/07/2019,"Roth, Germany"
1, Christian Störzer,21,M 35,GER,00:56:37,04:26:21,02:51:09,08:17:47,Challenge Roth,07/07/2019,"Roth, Germany"
9, Matthew Russell,14,M MPRO,USA,00:57:23,04:25:33,02:52:06,08:18:11,Challenge Roth,07/07/2019,"Roth, Germany"
10, Lukas Krämer,9,M MPRO,GER,00:56:05,04:26:17,02:53:40,08:19:15,Challenge Roth,07/07/2019,"Roth, Germany"
11, Christian Altstadt,11,M MPRO,GER,00:56:10,04:28:30,02:55:08,08:21:12,Challenge Roth,07/07/2019,"Roth, Germany"
12, Evert Prof. Scheltinga,7,M MPRO,NED,00:51:34,04:30:02,02:58:00,08:22:39,Challenge Roth,07/07/2019,"Roth, Germany"
4,OFFIZIERSCHULE DER LUFTWAFFE ,4235,RELAY,,00:52:43,04:43:44,02:44:24,08:23:48,Challenge Roth,07/07/2019,"Roth, Germany"
13, Pete Dyson,34,M MPRO,GBR,00:57:47,04:28:47,02:57:01,08:26:26,Challenge Roth,07/07/2019,"Roth, Germany"
5,TEAM RADSPORT BUCHSTALLER 1 ,4075,RELAY,,00:50:20,04:47:46,02:46:57,08:27:46,Challenge Roth,07/07/2019,"Roth, Germany"
6,TEAM FITTERTEC ,4034,RELAY,,00:53:06,04:52:47,02:39:55,08:28:46,Challenge Roth,07/07/2019,"Roth, Germany"
1, Mathieu Paolillo,155,M 30,FRA,00:52:47,04:31:01,03:01:29,08:28:50,Challenge Roth,07/07/2019,"Roth, Germany"
14, Markus Hörmann,22,M MPRO,GER,00:56:06,04:26:51,03:03:30,08:29:02,Challenge Roth,07/07/2019,"Roth, Germany"
7,BASICA SPORT ,4227,RELAY,,00:52:30,04:28:33,03:05:36,08:29:27,Challenge Roth,07/07/2019,"Roth, Germany"
1, Lucy Charles-Barclay,100,F WPRO,GBR,00:49:01,04:39:19,02:59:41,08:31:09,Challenge Roth,07/07/2019,"Roth, Germany"
8,TRI TEAM FFB MIXED ,4229,RELAY,,00:57:15,04:50:19,02:43:51,08:34:34,Challenge Roth,07/07/2019,"Roth, Germany"
15, Michael Kalb,38,M MPRO,GER,00:53:37,04:37:30,03:02:22,08:36:44,Challenge Roth,07/07/2019,"Roth, Germany"
16, Johannes Moldan,20,M MPRO,GER,00:56:03,04:29:01,03:10:03,08:37:58,Challenge Roth,07/07/2019,"Roth, Germany"
2, Sarah Crowley,101,F WPRO,AUS,00:54:38,04:40:12,03:00:01,08:38:11,Challenge Roth,07/07/2019,"Roth, Germany"
17, Jef Van Meirhaeghe,42,M MPRO,BEL,00:58:49,04:26:26,03:09:05,08:38:14,Challenge Roth,07/07/2019,"Roth, Germany"
18, Carson Christen,39,M MPRO,USA,00:54:08,04:40:46,03:02:49,08:40:40,Challenge Roth,07/07/2019,"Roth, Germany"
1, Alexander Siegmund,18,M 25,GER,01:00:20,04:36:39,03:00:41,08:40:57,Challenge Roth,07/07/2019,"Roth, Germany"
2, Tobias Schmutzler,230,M 30,GER,00:51:33,04:41:43,03:04:50,08:41:51,Challenge Roth,07/07/2019,"Roth, Germany"
19, Simon Schwarz,31,M MPRO,GER,00:58:28,04:34:19,03:05:59,08:41:54,Challenge Roth,07/07/2019,"Roth, Germany"
2, Márcio Neves,149,M 35,POR,00:52:12,04:44:39,03:00:54,08:42:24,Challenge Roth,07/07/2019,"Roth, Germany"
20, Juan Bautista Dr. Nadal Clar,24,M MPRO,ESP,00:57:40,04:45:06,02:57:11,08:42:57,Challenge Roth,07/07/2019,"Roth, Germany"
3, Nathan Ford,165,M 35,GBR,00:48:48,04:44:18,03:06:36,08:43:12,Challenge Roth,07/07/2019,"Roth, Germany"
1, Daniela Bleymehl,3999,F 30,GER,00:58:03,04:36:16,03:06:05,08:43:17,Challenge Roth,07/07/2019,"Roth, Germany"
2, Andreas Wittmann,234,M 25,GER,00:57:45,04:43:14,02:59:45,08:44:40,Challenge Roth,07/07/2019,"Roth, Germany"
1, Matthias Raeke,26,M 45,AUT,00:57:53,04:38:25,03:04:26,08:44:52,Challenge Roth,07/07/2019,"Roth, Germany"
3, Jesper Vejlby,241,M 25,DEN,00:55:26,04:49:57,02:56:17,08:44:54,Challenge Roth,07/07/2019,"Roth, Germany"
3, Markus Stöhr,90,M 30,GER,00:58:15,04:42:15,03:02:56,08:47:05,Challenge Roth,07/07/2019,"Roth, Germany"
4, Fabian Conrad,212,M 30,GER,00:52:32,04:46:17,03:04:49,08:47:46,Challenge Roth,07/07/2019,"Roth, Germany"
4, Nico Wittmann,95,M 25,GER,00:55:16,04:46:00,03:03:30,08:47:56,Challenge Roth,07/07/2019,"Roth, Germany"
3, Agnieszka Jerzyk,110,F WPRO,POL,00:54:41,04:42:58,03:08:16,08:48:49,Challenge Roth,07/07/2019,"Roth, Germany"
4, Andreas Sperber,202,M 35,GER,00:57:16,04:42:29,03:05:22,08:49:17,Challenge Roth,07/07/2019,"Roth, Germany"
5, David Dr. Atkinson,219,M 30,GBR,00:57:22,04:47:56,03:01:19,08:49:41,Challenge Roth,07/07/2019,"Roth, Germany"
5, Alexander Riwny,134,M 35,GER,00:57:41,04:42:13,03:04:33,08:49:54,Challenge Roth,07/07/2019,"Roth, Germany"
6, Travis Hawkins,186,M 35,USA,00:57:22,04:42:27,03:06:20,08:51:10,Challenge Roth,07/07/2019,"Roth, Germany"
6, Nico Muschiol,179,M 30,GER,01:10:18,04:36:27,03:01:05,08:51:18,Challenge Roth,07/07/2019,"Roth, Germany"
7, Pat Redner,30,M 30,USA,00:52:16,04:52:04,03:03:30,08:51:48,Challenge Roth,07/07/2019,"Roth, Germany"
5, Fabian Schaffert,353,M 25,GER,00:57:01,04:40:56,03:10:52,08:52:14,Challenge Roth,07/07/2019,"Roth, Germany"
1, Xavier Dr. Phlippe,162,M 40,FRA,01:03:37,04:29:55,03:13:45,08:52:20,Challenge Roth,07/07/2019,"Roth, Germany"
7, Lukas Slatinsky,49,M 35,CZE,00:55:08,04:47:13,03:06:48,08:52:28,Challenge Roth,07/07/2019,"Roth, Germany"
8, Nico Seitter,206,M 30,GER,00:57:46,04:48:09,03:02:37,08:52:28,Challenge Roth,07/07/2019,"Roth, Germany"
9, Sami Götz,127,M 30,SUI,00:55:37,04:41:35,03:12:43,08:52:55,Challenge Roth,07/07/2019,"Roth, Germany"
21, Rodrigo Dr. Romero Garcia De La Cadena,41,M MPRO,MEX,00:56:08,04:50:06,03:02:08,08:53:07,Challenge Roth,07/07/2019,"Roth, Germany"
8, Toon Veldeman,93,M 35,BEL,00:55:23,04:50:34,03:03:36,08:53:25,Challenge Roth,07/07/2019,"Roth, Germany"
2, Valdo Neves,237,M 40,POR,00:55:30,04:50:33,03:02:34,08:53:29,Challenge Roth,07/07/2019,"Roth, Germany"
2, Declan Prof. Doyle,132,M 45,IRL,01:00:47,04:45:33,03:01:53,08:53:36,Challenge Roth,07/07/2019,"Roth, Germany"
10, Martin Wonke,185,M 30,GER,01:06:28,04:41:27,03:01:28,08:53:48,Challenge Roth,07/07/2019,"Roth, Germany"
4, Carolin Lehrieder,118,F WPRO,GER,00:54:36,04:40:25,03:17:12,08:55:13,Challenge Roth,07/07/2019,"Roth, Germany"
11, Alessandro Dr. Conzatti,199,M 30,ITA,00:55:28,04:44:24,03:11:47,08:55:20,Challenge Roth,07/07/2019,"Roth, Germany"
9, Alain Friedrich,464,M 35,SUI,00:55:07,04:39:39,03:16:54,08:56:25,Challenge Roth,07/07/2019,"Roth, Germany"
12, James Prof. Dr. Elgar,37,M 30,GBR,00:57:47,04:54:25,03:01:15,08:56:48,Challenge Roth,07/07/2019,"Roth, Germany"
13, Tim Dr. Koniarski,124,M 30,GER,00:59:08,04:43:37,03:09:58,08:56:53,Challenge Roth,07/07/2019,"Roth, Germany"
3, Marc Werner,166,M 40,GER,00:58:53,04:57:13,02:56:30,08:57:08,Challenge Roth,07/07/2019,"Roth, Germany"
10, Johannes Egelseer,167,M 35,GER,00:55:18,04:45:21,03:12:22,08:57:22,Challenge Roth,07/07/2019,"Roth, Germany"
14, Peter Dahlmann,289,M 30,GER,01:03:56,04:44:07,03:05:09,08:57:30,Challenge Roth,07/07/2019,"Roth, Germany"
