Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Frodeno,2,M MPRO,GER,00:45:22,04:08:06,02:39:17,07:35:39,Challenge Roth,07/17/2016,"Roth, Germany"
3,TEAM ARNDT - ALARMVERFOLGER ,4073,RELAY,,00:48:22,04:24:58,02:36:49,07:53:20,Challenge Roth,07/17/2016,"Roth, Germany"
2,Joe Dr. Skipper,7,M MPRO,GBR,00:52:36,04:21:11,02:38:52,07:56:23,Challenge Roth,07/17/2016,"Roth, Germany"
3,Nils Frommhold,1,M MPRO,GER,00:46:59,04:17:34,02:48:49,07:57:49,Challenge Roth,07/17/2016,"Roth, Germany"
4,HERRMANN RADTEAM 2 ,4012,RELAY,,00:54:37,04:20:26,02:42:06,07:59:54,Challenge Roth,07/17/2016,"Roth, Germany"
4,Cyril Viennot,5,M MPRO,FRA,00:52:19,04:21:59,02:45:14,08:02:44,Challenge Roth,07/17/2016,"Roth, Germany"
5,Nick Kastelein,17,M MPRO,AUS,00:46:57,04:19:30,02:56:01,08:05:03,Challenge Roth,07/17/2016,"Roth, Germany"
7,SCHWEINEHUND RUDEL ,4201,RELAY,,00:48:26,04:33:46,02:49:59,08:14:56,Challenge Roth,07/17/2016,"Roth, Germany"
6,Tyler Butterfield,3,M MPRO,BER,00:48:56,04:17:17,03:08:45,08:18:39,Challenge Roth,07/17/2016,"Roth, Germany"
8,TEAM ARNDT - REVIER ,4078,RELAY,,00:54:56,04:35:48,02:45:34,08:19:10,Challenge Roth,07/17/2016,"Roth, Germany"
7,Fabian Rahn,22,M MPRO,GER,00:55:44,04:33:04,02:47:55,08:20:11,Challenge Roth,07/17/2016,"Roth, Germany"
8,Per Bittner,4,M MPRO,GER,00:49:00,04:32:01,02:57:24,08:21:28,Challenge Roth,07/17/2016,"Roth, Germany"
1,Daniela Ryf,57,F WPRO,SUI,00:49:10,04:31:28,02:57:38,08:22:04,Challenge Roth,07/17/2016,"Roth, Germany"
9,Jan Raphael,6,M MPRO,GER,00:48:58,04:32:26,03:00:40,08:24:55,Challenge Roth,07/17/2016,"Roth, Germany"
10,Tobias Heining,13,M MPRO,GER,00:48:58,04:34:13,03:00:18,08:26:43,Challenge Roth,07/17/2016,"Roth, Germany"
9,LAUFSTIL TEAM 1 ,4486,RELAY,,00:55:54,04:46:15,02:42:32,08:27:40,Challenge Roth,07/17/2016,"Roth, Germany"
11,Marcel Bischof,14,M MPRO,GER,00:55:20,04:38:37,02:50:31,08:27:48,Challenge Roth,07/17/2016,"Roth, Germany"
12,Jordan Bryden,3479,M MPRO,CAN,00:48:22,04:34:44,03:01:34,08:28:38,Challenge Roth,07/17/2016,"Roth, Germany"
11,HINTEN-KACKT-DIE-ENTE ,4218,RELAY,,00:55:35,04:53:11,02:39:34,08:31:32,Challenge Roth,07/17/2016,"Roth, Germany"
12,LAUFGRUPPE WASSERSUPPE E.V. ,4205,RELAY,,00:55:28,04:38:17,02:55:50,08:32:10,Challenge Roth,07/17/2016,"Roth, Germany"
13,Julien Marcq,43,M MPRO,FRA,00:53:37,04:41:50,02:58:34,08:37:21,Challenge Roth,07/17/2016,"Roth, Germany"
