Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Tomas Andres Rodriguez Hernandez,1221,MPRO,MEX,00:24:08,02:13:10,01:15:43,03:58:05,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Eduardo Perez Sandi,53,M18-24,MEX,00:26:13,02:21:37,01:22:13,04:13:11,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Eduardo Elias Moreno Castaneda,1134,M25-29,MEX,00:24:51,02:22:12,01:22:37,04:13:17,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Alberto Balderas Femat,816,M35-39,MEX,00:23:51,02:20:14,01:26:44,04:15:35,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Roberto Ramses Cambray Rodriguez,718,M30-34,MEX,00:26:06,02:32:37,01:22:03,04:25:31,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Manuel Lozano,62,M40-44,MEX,00:27:10,02:19:43,01:33:33,04:25:48,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
2,Leoncio Sanchez,59,M35-39,MEX,00:28:03,02:25:09,01:29:38,04:27:31,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
2,Javier Zafra De Ita,758,M30-34,MEX,00:29:29,02:26:08,01:28:51,04:29:25,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
3,Juan Manuel Aguilar Bustillos,111,M30-34,MEX,00:31:22,02:26:16,01:27:59,04:29:27,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Alina Hanschke Busch,66,F35-39,MEX,00:30:35,02:32:19,01:21:52,04:29:31,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
2,Benito Lozada Torres,73,M18-24,MEX,00:27:35,02:27:24,01:30:59,04:29:34,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
3,Rodrigo Gabriel,81,M35-39,GTM,00:29:34,02:29:12,01:26:40,04:29:44,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Jose Antonio Gonzalez Alvarez,1169,M45-49,MEX,00:27:19,02:30:50,01:28:23,04:30:50,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
2,Enrique Gongora,139,M40-44,MEX,00:33:24,02:24:09,01:27:18,04:30:52,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
4,Gerardo Delvillar,72,M35-39,MEX,00:33:03,02:24:48,01:28:41,04:31:43,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
2,Fabian Ricardo Velazquez Rangel,433,M25-29,MEX,00:23:59,02:36:22,01:28:50,04:33:48,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
-,Team Nightriders 3 (bere & Gus),474,RELAY-U,MEX,00:28:46,02:29:54,01:32:24,04:34:32,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
4,Cristian David Zapata Vargas,148,M30-34,COL,00:25:22,02:26:49,01:37:02,04:35:07,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
3,Juan Luis Jacinto,626,M18-24,MEX,00:29:40,02:31:17,01:31:06,04:35:30,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
5,Jose Miguel Hernandez Espinosa,216,M30-34,MEX,00:25:11,02:33:51,01:33:25,04:36:48,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
6,Ernesto Fernandez,156,M30-34,PAN,00:29:10,02:32:47,01:31:29,04:37:43,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
3,Jesus Roberto Gutierrez Lopez,684,M25-29,MEX,00:25:20,02:25:41,01:42:09,04:37:44,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
3,Jorge Alberto Vazquez Arellano,865,M40-44,MEX,00:27:01,02:24:25,01:43:02,04:37:52,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
4,Claudio Avila Vazquez,104,M18-24,MEX,00:30:21,02:32:49,01:31:43,04:39:09,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
4,Jacob Pearson,643,M25-29,USA,00:24:32,02:31:42,01:37:42,04:39:27,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
5,Eugenio Benito Soto,1179,M35-39,MEX,00:34:00,02:29:24,01:31:29,04:39:46,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
4,Lars Hanschke,199,M40-44,MEX,00:32:45,02:34:03,01:28:30,04:40:05,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
6,Diego Castillo Rangel,1350,M35-39,MEX,00:31:38,02:33:44,01:31:34,04:41:17,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
5,Javier Cepeda Navarro,123,M40-44,COL,00:29:21,02:27:55,01:38:01,04:41:59,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
6,Humberto Suarez Medina,179,M40-44,MEX,00:31:10,02:33:11,01:33:25,04:42:39,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
7,Alan Quintanar,796,M35-39,MEX,00:27:53,02:34:40,01:35:49,04:43:11,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Lorenza Guzman,94,F25-29,MEX,00:25:52,02:36:19,01:37:05,04:43:31,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
5,Jose Luis Ortega Nicasio,1187,M25-29,MEX,00:31:48,02:32:46,01:35:28,04:43:34,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
7,Juan Eduardo Olvera Gonzalez,61,M40-44,MEX,00:31:45,02:30:29,01:35:55,04:43:44,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
2,Jose Marcos Reyes,64,M45-49,MEX,00:30:03,02:28:56,01:41:05,04:45:51,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Julia Iglesias,162,F18-24,BRA,00:28:32,02:36:20,01:38:02,04:46:20,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
6,Jose Canela,676,M25-29,MEX,00:32:04,02:28:11,01:38:46,04:46:43,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
5,Alberto Del Bosque,593,M18-24,MEX,00:25:29,02:38:08,01:38:44,04:46:45,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
7,Luis Azpeitia,1184,M30-34,MEX,00:28:04,02:38:13,01:35:26,04:47:04,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Team Los Pajarracos,405,RELAY-M,MEX,00:30:05,02:29:30,01:43:32,04:47:16,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
8,Luis Enrique Lopez Albarran,861,M40-44,MEX,00:30:59,02:37:06,01:34:44,04:47:17,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Ursula Legaria Menendez,95,F30-34,MEX,00:30:20,02:36:23,01:36:09,04:47:38,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
6,Sergio Lopez Ramirez,152,M18-24,MEX,00:34:11,02:32:58,01:34:39,04:47:39,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
8,Edwin Gerardo Mendoza Ibarra,58,M35-39,MEX,00:32:47,02:29:34,01:40:04,04:47:48,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
9,Gabriel Brinkman,122,M40-44,MEX,00:30:27,02:35:11,01:35:56,04:47:53,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
10,Christian Bauer,1155,M40-44,GTM,00:34:22,02:34:18,01:34:50,04:47:55,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
9,Alexandre Borsatto,173,M35-39,BRA,00:33:54,02:30:39,01:39:40,04:48:41,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
8,Diego Ibarra,343,M30-34,GTM,00:29:20,02:34:05,01:40:27,04:48:45,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
11,Enrique Benavente,952,M40-44,MEX,00:32:21,02:39:14,01:31:37,04:49:07,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
10,Luis Daniel Piz Hernandez,809,M35-39,MEX,00:32:08,02:31:54,01:41:34,04:49:38,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
12,Jose De La Roca,118,M40-44,GTM,00:31:36,02:39:42,01:32:39,04:49:41,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
11,Gonzalo Andres Araya Kopaitic,845,M35-39,CHL,00:31:45,02:25:03,01:45:38,04:49:50,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
7,Miguel Angel Garcia Ramos,1244,M25-29,MEX,00:25:44,02:36:29,01:41:37,04:50:06,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
12,Rodrigo Aviles,366,M35-39,MEX,00:34:16,02:33:22,01:34:41,04:50:31,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
13,Juventino Marquez,843,M35-39,MEX,00:29:19,02:37:48,01:39:22,04:50:34,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
3,Omar Garcia,234,M45-49,MEX,00:29:32,02:34:23,01:40:07,04:50:40,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
9,Geovanny Alejandro Porras Hernandez,57,M30-34,MEX,00:34:29,02:27:04,01:42:40,04:50:41,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
14,Jose Guillermo Ramirez Galindo,1156,M35-39,MEX,00:36:52,02:33:49,01:33:56,04:50:56,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
8,Alonso Gonzalez Lopez,636,M25-29,MEX,00:33:05,02:36:25,01:36:37,04:51:01,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
13,Javier Carvallo,239,M40-44,MEX,00:33:04,02:41:02,01:31:13,04:51:10,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
9,Alejandro Betanzos,662,M25-29,MEX,00:30:30,02:33:50,01:41:42,04:51:41,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
7,Gerardo Lozada Torres,247,M18-24,MEX,00:28:57,02:32:52,01:40:51,04:52:01,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
15,Juan Jose Sainz,222,M35-39,MEX,00:33:05,02:37:12,01:37:16,04:52:10,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
4,Alejandro Casanova Gonzalez,83,M45-49,CHL,00:29:16,02:34:19,01:44:32,04:52:41,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
16,Guilherme Menge,116,M35-39,BRA,00:28:19,02:22:01,01:56:18,04:52:41,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
10,Antonio Carmona Madrazo,1246,M30-34,MEX,00:35:41,02:39:02,01:32:22,04:53:01,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
2,Marina Guzman Hentschel,456,F18-24,MEX,00:26:31,02:38:08,01:44:19,04:53:06,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
17,Hector Quezada,773,M35-39,MEX,00:33:28,02:30:01,01:45:16,04:53:43,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
11,Hugo Fabian Porras Hernandez,68,M30-34,MEX,00:36:29,02:25:41,01:46:19,04:53:49,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
8,Inigo Armando Perez Irigoyen,601,M18-24,MEX,00:34:16,02:36:06,01:38:26,04:53:53,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Maria Florencia Fraga,98,F40-44,ARG,00:27:21,02:45:18,01:37:04,04:54:20,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
14,Jose Antonio Palomo Miranda,181,M40-44,MEX,00:33:41,02:37:52,01:37:38,04:54:30,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
2,Katya Olivares Alvarez,543,F40-44,MEX,00:34:41,02:45:35,01:28:55,04:54:31,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
12,Leonardo Hernandez Zuniga,272,M30-34,CRI,00:30:46,02:41:12,01:38:05,04:54:45,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
13,Eugenio Chacon,756,M30-34,MEX,00:33:02,02:34:16,01:40:20,04:55:16,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
18,Daniel Kawas,365,M35-39,MEX,00:36:54,02:35:35,01:36:46,04:55:17,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
19,Eduardo Zonana Cohen,197,M35-39,MEX,00:32:16,02:34:02,01:44:17,04:55:19,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Rafael Sanchez Nazariega,1058,M50-54,MEX,00:36:38,02:33:23,01:40:25,04:55:43,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
9,Salvador Stefanoni Zanella,588,M18-24,MEX,00:30:28,02:26:20,01:52:52,04:56:03,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
20,Alejandro Orellana Silva,1188,M35-39,MEX,00:38:18,02:33:53,01:37:34,04:56:06,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
14,Dan Agustin Encalada,108,M30-34,ARG,00:30:02,02:39:11,01:41:39,04:56:17,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
15,Jorge Cardoso Padilla,1201,M40-44,MEX,00:31:00,02:36:42,01:44:23,04:57:00,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
21,Keving Palacios Perez,827,M35-39,MEX,00:29:57,02:33:09,01:49:02,04:57:03,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
15,Eduardo Cortes Galvez,693,M30-34,MEX,00:31:42,02:34:22,01:46:07,04:57:04,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
16,Julien Belliot,110,M30-34,FRA,00:30:45,02:37:15,01:43:24,04:57:09,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
10,Benjamin Pedroza Velazquez,165,M25-29,MEX,00:33:02,02:40:44,01:38:38,04:57:40,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
16,Mauricio Beltran Silva,257,M40-44,MEX,00:36:56,02:35:52,01:38:05,04:57:40,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
11,Hugo Alfredo Cruz Aviles,106,M25-29,MEX,00:32:41,02:42:18,01:36:33,04:57:43,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
17,Peter Zimeri,1195,M40-44,GTM,00:29:36,02:36:02,01:46:41,04:57:44,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
22,Guillermo Morbelli,1214,M35-39,ARG,00:34:24,02:38:58,01:38:46,04:58:07,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
18,Juan Manuel Vasquez Tobon,209,M40-44,COL,00:29:44,02:29:48,01:54:27,04:58:26,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
-,Team Bigotes Team,382,RELAY-U,MEX,00:31:57,02:39:17,01:44:12,04:58:34,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
17,Luis Sanchez,168,M30-34,MEX,00:32:25,02:46:26,01:34:29,04:58:47,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
3,Isabela Alvarez Rojo,457,F18-24,MEX,00:30:41,02:44:43,01:37:47,04:58:52,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
12,Jorge Garcia Lascurain Barrantes,359,M25-29,MEX,00:28:59,02:38:23,01:44:44,04:59:11,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
19,Arturo Busto Herrejon,220,M40-44,MEX,00:30:15,02:35:15,01:48:33,04:59:39,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
1,Team Chill To Kill,388,RELAY-F,MEX,00:31:49,02:49:42,01:34:34,04:59:57,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
2,Ana Karina Orellana,1227,F30-34,MEX,00:34:40,02:45:30,01:34:13,05:00:04,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
23,Mauricio Coste,1236,M35-39,MEX,00:31:03,02:39:43,01:43:38,05:00:05,Ironman 70.3 Acapulco,05/23/2021,"Acapulco, Mexico"
