Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Clément Mignon,20,MPRO,FRA,00:24:21,02:36:40,01:16:44,04:22:55,Ironman 70.3 Andorra,07/04/2021,Andorra
2,Michele Sarzilla,12,MPRO,ITA,00:23:50,02:44:56,01:11:20,04:24:46,Ironman 70.3 Andorra,07/04/2021,Andorra
3,Cameron Wurf,2,MPRO,AUS,00:27:16,02:31:32,01:22:30,04:25:52,Ironman 70.3 Andorra,07/04/2021,Andorra
4,Jon Sæverås Breivold,14,MPRO,NOR,00:29:25,02:39:48,01:12:16,04:27:23,Ironman 70.3 Andorra,07/04/2021,Andorra
5,Théo Debard,18,MPRO,FRA,00:27:18,02:39:30,01:16:19,04:27:37,Ironman 70.3 Andorra,07/04/2021,Andorra
6,Erik Merino,11,MPRO,ESP,00:27:16,02:43:51,01:14:32,04:30:13,Ironman 70.3 Andorra,07/04/2021,Andorra
7,William Mennesson,4,MPRO,FRA,00:25:46,02:46:28,01:17:04,04:34:34,Ironman 70.3 Andorra,07/04/2021,Andorra
8,Thomas Navarro,16,MPRO,FRA,00:27:22,02:43:10,01:19:34,04:34:42,Ironman 70.3 Andorra,07/04/2021,Andorra
9,Erwan Jacobi,15,MPRO,FRA,00:27:13,02:43:00,01:20:35,04:35:26,Ironman 70.3 Andorra,07/04/2021,Andorra
10,Oliver Martinussen,21,MPRO,DNK,00:27:20,02:44:57,01:18:48,04:35:43,Ironman 70.3 Andorra,07/04/2021,Andorra
11,Jordi Montraveta Moya,22,MPRO,ESP,00:27:23,02:43:12,01:21:27,04:36:39,Ironman 70.3 Andorra,07/04/2021,Andorra
12,Victor Del Corral,30,MPRO,ESP,00:30:30,02:47:14,01:15:58,04:38:59,Ironman 70.3 Andorra,07/04/2021,Andorra
13,David McNamee,1,MPRO,GBR,00:24:08,02:56:21,01:14:19,04:39:15,Ironman 70.3 Andorra,07/04/2021,Andorra
1,Blair Fullarton-Loggie,684,M18-24,GBR,00:26:00,02:51:39,01:20:19,04:44:00,Ironman 70.3 Andorra,07/04/2021,Andorra
14,Etienne Diemunsch,7,MPRO,FRA,00:24:04,02:52:13,01:28:17,04:49:11,Ironman 70.3 Andorra,07/04/2021,Andorra
15,Kristoffer Säfström,19,MPRO,SWE,00:31:18,02:50:17,01:22:19,04:49:25,Ironman 70.3 Andorra,07/04/2021,Andorra
16,Gwenael Ouilleres,32,MPRO,FRA,00:28:18,02:56:52,01:21:49,04:52:30,Ironman 70.3 Andorra,07/04/2021,Andorra
17,Xavier Jove,34,MPRO,AND,00:31:14,02:51:15,01:25:09,04:53:00,Ironman 70.3 Andorra,07/04/2021,Andorra
2,Luca Holer,749,M18-24,CHE,00:26:09,02:55:19,01:26:05,04:53:03,Ironman 70.3 Andorra,07/04/2021,Andorra
1,Thomas Davies,128,M25-29,GBR,00:30:09,02:52:52,01:24:34,04:53:22,Ironman 70.3 Andorra,07/04/2021,Andorra
18,Charles Bouin,31,MPRO,FRA,00:29:11,02:58:55,01:20:49,04:54:24,Ironman 70.3 Andorra,07/04/2021,Andorra
19,Robert Budai,29,MPRO,ROU,00:27:19,03:04:54,01:18:28,04:55:34,Ironman 70.3 Andorra,07/04/2021,Andorra
2,Carlos Cobos Márquez,311,M25-29,ESP,00:33:45,02:53:56,01:21:21,04:57:08,Ironman 70.3 Andorra,07/04/2021,Andorra
1,Alberto Bravo Sánchez,704,M40-44,ESP,00:28:33,02:59:47,01:22:30,04:58:06,Ironman 70.3 Andorra,07/04/2021,Andorra
1,Stéphane Gomez,732,M45-49,FRA,00:24:42,03:05:40,01:22:28,04:58:24,Ironman 70.3 Andorra,07/04/2021,Andorra
3,Bastien Crete,688,M25-29,AND,00:27:52,02:50:26,01:33:49,04:59:02,Ironman 70.3 Andorra,07/04/2021,Andorra
