Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Paul Stevenson,140,M18-24,USA,00:27:27,02:14:13,01:22:37,04:07:37,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,Luigi Grullon,383,M40-44,DOM,00:33:57,02:17:31,01:21:58,04:17:38,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,Matthew Woodrow,48,M25-29,USA,00:27:32,02:26:48,01:24:15,04:23:34,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,Bryan Shiflett,703,M45-49,USA,00:31:35,02:24:21,01:24:31,04:24:23,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
2,Philippe Chevrier,58,M40-44,CHE,00:34:45,02:22:06,01:24:33,04:24:59,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,Brian Folts,61,M30-34,USA,00:31:53,02:23:30,01:27:12,04:25:49,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
2,Jeffrey Gautreau,1712,M18-24,USA,00:27:45,02:24:25,01:31:49,04:27:15,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
2,Michael Whitesides,97,M45-49,USA,00:36:16,02:19:47,01:28:50,04:28:32,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
2,Kevin Coyle,86,M30-34,USA,00:30:56,02:19:51,01:34:15,04:29:09,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
3,David Welby,63,M30-34,USA,00:31:31,02:25:24,01:29:24,04:30:07,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
3,Arthur Mathisen,67,M45-49,USA,00:30:05,02:20:25,01:35:23,04:30:18,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
4,Kevin Hughes,66,M45-49,USA,00:34:02,02:21:21,01:32:31,04:32:32,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
5,Matthew Duke,172,M45-49,USA,00:31:34,02:18:11,01:38:24,04:32:48,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
2,Deo Erik Paolo Timbol,1805,M25-29,PHL,00:30:18,02:26:02,01:31:57,04:33:03,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
4,Brian Lambert,62,M30-34,USA,00:31:56,02:26:39,01:32:00,04:34:14,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
6,Darren Gill,65,M45-49,USA,00:31:27,02:18:42,01:40:05,04:35:47,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,Sophie Chevrier,102,F40-44,CHE,00:33:28,02:28:51,01:29:45,04:35:55,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
5,Sergio Clemente Filho,85,M30-34,USA,00:28:51,02:24:54,01:38:59,04:36:27,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
3,Dallas Louden,1831,M25-29,USA,00:31:29,02:23:46,01:38:40,04:37:32,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
7,Brent Martin,184,M45-49,USA,00:35:15,02:26:52,01:30:32,04:37:39,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
8,Taylor Dudley,252,M45-49,USA,00:31:38,02:28:38,01:33:11,04:37:52,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
6,Anthony Nelson,534,M30-34,USA,00:33:28,02:24:55,01:36:26,04:40:28,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,Denny Silva,850,M35-39,VEN,00:33:14,02:31:42,01:31:20,04:40:32,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,Team We Don’t Care,4035,RELAY,USA,00:29:50,02:24:04,01:44:43,04:42:03,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
7,Gage Bonestroo,483,M30-34,USA,00:31:08,02:25:10,01:41:02,04:42:07,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,Tod Smith,1474,M50-54,USA,00:31:45,02:23:53,01:41:31,04:42:19,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
3,John Patterson,83,M40-44,USA,00:34:31,02:23:10,01:42:06,04:44:17,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
8,Roy Hichens,516,M30-34,USA,00:31:37,02:30:10,01:37:29,04:44:22,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
4,Ben Grafentin,141,M25-29,USA,00:33:03,02:30:34,01:39:58,04:48:35,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
5,Brendan Thomas,249,M25-29,USA,00:38:04,02:28:00,01:38:39,04:48:55,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,Monica Folts,75,F30-34,USA,00:35:49,02:37:57,01:31:51,04:49:25,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
3,Grant Grafentin,138,M18-24,USA,00:32:54,02:38:29,01:33:39,04:49:35,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
9,Garon McHone,164,M30-34,USA,00:35:41,02:17:07,01:52:05,04:49:39,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
6,Alexander Betances,1738,M25-29,USA,00:36:39,02:28:50,01:40:04,04:50:23,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
2,Darrin Rohr,131,M50-54,USA,00:31:59,02:31:09,01:42:08,04:50:59,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
9,Rick Jaime,94,M45-49,USA,00:32:59,02:27:16,01:46:50,04:51:14,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
4,James Edwards,366,M40-44,USA,00:35:07,02:44:30,01:26:58,04:51:18,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
10,Kory McCarthy,162,M30-34,USA,00:33:49,02:36:13,01:38:17,04:52:08,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
7,Carlos Eden Rodriguez Mendoza,1784,M25-29,MEX,00:29:17,02:34:50,01:43:46,04:52:39,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
5,David Steindam,306,M40-44,USA,00:34:40,02:33:54,01:40:32,04:53:47,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
2,Ben Larson,68,M35-39,USA,00:37:27,02:34:33,01:37:50,04:53:47,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
3,Adam Hergenrother,779,M35-39,USA,00:38:49,02:28:04,01:41:48,04:54:11,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
10,Barry Tait,95,M45-49,GBR,00:37:37,02:32:57,01:40:12,04:54:30,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
6,Erren Oleary,59,M40-44,USA,00:38:06,02:29:04,01:42:57,04:54:46,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
8,Justin Thornley,1803,M25-29,USA,00:28:08,02:42:21,01:39:33,04:55:13,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
11,Ben Coy,493,M30-34,USA,00:32:47,02:31:45,01:45:23,04:55:41,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
4,Santiago Godinez,305,M35-39,USA,00:42:30,02:29:43,01:38:45,04:55:55,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
12,Branton Curt,496,M30-34,USA,00:32:45,02:25:56,01:52:04,04:55:55,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
11,Marco Stadler,710,M45-49,CHE,00:39:34,02:24:51,01:47:05,04:55:59,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
5,Gabor Papp,833,M35-39,USA,00:39:42,02:26:13,01:43:54,04:56:07,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
12,Lance Hutchinson,93,M45-49,USA,00:37:21,02:24:46,01:49:14,04:56:08,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
6,Dustin Edwards,193,M35-39,USA,00:36:33,02:31:37,01:43:54,04:56:32,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
9,Benoit Cillard,1745,M25-29,FRA,00:33:34,02:34:58,01:43:22,04:56:33,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
7,Andrew Mally,807,M35-39,USA,00:33:37,02:37:10,01:40:06,04:56:40,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
7,Maurice Khoury,79,M40-44,USA,00:30:24,02:29:49,01:53:20,04:57:39,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,John Poisson,1288,M55-59,USA,00:29:25,02:36:03,01:47:09,04:57:52,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
8,Julio Garcia,374,M40-44,USA,00:34:00,02:33:47,01:45:52,04:58:20,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
1,Kyndal Sorenson,244,F25-29,USA,00:37:14,02:36:02,01:40:49,04:59:09,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
13,Joseph Salvatore,188,M45-49,USA,00:41:52,02:37:10,01:35:19,04:59:37,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
10,Tyler Teuscher,1802,M25-29,USA,00:29:45,02:43:08,01:42:07,05:00:10,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
9,Riaan Hamilton,78,M40-44,USA,00:34:17,02:22:30,01:57:59,05:01:00,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
13,Michael Vaughan,166,M30-34,USA,00:30:32,02:40:30,01:45:48,05:02:03,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
8,Christopher Strawter,857,M35-39,USA,00:36:29,02:36:57,01:44:32,05:02:14,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
9,Matthew Markowycz,808,M35-39,USA,00:40:33,02:31:20,01:45:18,05:02:53,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
14,Chris McClurg,667,M45-49,USA,00:35:32,02:29:45,01:52:23,05:02:59,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
15,Steve Cain,590,M45-49,USA,00:39:19,02:41:44,01:34:41,05:03:01,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
10,Aldofo Rodriguez,1809,M40-44,USA,00:34:33,02:28:54,01:54:55,05:03:10,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
11,James Kung,80,M40-44,USA,00:42:02,02:38:15,01:37:52,05:03:17,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
10,Jeremy Breach,740,M35-39,USA,00:36:28,02:36:54,01:44:46,05:03:18,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
3,William Owsley,129,M50-54,USA,00:34:25,02:33:21,01:49:33,05:03:36,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
16,Gregg Martinez,662,M45-49,USA,00:29:56,02:36:06,01:52:44,05:03:48,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
12,Salvador Aceves,1835,M40-44,USA,00:37:36,02:37:07,01:45:08,05:04:24,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
14,Travis Price,543,M30-34,USA,00:25:26,02:35:14,01:58:37,05:04:51,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
2,Team Marsha Marsha Marsha,4016,RELAY,USA,00:33:42,02:44:01,01:41:55,05:04:58,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
11,Rhett Taylor,1801,M25-29,USA,00:37:13,02:42:26,01:39:47,05:05:01,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
13,Jeremy Liska,408,M40-44,USA,00:34:40,02:31:08,01:54:50,05:05:08,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
4,Stephen Mais,1719,M18-24,USA,00:29:46,02:38:22,01:53:39,05:05:12,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
17,Brock Weidauer,724,M45-49,USA,00:37:14,02:31:02,01:49:21,05:05:13,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
2,Carlos Viana,72,M55-59,BRA,00:32:56,02:37:19,01:48:14,05:05:14,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
5,Ryan Eckert,247,M18-24,USA,00:34:48,02:37:13,01:48:55,05:05:29,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
2,Pamela Staton,1697,F30-34,USA,00:35:50,02:35:39,01:48:20,05:05:53,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
18,Greg Callozzo,169,M45-49,USA,00:34:02,02:36:12,01:49:31,05:06:12,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
11,John Romais,840,M35-39,USA,00:32:03,02:39:24,01:50:52,05:06:27,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
14,Brad Hendron,387,M40-44,USA,00:34:07,02:46:03,01:41:25,05:06:30,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
4,Dan Cadriel,278,M50-54,USA,00:36:31,02:38:20,01:46:53,05:06:44,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
19,Thomas Branson,582,M45-49,USA,00:34:10,02:25:13,02:00:47,05:06:56,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
15,Niels Vuijsters,463,M40-44,USA,00:38:56,02:34:41,01:47:25,05:06:57,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
20,Mariano Demarchi,90,M45-49,USA,00:33:59,02:40:01,01:47:54,05:07:01,Ironman 70.3 Arizona,10/22/2017,"Tempe, Arizona, USA"
