Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Nils Frommhold,1,M PRO,DEU,00:24:49,02:00:38,01:17:29,03:46:07,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
2,Filipe Azevedo,7,M PRO,PRT,00:24:47,02:04:19,01:15:45,03:48:13,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
3,Mattia Ceccarelli,9,M PRO,ITA,00:24:42,02:00:33,01:20:20,03:49:00,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
4,Daniil Sapunov,8,M PRO,UKR,00:25:23,02:07:17,01:17:59,03:53:59,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
5,Zoltan Petsuk,13,M PRO,HUN,00:25:23,02:10:41,01:18:01,03:56:48,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
1,Running Pavlodar ,2068,M RELAY,,00:31:48,02:06:08,01:16:27,03:58:00,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
6,Sam Proctor,6,M PRO,GBR,00:25:24,02:09:38,01:21:06,03:59:21,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
2,Sibstar-Balance ,2076,M RELAY,,00:31:48,02:16:25,01:10:56,04:01:49,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
1,Nicol Warrick Mac,629,M30-34,ZAF,00:27:07,02:09:35,01:24:32,04:04:45,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
1,Radka Kahlefeldt,15,F PRO,CZE,00:27:27,02:17:21,01:19:45,04:07:42,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
2,Susie Cheetham,17,F PRO,GBR,00:29:40,02:12:06,01:23:57,04:09:06,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
1,Aleksandr Vinokurov,28,M45-49,KAZ,00:32:04,02:05:49,01:26:59,04:09:08,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
2,Ilya Kosov,35,M30-34,RUS,00:25:48,02:17:57,01:22:18,04:10:18,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
1,Andy Edwards,38,M40-44,GBR,00:27:21,02:12:18,01:27:32,04:10:49,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
3,Dmitry Rostyagaev,139,M30-34,RUS,00:25:02,02:14:48,01:27:12,04:10:51,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
3,I Love Super Sport Kirby Uzbekistan ,2041,M RELAY,,00:27:50,02:20:52,01:20:02,04:11:25,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
1,Sepan Vakhmin,100,M35-39,RUS,00:25:00,02:14:53,01:28:42,04:12:03,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
3,Sarah Piampiano,19,F PRO,USA,00:32:40,02:11:34,01:24:37,04:12:33,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
2,Sergey Khazov,864,M35-39,RUS,00:27:09,02:17:27,01:25:06,04:13:25,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
1,Vasily Permitin,385,M25-29,RUS,00:28:58,02:17:26,01:24:11,04:14:50,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
4,Andrey Sharipov,528,M30-34,UZB,00:26:45,02:17:31,01:26:57,04:15:16,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
2,Kirill Uvarov,290,M25-29,KAZ,00:28:14,02:17:24,01:26:09,04:16:04,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
4,Lisa Hütthaler,18,F PRO,AUT,00:29:39,02:14:18,01:28:49,04:16:08,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
5,Arseniy Yelisseyev,564,M30-34,RUS,00:30:08,02:21:18,01:22:44,04:17:49,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
5,Gabriella Zelinka,22,F PRO,HUN,00:29:39,02:20:40,01:24:31,04:18:21,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
1,Aivaz Omorkanov,55,M18-24,KGZ,00:30:25,02:15:35,01:28:37,04:19:00,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
3,Anton Semenov,94,M35-39,RUS,00:37:39,02:13:18,01:23:40,04:19:12,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
7,Eneko Elosegui,12,M PRO,ESP,00:31:33,02:13:45,01:30:21,04:19:16,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
6,Valentin Zasypkin,591,M30-34,RUS,00:31:08,02:22:13,01:23:49,04:20:39,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
4,Almatybroteam ,2109,M RELAY,,00:33:42,02:11:43,01:32:15,04:20:49,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
2,Dmitriy Bashun,104,M40-44,RUS,00:27:03,02:19:52,01:29:27,04:21:08,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
7,Konstantin Kolyasnikov,511,M30-34,RUS,00:24:42,02:23:26,01:27:43,04:21:17,Ironman 70.3 Astana,07/14/2019,"Astana, Kazakhstan"
