Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Russian Bears ,1414,RELAY,RUS,00:20:33,02:11:18,01:05:34,03:38:54,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
2,Team Gdrfa Dubai ,1433,RELAY,UAE,00:20:24,02:06:04,01:11:04,03:39:47,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
3,Doctor Sport Team ,1476,RELAY,KAZ,00:25:34,02:04:55,01:17:56,03:50:54,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
4,Running Pavlodar ,1439,RELAY,KAZ,00:23:47,02:13:14,01:13:38,03:52:58,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
5,Bratishki Temira ,1421,RELAY,KAZ,00:20:20,02:21:40,01:13:42,03:57:20,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
1,Peter Wolkowicz,78,M30-34,GER,00:27:47,02:08:41,01:19:38,03:58:19,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
6,Almatybroteam ,1409,RELAY,KAZ,00:27:18,02:08:50,01:28:12,04:06:05,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
2,Viktor Aloshyn,356,M30-34,RUS,00:25:32,02:18:10,01:22:35,04:09:17,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
7,Cft Triathlon Team Novosibirsk ,1457,RELAY,RUS,00:22:30,02:33:28,01:10:53,04:09:36,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
1,Sergey Khazov,636,M35-39,RUS,00:26:27,02:17:13,01:23:18,04:10:35,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
8,Stalker ,1481,RELAY,KAZ,00:24:09,02:33:29,01:10:55,04:10:53,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
9,Qazaq Batyry ,1477,RELAY,KAZ,00:20:30,02:23:31,01:26:12,04:11:57,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
1,Andrew Edwards,23,M40-44,GBR,00:27:16,02:16:46,01:25:56,04:12:37,Ironman 70.3 Astana,06/17/2018,"Astana, Kazakhstan
"
