Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Team Ukrainian Running Club NY,4092,MRELAY,UKR,00:31:36,02:14:36,01:15:41,04:10:08,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
1,Matias Palavecino,1514,M35-39,USA,00:29:20,02:07:56,01:25:11,04:10:51,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
1,Darren Brown,1194,M30-34,USA,00:31:08,02:10:22,01:19:59,04:11:23,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
1,Jeffrey Gomez,1074,M25-29,USA,00:25:51,02:12:55,01:28:30,04:15:24,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
2,Samuel Wenger,1362,M30-34,CHE,00:32:15,02:10:43,01:24:17,04:15:24,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
2,Emmett Gross,1079,M25-29,USA,00:33:21,02:07:37,01:25:59,04:17:07,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
1,Stephen Day,118,M45-49,GBR,00:32:07,02:15:13,01:22:03,04:18:41,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
1,Pedro Berredo,10,M40-44,BRA,00:32:32,02:11:26,01:31:06,04:24:42,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
2,Derek Tietjen,2589,M40-44,USA,00:36:50,02:11:46,01:27:59,04:25:19,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
1,Diego Arantes,936,M18-24,BRA,00:29:35,02:15:44,01:30:47,04:25:52,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
3,Oscar Solache-Nishizaki,1148,M25-29,MEX,00:28:44,02:13:43,01:33:54,04:26:12,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
3,Michael Bosl,2522,M40-44,USA,00:32:01,02:17:10,01:26:37,04:26:16,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
3,Michael Anello,2490,M30-34,USA,00:30:40,02:19:00,01:27:14,04:26:36,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
2,Bashkim Zaganjori,2519,M35-39,ALB,00:37:29,02:12:03,01:29:00,04:28:21,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
3,Taren Gesell,1429,M35-39,CAN,00:32:50,02:13:25,01:33:29,04:28:47,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
4,Dixon McDonald,1293,M30-34,USA,00:32:37,02:22:03,01:25:44,04:30:09,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
2,Dwayne Smith,2021,M45-49,USA,00:33:32,02:19:18,01:27:25,04:30:25,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
2,Jeremi Lessard,973,M18-24,CAN,00:30:11,02:16:06,01:35:06,04:31:05,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
5,Nick Kineke,1263,M30-34,USA,00:35:02,02:20:31,01:26:20,04:31:16,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
3,Rowan Crowley,2478,M18-24,USA,00:28:11,02:15:27,01:39:11,04:31:18,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
1,Joe Donahue,2091,M50-54,USA,00:29:52,02:24:16,01:27:06,04:31:30,Ironman 70.3 Atlantic City,09/15/2019,"Atlantic City, New Jersey, USA"
