Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Lionel Sanders,5,MPRO,CAN,00:23:50,02:03:07,01:12:30,03:42:19,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
2,Bradley Weiss,3,MPRO,ZAF,00:21:53,02:04:57,01:14:13,03:44:01,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
3,Andre Lopes,26,MPRO,BRA,00:22:34,02:09:06,01:13:15,03:47:55,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
4,Marc Duelsen,15,MPRO,DEU,00:23:46,02:04:20,01:18:08,03:49:16,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
5,Nils Frommhold,4,MPRO,DEU,00:21:54,02:05:02,01:23:07,03:52:57,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
6,Ernest Mantell,28,MPRO,USA,00:24:29,02:12:14,01:20:12,04:00:12,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
7,Ricky Flynn,17,MPRO,USA,00:24:09,02:18:49,01:13:47,04:00:56,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
8,Lewis Elliot,16,MPRO,USA,00:24:37,02:12:06,01:23:59,04:04:13,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
9,Matthew Wisthoff,40,MPRO,USA,00:22:26,02:09:45,01:29:58,04:05:14,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
10,Sean Daugherty,11,MPRO,USA,00:23:50,02:12:58,01:26:53,04:06:32,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
1,Chelsea Sodaro,46,FPRO,USA,00:23:40,02:21:36,01:19:22,04:07:34,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
11,Paul Stevenson,37,MPRO,USA,00:23:48,02:12:51,01:29:45,04:09:17,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
12,Hunter Lussi,27,MPRO,USA,00:21:52,02:12:54,01:31:45,04:10:33,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
13,Derek Kidwell,21,MPRO,USA,00:23:20,02:12:51,01:32:00,04:11:35,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
2,Sarah Piampiano,47,FPRO,USA,00:27:14,02:19:01,01:22:46,04:12:17,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
14,Ted Treise,39,MPRO,USA,00:26:27,02:19:22,01:24:38,04:13:44,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
15,Pablo Gomez,20,MPRO,COL,00:23:58,02:12:33,01:34:09,04:14:06,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
1,Aaron Kolk,189,M30-34,USA,00:28:13,02:15:26,01:26:28,04:14:14,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
1,Javier Hidalgo,205,M40-44,ESP,00:28:51,02:16:39,01:25:58,04:15:20,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
1,Ben Tolliday,1729,M18-24,USA,00:24:29,02:17:17,01:30:30,04:15:32,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
2,Bryan Mooney,183,M18-24,USA,00:27:10,02:22:38,01:22:44,04:16:17,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
16,Jimmy Sosinski,36,MPRO,USA,00:28:08,02:16:02,01:28:34,04:16:38,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
3,Lauren Barnett,50,FPRO,USA,00:26:29,02:25:44,01:23:30,04:18:44,Ironman 70.3 Augusta,09/29/2019,"Augusta, Georgia"
