Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Franz Loeschke,21,MPRO,DEU,00:24:33,02:14:45,01:11:14,03:53:49,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
2,Jesper Svensson,32,MPRO,SWE,00:23:35,02:15:28,01:12:31,03:55:05,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
3,Justin Metzler,24,MPRO,USA,00:25:10,02:14:19,01:12:49,03:55:06,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
4,TJ Tollakson,1,MPRO,USA,00:24:33,02:11:51,01:16:20,03:57:07,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
5,Taylor Reid,26,MPRO,CAN,00:25:22,02:13:58,01:15:19,03:57:52,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
6,Matt Hanson,2,MPRO,USA,00:25:47,02:17:51,01:10:40,03:58:19,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
7,Steven Zawaski,34,MPRO,USA,00:26:32,02:16:42,01:19:12,04:06:58,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
8,Paul Matthews,22,MPRO,NOR,00:24:34,02:22:29,01:19:02,04:09:18,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
9,Mikael Staer Nathan,31,MPRO,DNK,00:26:45,02:21:41,01:19:06,04:10:56,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
1,Corbin Hudacek,118,M25-29,USA,00:29:02,02:17:53,01:22:41,04:14:01,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
10,Timothy Winslow,33,MPRO,USA,00:25:15,02:19:28,01:26:14,04:14:57,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
11,Tyler Ems,12,MPRO,USA,00:27:21,02:16:26,01:28:19,04:16:06,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
12,James Cook,8,MPRO,CAN,00:26:43,02:24:34,01:22:21,04:16:55,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
1,Josiah Leuenberger,987,M30-34,USA,00:28:30,02:22:00,01:23:21,04:18:02,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
13,Sacha Cavelier,7,MPRO,CAN,00:27:24,02:23:14,01:23:36,04:19:01,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
2,Jordan Bailey,757,M25-29,USA,00:26:19,02:25:59,01:22:35,04:20:58,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
1,Sarah True,41,FPRO,USA,00:25:22,02:33:31,01:19:25,04:21:17,Ironman 70.3 Austin,10/29/2017,"Austin, Texas, USA"
