Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Kristian Blummenfelt,5,MPRO,NOR,00:23:07,02:00:59,01:13:33,03:40:23,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
2,Terenzo Bozzone,1,MPRO,NZL,00:23:10,01:57:59,01:17:06,03:41:02,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
3,Sven Riederer,7,MPRO,CHE,00:23:17,02:05:54,01:15:01,03:47:13,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
4,Javier Gomez,2,MPRO,ESP,00:21:52,02:06:05,01:17:17,03:48:25,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
5,Matt Trautman,8,MPRO,ZAF,00:23:26,02:06:35,01:16:00,03:49:19,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
6,Pieter Heemeryck,34,MPRO,BEL,00:23:14,02:07:01,01:16:18,03:49:35,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
7,Ronnie Schildknecht,39,MPRO,CHE,00:25:45,02:06:37,01:15:52,03:51:22,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
8,Horst Reichel,12,MPRO,DEU,00:23:27,02:08:21,01:17:20,03:52:38,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
9,Arnaud Guilloux,44,MPRO,FRA,00:24:56,02:04:09,01:20:58,03:53:24,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
10,David Plese,4,MPRO,SVN,00:25:42,02:04:26,01:20:48,03:54:06,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
11,Johann Ackermann,18,MPRO,DEU,00:23:10,02:04:43,01:24:31,03:55:33,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
1,Team Bahrain Defence Force 1,1109,RELAY,BHR,00:26:11,02:08:32,01:17:32,03:56:23,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
12,Alexander Chikin,20,MPRO,RUS,00:25:48,02:06:32,01:23:07,03:58:56,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
13,Yvan Jarrige,40,MPRO,FRA,00:23:19,02:06:57,01:27:21,04:00:36,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
14,Eric Watson,25,MPRO,BHR,00:23:08,02:16:00,01:18:22,04:00:52,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
15,Simon Jorn Hansen,43,MPRO,DNK,00:26:39,02:12:37,01:18:28,04:01:00,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
2,Team Bahrain National Guard,1213,RELAY,,00:25:06,02:15:12,01:18:04,04:01:00,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
1,Olivier Godart,659,M40-44,LUX,00:25:38,02:08:08,01:22:23,04:01:15,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
1,Holly Lawrence,81,FPRO,GBR,00:24:13,02:12:24,01:23:04,04:02:32,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
2,Anne Haug,67,FPRO,DEU,00:25:28,02:16:06,01:17:27,04:02:42,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
16,Pedro Gomes,19,MPRO,PRT,00:25:44,02:13:47,01:20:12,04:02:54,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
3,Team Bahrain Defence Force 2,1110,RELAY,BHR,00:28:19,02:16:14,01:15:53,04:03:19,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
17,Henry Beck,42,MPRO,DEU,00:24:22,02:08:55,01:26:33,04:04:06,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
18,Markus Thomschke,6,MPRO,DEU,00:25:02,02:08:21,01:27:14,04:04:35,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
19,Jonathan Ciavattella,33,MPRO,ITA,00:23:22,02:15:40,01:22:53,04:05:24,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
3,Daniela Ryf,61,FPRO,CHE,00:24:24,02:10:07,01:28:20,04:06:12,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
4,Emma Pallant,62,FPRO,GBR,00:26:21,02:15:49,01:21:59,04:07:06,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
20,Fredrik Croneborg,10,MPRO,SWE,00:24:56,02:16:45,01:24:56,04:10:16,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
5,Angela Naeth,64,FPRO,CAN,00:28:03,02:13:12,01:25:31,04:10:40,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
4,Team Sheikh Salman Bin Abdulla Al Khalifa,1195,RELAY,BHR,00:28:00,02:19:50,01:20:21,04:10:52,Ironman 70.3 Bahrain,11/25/2017,"Manama, Bahrain"
