Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Team A.j.plast 1,2004,MRELAY,Thailand,00:26:26,02:10:05,01:19:40,04:00:11,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
2,Team A.j.plast 2,2005,MRELAY,Thailand,00:24:30,02:16:23,01:15:51,04:00:55,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
1,Peter Marian Wolkowicz,1734,M35-39,Germany,00:28:56,02:18:04,01:22:16,04:13:13,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
1,Kosuke Terasawa,311,M25-29,Japan,00:24:52,02:24:38,01:20:06,04:14:11,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
2,Kirill Goldovskii,7,M35-39,Russian Federation,00:24:59,02:24:10,01:22:43,04:15:43,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
3,Pierre Lafayeedney,173,M35-39,United Kingdom,00:28:40,02:17:59,01:25:07,04:15:53,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
1,Jaray Jearanai,1728,M40-44,Thailand,00:28:58,02:18:06,01:25:46,04:16:41,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
4,Per Svensson,8,M35-39,Sweden,00:30:40,02:10:50,01:33:03,04:19:23,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
1,Tomoaki Kikuchi,157,M30-34,Japan,00:27:56,02:20:37,01:26:47,04:19:38,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
5,Nick Carling,5,M35-39,Australia,00:34:50,02:18:13,01:23:14,04:20:28,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
2,Andy Wibowo,79,M40-44,Indonesia,00:26:38,02:20:27,01:29:38,04:20:47,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
6,Tim Green,168,M35-39,Australia,00:25:23,02:21:13,01:29:52,04:21:13,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
7,Alejandro Casado,6,M35-39,United Kingdom,00:33:10,02:17:22,01:25:21,04:21:36,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
8,Shinya Suganuma,668,M35-39,Japan,00:30:35,02:26:25,01:21:28,04:23:16,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
2,Merrick Fairall,272,M25-29,South Africa,00:25:29,02:23:01,01:31:43,04:24:25,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
9,Ryosuke Ohata,59,M35-39,Japan,00:27:02,02:28:23,01:26:33,04:26:30,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
3,Kenta Asakai,259,M25-29,Japan,00:26:11,02:37:25,01:19:39,04:26:48,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
2,Ivan Vlasenko,450,M30-34,Russian Federation,00:31:57,02:25:08,01:26:15,04:27:34,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
3,Grant Bateman,351,M30-34,United Kingdom,00:26:40,02:19:53,01:38:33,04:29:26,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
3,Dane Cantwell,67,M40-44,New Zealand,00:29:05,02:26:26,01:29:40,04:29:59,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
4,Golatat Kunaborimas,2,M30-34,Thailand,00:25:21,02:21:40,01:33:04,04:31:23,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
10,Samuel Burns,1727,M35-39,Thailand,00:33:06,02:25:49,01:28:13,04:31:27,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
4,Ken Koike,73,M40-44,Japan,00:26:28,02:30:19,01:32:20,04:33:08,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
5,Wai Kit Lam,396,M30-34,Singapore,00:33:44,02:36:07,01:19:01,04:33:17,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
1,Ralf Eberhardt,1311,M45-49,Switzerland,00:31:38,02:25:39,01:31:02,04:33:48,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
2,Stuart Daniels,85,M45-49,Austria,00:33:20,02:27:40,01:27:58,04:34:19,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
6,Kuok Yuen Teh,162,M30-34,Malaysia,00:32:20,02:31:34,01:25:49,04:34:49,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
5,"Patrice,francois,paul Robustelli",1097,M40-44,France,00:31:20,02:24:36,01:34:41,04:35:53,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
3,Team Healthy Hearts,2037,MRELAY,Brazil,00:27:16,02:28:29,01:36:38,04:37:02,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
3,Mark Wilson,24,M45-49,Netherlands,00:36:12,02:28:35,01:28:18,04:37:25,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
4,Pablo Sospedra Miró,304,M25-29,Spain,00:27:07,02:33:03,01:33:59,04:38:06,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
7,Luka Čupić,154,M30-34,Montenegro,00:29:03,02:33:04,01:31:52,04:38:23,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
6,David Aldea Perona,791,M40-44,Spain,00:28:55,02:29:33,01:35:42,04:38:34,Ironman 70.3 Bangsaen,02/23/2020,"Bangsaen, Thailand"
