Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Javier Gomez Noya,1,MPRO,ESP,00:22:31,02:25:25,01:10:07,04:01:38,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
2,David McNamee,2,MPRO,GBR,00:22:46,02:25:42,01:12:32,04:04:45,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
3,Bart Aernouts,5,MPRO,BEL,00:26:07,02:22:05,01:14:29,04:06:40,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
4,Etienne Diemunsch,10,MPRO,FRA,00:23:37,02:28:32,01:12:46,04:08:32,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
5,Adam Bowden,34,MPRO,GBR,00:22:32,02:31:43,01:10:05,04:08:53,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
6,Elliot Smales,30,MPRO,GBR,00:23:33,02:29:51,01:15:04,04:12:22,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
7,Andreas Giglmayr,16,MPRO,AUT,00:23:43,02:29:14,01:16:44,04:13:59,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
8,Arnaud Guilloux,20,MPRO,FRA,00:24:50,02:26:50,01:19:37,04:15:40,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
9,Tobias Drachler,14,MPRO,GER,00:00:00,00:00:00,01:18:13,04:16:04,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
10,Milan Brons,36,MPRO,NED,00:24:49,02:27:17,01:20:20,04:16:21,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
11,Lukasz Kalaszczynski,45,MPRO,POL,00:26:11,02:32:54,01:15:07,04:18:17,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
12,Arnaud Chivot,41,MPRO,FRA,00:23:36,02:31:15,01:20:52,04:19:51,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
13,Erlend Skippervik Saetre,27,MPRO,NOR,00:28:48,02:29:41,01:18:14,04:20:45,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
14,Hervé Faure,18,MPRO,FRA,00:24:55,02:28:50,01:27:22,04:26:04,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
15,Stefan Overmars,25,MPRO,NED,00:26:08,02:33:51,01:23:24,04:28:10,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
1,Mathieu Paolillo,126,M30,FRA,00:25:54,02:34:35,01:22:22,04:28:14,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
1,Nathan Dortmann,117,M25,FRA,00:27:15,02:33:57,01:22:58,04:28:55,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
16,Omar Brons,35,MPRO,NED,00:24:51,02:34:50,01:26:58,04:31:07,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
1,Sylvain Debray,404,M40,FRA,00:29:14,02:36:10,01:21:21,04:31:09,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
2,Alex Benjamin Higham,2125,M40,GBR,00:25:29,02:36:15,01:24:26,04:31:22,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
2,Nicolas Richoz,122,M25,SUI,00:26:15,02:35:41,01:25:04,04:31:42,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
17,Eric Watson,32,MPRO,BRN,00:23:35,02:44:47,01:18:32,04:31:58,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
3,Léo Roca,887,M25,FRA,00:28:19,02:35:01,01:23:04,04:32:33,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
18,Hans Christian Tungesvik,31,MPRO,NOR,00:26:14,02:37:36,01:24:42,04:32:48,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
1,Emma Pallant,61,FPRO,GBR,00:27:11,02:41:08,01:20:49,04:32:53,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
19,Maxim Kuzmin,24,MPRO,RUS,00:34:19,02:38:09,01:15:11,04:33:02,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
1,Koen Lintermans,137,M35,BEL,00:29:14,02:33:43,01:24:46,04:33:22,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
2,Pierre Massonneau,139,M35,FRA,00:25:48,02:35:50,01:26:39,04:33:23,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
20,Anthony Cadario,37,MPRO,FRA,00:28:54,02:41:22,01:18:38,04:33:31,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
21,Romain Babin,40,MPRO,CHI,00:26:09,02:36:14,01:24:35,04:33:34,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
4,Felix Bufkens,1399,M25,BEL,00:30:32,02:37:47,01:20:45,04:33:54,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
3,Jean-Christophe Holzerny,891,M40,FRA,00:25:10,02:37:53,01:26:04,04:34:28,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
2,Dean Hopf,365,M30,RSA,00:27:02,02:40:46,01:22:51,04:35:35,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
5,Marton Cseik,116,M25,GBR,00:28:13,02:44:28,01:18:58,04:36:16,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
6,Edouard Tiret,361,M25,FRA,00:27:13,02:34:38,01:28:32,04:36:17,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
1,Antoine Saison,115,M18,FRA,00:29:04,02:33:24,01:29:03,04:36:24,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
4,Alessandro Tomaiuolo,150,M40,ITA,00:27:23,02:42:42,01:20:46,04:36:25,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
22,Patrick Ericsson,42,MPRO,SWE,00:24:53,02:40:35,01:26:14,04:36:43,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
1,Gary Inglis,2983,MTR,GBR,00:25:35,02:50:17,01:18:45,04:37:44,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
3,David Amador,123,M30,ESP,00:30:25,02:42:46,01:17:22,04:37:44,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
3,Enrico Pastore,1949,M35,ITA,00:25:05,02:40:13,01:27:11,04:38:02,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
5,Xavier Philippe,146,M40,FRA,00:30:26,02:32:41,01:29:09,04:38:13,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
4,Richard Tanguy,1770,M30,GBR,00:27:47,02:36:34,01:29:07,04:38:26,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
1,Nick Saunders,771,M45,ZIM,00:26:34,02:40:22,01:27:04,04:38:44,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
4,Jürg Sigrist,141,M35,SUI,00:29:11,02:38:25,01:25:15,04:38:53,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
2,Fenella Langridge,71,FPRO,GBR,00:25:12,02:43:05,01:26:34,04:39:03,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
7,Valentin Pascal,1507,M25,FRA,00:27:28,02:40:56,01:25:28,04:39:07,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
2,Erik Garcia Thorgersen,1337,M18,ESP,00:27:22,02:42:12,01:24:58,04:39:14,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
3,Eva Wutti,62,FPRO,AUT,00:27:14,02:46:29,01:20:51,04:39:29,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
23,Vicenc Castella Serra,38,MPRO,ESP,00:26:45,02:47:42,01:20:09,04:39:52,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
5,Albert Saludes Bellés,392,M35,ESP,00:29:10,02:39:10,01:26:41,04:40:07,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
4,Camilla Pedersen,64,FPRO,DEN,00:25:13,02:41:55,01:28:47,04:40:23,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
24,Krzysztof Augustyniak,39,MPRO,POL,00:26:14,02:46:13,01:23:54,04:40:29,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
6,Diego Ribao Rodriguez,1971,M35,ESP,00:32:12,02:41:13,01:22:01,04:40:32,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
5,Isam Mounir,2652,M30,ESP,00:29:39,02:44:38,01:21:41,04:41:05,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
6,Fabien Besançon,124,M30,FRA,00:25:29,02:48:11,01:22:30,04:41:49,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
7,Jérôme Bernou,133,M35,FRA,00:31:06,02:39:48,01:24:51,04:42:03,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
8,Julien Marec,388,M35,FRA,00:31:00,02:37:08,01:28:17,04:42:05,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
8,Jonatan Martínez Jimenez,206,M25,ESP,00:29:26,02:42:58,01:24:47,04:42:20,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
6,Steve Palmer,266,M40,GBR,00:32:53,02:40:56,01:23:10,04:42:26,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
9,Michael Latifi,119,M25,CAN,00:32:20,02:44:11,01:21:26,04:43:14,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
7,Cyril Pelizzari,127,M30,FRA,00:29:45,02:38:39,01:30:15,04:43:49,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
8,Vincent Darcq,888,M30,FRA,00:29:31,02:41:30,01:26:26,04:44:07,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
3,Sergi Matas,1353,M18,ESP,00:26:30,02:45:41,01:27:32,04:44:09,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
9,Jonas Lerneteg,877,M35,SWE,00:28:37,02:40:27,01:30:32,04:44:28,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
4,Manuel Hoffmann,1346,M18,GER,00:28:19,02:41:17,01:29:37,04:44:31,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
9,Robin Muller,221,M30,FRA,00:28:08,02:43:35,01:28:46,04:45:24,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
2,Mathias Pfähler,434,M45,GER,00:36:32,02:37:21,01:24:29,04:45:36,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
10,Adrià Colls Tècul,1416,M25,ESP,00:31:08,02:35:31,01:32:37,04:46:14,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
7,Etienne Junot,260,M40,FRA,00:28:49,02:47:13,01:25:07,04:46:20,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
10,Oskar Leon Garcia,136,M35,ESP,00:31:41,02:43:30,01:25:24,04:46:22,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
10,Ronald Beckers,1578,M30,BEL,00:38:25,02:37:34,01:22:46,04:46:39,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
11,Klodian Mitri,120,M25,USA,00:32:37,02:46:23,01:21:55,04:46:40,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
8,Bernard Stephane,149,M40,FRA,00:31:38,02:41:30,01:28:40,04:46:44,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
9,Rowan Vorster,151,M40,RSA,00:27:19,02:46:01,01:28:31,04:47:08,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
11,Julien Nicolas,860,M30,FRA,00:26:25,02:43:32,01:30:40,04:47:10,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
12,Marco Accardo,132,M30,ITA,00:28:32,02:38:31,01:33:50,04:47:15,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
12,Lex Habraken,627,M25,NED,00:24:37,02:46:36,01:32:30,04:48:00,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
13,Joseph Baghioni,1576,M30,FRA,00:26:11,02:49:33,01:26:53,04:48:01,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
25,Sacha Cavelier,17,MPRO,CAN,00:26:51,02:44:04,01:32:02,04:48:13,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
11,Danny Verdoorn,247,M35,NED,00:30:57,02:45:14,01:25:27,04:48:25,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
12,Vincent Rochat,241,M35,SUI,00:31:11,02:39:36,01:32:39,04:48:45,Ironman 70.3 Barcelona,05/20/2018,"Calella, Spain"
