Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Rafael Sousa,228,M40-44,BRA,00:25:37,02:19:16,01:27:07,04:17:19,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
1,Emmanuel Iodice,125,M35-39,ARG,00:28:54,02:26:01,01:22:59,04:22:44,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
1,Felipe Giachino Castillo,178,M25-29,CHL,00:31:07,02:30:31,01:16:41,04:23:36,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
2,Felipe Carvalho Da Silva Bergamini,333,M25-29,BRA,00:27:08,02:25:57,01:27:33,04:25:54,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
1,Martin Gallardo,121,M18-24,ARG,00:30:17,02:28:15,01:22:16,04:26:04,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
2,Gabriel Marangoni,277,M40-44,USA,00:29:26,02:28:28,01:23:03,04:26:48,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
3,Ulises Otero,362,M25-29,ARG,00:30:40,02:34:52,01:16:20,04:27:07,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
1,Guillermo Garcia,859,M30-34,ARG,00:28:20,02:33:04,01:21:34,04:27:08,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
2,Federico Alvarez,106,M30-34,ARG,00:29:19,02:34:28,01:18:33,04:27:54,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
1,Federico Schneeberger,136,M45-49,ARG,00:30:01,02:30:52,01:23:24,04:29:39,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
2,Mateo Bustos Pecaut,455,M18-24,ARG,00:29:24,02:28:30,01:28:24,04:30:49,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
2,Alejandro Torrecillas,235,M35-39,ESP,00:35:45,02:29:02,01:22:12,04:32:38,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
4,Doorgal Gustavo Sad Lafayette De Andrada,141,M25-29,BRA,00:30:50,02:33:39,01:24:51,04:33:54,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
3,Gonzalo Arranz,418,M35-39,ARG,00:33:10,02:33:34,01:22:02,04:34:02,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
3,Pablo Saiz,134,M40-44,ARG,00:29:31,02:34:32,01:25:55,04:34:56,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
4,Ricardo Munoz Fernandez,661,M35-39,CHL,00:32:38,02:30:09,01:26:24,04:35:00,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
4,Mariano Mendez Casariego,646,M40-44,ARG,00:29:35,02:38:10,01:23:08,04:35:43,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
2,Marcelo Abdo,823,M45-49,BRA,00:27:23,02:35:31,01:26:47,04:35:50,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
3,Benjamin Moya Chamorro,129,M18-24,CHL,00:25:39,02:28:16,01:37:00,04:35:52,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
5,Fernando Di Rosso,168,M35-39,ARG,00:32:14,02:36:15,01:21:10,04:36:05,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
5,Mauricio Beinat,433,M40-44,ARG,00:32:59,02:30:30,01:25:50,04:36:06,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
3,Rodrigo Gonzalez Flores,570,M30-34,CHL,00:28:58,02:37:40,01:24:12,04:36:43,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
4,Juan Ignacio Asconape,881,M18-24,ARG,00:29:12,02:32:54,01:29:19,04:37:14,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
6,Gaston Duran,517,M40-44,ARG,00:29:29,02:30:16,01:32:22,04:38:07,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
6,Maximiliano Coltro,820,M35-39,ARG,00:35:54,02:38:12,01:19:12,04:38:42,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
7,Marcos Hernandez,188,M35-39,ARG,00:32:53,02:33:40,01:26:08,04:39:14,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
7,Nino Meza,128,M40-44,CHL,00:31:52,02:35:21,01:26:36,04:39:17,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
8,Pablo Ureta,138,M40-44,ARG,00:28:43,02:32:36,01:34:27,04:40:16,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
8,Gabriel Mardones,196,M35-39,CHL,00:27:27,02:37:59,01:28:35,04:40:37,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
3,Carlos Alberto Cosoli,113,M45-49,ARG,00:31:33,02:35:39,01:28:32,04:40:40,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
9,Cristian Aspillaga,143,M40-44,CHL,00:28:33,02:39:01,01:27:40,04:40:48,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
10,Juan Felipe Delgado Valbuena,116,M40-44,COL,00:31:12,02:35:49,01:28:21,04:41:13,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
11,Carlos Echeverria,169,M40-44,CHL,00:35:42,02:34:00,01:27:34,04:42:57,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
12,Nicolas Foussats,119,M40-44,ARG,00:30:09,02:40:40,01:25:38,04:43:01,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
9,Hector Yanez,241,M35-39,CHL,00:35:46,02:37:10,01:25:12,04:43:02,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
4,Juan Martin Digilio,512,M30-34,ARG,00:27:19,02:40:16,01:29:22,04:43:12,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
4,Pere Marquina Perez De La Cruz,627,M45-49,AND,00:27:47,02:44:51,01:26:29,04:43:50,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
5,Sebastian Tapia Guajardo,231,M30-34,CHL,00:31:16,02:39:08,01:28:54,04:44:42,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
5,Oscar Martinez,890,M45-49,VEN,00:32:44,02:33:55,01:32:16,04:45:07,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
6,Efrain Ricardo Solano Borja,755,M30-34,COL,00:32:08,02:39:22,01:28:00,04:45:54,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
6,Hugo Ariel Camargo,462,M45-49,ARG,00:34:19,02:34:29,01:32:16,04:46:07,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
7,Francisco Guevara,183,M30-34,USA,00:32:14,02:38:24,01:30:32,04:47:01,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
10,Chris Harrisson,387,M35-39,PER,00:29:00,02:39:12,01:33:24,04:47:28,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
5,Nicolas Recabarren,711,M18-24,ARG,00:32:53,02:38:31,01:31:17,04:47:44,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
11,Ignacio Delgado,829,M35-39,ARG,00:31:59,02:40:38,01:29:27,04:48:10,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
12,Eduardo Longo,275,M35-39,ARG,00:31:00,02:34:38,01:37:10,04:48:28,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
8,Carlos Castillo,475,M30-34,CHL,00:36:55,02:33:00,01:32:12,04:49:01,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
1,Florencia Vasquez Sanchez,845,F18-24,CHL,00:34:53,02:43:50,01:24:37,04:49:44,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
13,Federico Fioquetta,538,M40-44,ARG,00:32:31,02:37:09,01:34:23,04:49:53,Ironman 70.3 Bariloche,03/01/2020,"Bariloche, Argentina"
