Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jacob Wissum,17,M 35-39,DNK (DENMARK),00:31:17,02:14:11,01:29:20,04:18:36,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
1,Mark Oakshott,561,M 40-44,AUS (AUSTRALIA),00:34:23,02:20:08,01:25:46,04:23:10,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
2,Nikolai Jenkins,25,M 35-39,USA (UNITED STATES),00:32:38,02:17:32,01:34:49,04:28:02,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
3,Abdoullah Mitiche,10,M 35-39,IDN (INDONESIA),00:37:21,02:18:43,01:28:35,04:29:12,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
4,Luke Jones,376,M 35-39,AUS (AUSTRALIA),00:31:47,02:23:28,01:29:22,04:27:23,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
2,Leighton Matheson,20,M 40-44,NZL (NEW ZEALAND),00:32:57,02:20:07,01:34:11,04:30:55,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
1,David Orrit,14,M 45-49,CHE (SWITZERLAND),00:30:44,02:23:54,01:38:37,04:37:20,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
5,Noriyuki Tanaka,26,M 35-39,JPN (JAPAN),00:30:35,02:28:27,01:36:11,04:40:06,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
1,Biten Singh Laikhuram,149,M 25-29,IND (INDIA),00:28:11,02:27:36,01:39:00,04:38:04,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
2,Jack Donovan,164,M 25-29,AUS (AUSTRALIA),00:29:59,02:25:31,01:41:19,04:40:36,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
2,Brendon Vesty,12,M 45-49,NZL (NEW ZEALAND),00:32:56,02:15:27,01:49:56,04:42:53,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
1,Andy Lordianto,11,M 30-34,IDN (INDONESIA),00:31:27,02:30:53,01:37:49,04:44:06,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
2,James Shapcott,18,M 30-34,NZL (NEW ZEALAND),00:30:37,02:31:52,01:38:33,04:44:21,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
3,David Barr,501,M 40-44,AUS (AUSTRALIA),00:30:24,02:23:41,01:45:01,04:43:36,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
3,Daniel Palmer,216,M 30-34,GBR (UNITED KINGDOM),00:32:03,02:27:51,01:38:42,04:42:35,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
1,Ling Er Choo,3,F 30-34,SGP (SINGAPORE),00:32:49,02:27:11,01:41:52,04:45:26,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
6,Andrew Maud,301,M 35-39,NZL (NEW ZEALAND),00:30:10,02:32:34,01:38:16,04:44:51,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
3,Liam Winston,21,M 45-49,IRL (IRELAND),00:35:03,02:29:17,01:38:26,04:46:23,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
4,Andrew Hunt,655,M 45-49,AUS (AUSTRALIA),00:32:58,02:28:35,01:39:20,04:45:25,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
4,Dave Lommen,500,M 40-44,SGP (SINGAPORE),00:33:17,02:28:08,01:36:46,04:41:51,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
7,Teo Ewin,438,M 35-39,SGP (SINGAPORE),00:33:05,02:30:08,01:38:18,04:46:07,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
5,Mal Joseland,22,M 45-49,AUS (AUSTRALIA),00:32:56,02:24:01,01:47:54,04:48:42,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
8,Richard Brooks,28,M 35-39,AUS (AUSTRALIA),00:35:09,02:27:12,01:45:25,04:51:20,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
9,Dave Lee,327,M 35-39,GBR (UNITED KINGDOM),00:34:24,02:31:50,01:38:59,04:48:47,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
10,James Knipe,19,M 35-39,IRL (IRELAND),00:36:37,02:31:09,01:40:54,04:51:54,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
4,Miguel Canelas,260,M 30-34,PRT (PORTUGAL),00:30:30,02:24:40,01:50:19,04:50:41,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
1,Merle Talviste,6,F 35-39,,00:30:12,02:32:05,01:45:47,04:52:00,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
5,Trent Standen,30,M 40-44,AUS (AUSTRALIA),00:33:06,02:30:18,01:44:47,04:52:06,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
6,Benjamin Larsson,476,M 40-44,AUS (AUSTRALIA),00:32:01,02:30:08,01:44:15,04:51:07,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
3,Michael Fewster,23,M 25-29,AUS (AUSTRALIA),00:32:08,02:42:36,01:32:54,04:52:24,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
1,Rosie McGeoch,7,F 40-44,AUS (AUSTRALIA),00:30:15,02:28:43,01:50:39,04:52:46,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
4,Jack Dickens,163,M 25-29,AUS (AUSTRALIA),00:34:15,02:26:09,01:45:13,04:50:10,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
1,Martin Malleier,920,M 50-54,AUT (AUSTRIA),00:32:18,02:29:26,01:43:35,04:50:27,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
7,Martin Drueke,564,M 40-44,DEU (GERMANY),00:36:36,02:28:59,01:35:37,04:45:31,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
11,Ivan Zhukov,16,M 35-39,RUS (RUSSIAN FEDERATION),00:33:21,02:31:25,01:40:19,04:54:02,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
5,Yi Heng Chew,190,M 25-29,SGP (SINGAPORE),00:33:45,02:35:27,01:39:40,04:52:03,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
12,Eduard Moix,339,M 35-39,SGP (SINGAPORE),00:31:27,02:30:59,01:48:45,04:54:53,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
1,Raghunath Shivaji Mali,141,M 18-24,IND (INDIA),00:29:05,02:36:38,01:45:08,04:54:22,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
13,Thomas Plank,440,M 35-39,USA (UNITED STATES),00:30:30,02:28:12,01:52:47,04:56:14,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
14,Madhurjya Borah,377,M 35-39,IND (INDIA),00:33:03,02:35:30,01:43:30,04:57:03,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
5,Sean Smith,272,M 30-34,CHE (SWITZERLAND),00:31:53,02:27:00,01:43:51,04:47:06,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
6,Peter Havas,27,M 45-49,HUN (HUNGARY),00:37:38,02:29:07,01:46:26,04:59:26,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
2,Murray Higgs,24,M 50-54,AUS (AUSTRALIA),00:34:58,02:29:26,01:50:57,04:59:35,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
7,Andrew Fleming,656,M 45-49,GBR (UNITED KINGDOM),00:35:18,02:28:14,01:49:20,04:57:05,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
8,Stefan Piranty,611,M 40-44,DEU (GERMANY),00:36:22,02:32:04,01:43:39,04:57:22,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
9,Markus Ziltener,562,M 40-44,CHE (SWITZERLAND),00:32:46,02:19:26,02:00:58,04:57:36,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
1,Gary Hardman,15,M 55-59,AUS (AUSTRALIA),00:31:21,02:33:47,01:51:37,05:00:40,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
8,Brad George,665,M 45-49,AUS (AUSTRALIA),00:35:59,02:39:51,01:38:42,04:59:44,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
6,Tamás Gábe,186,M 25-29,HUN (HUNGARY),00:27:17,02:29:13,01:59:18,05:00:16,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
6,Hector Perez Garcia,230,M 30-34,ESP (SPAIN),00:35:31,02:39:27,01:39:37,04:57:52,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
3,Mark Lampard,825,M 50-54,CAN (CANADA),00:31:42,02:32:27,01:50:26,04:59:01,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
7,Freddy Gbaguidi,226,M 30-34,,00:39:02,02:41:34,01:34:56,04:59:08,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
10,Pietsch Christian,916,M 40-44,DEU (GERMANY),00:33:43,02:22:14,01:59:27,04:59:02,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
11,Dane Cantwell,496,M 40-44,NZL (NEW ZEALAND),00:29:56,02:28:48,02:00:33,05:02:57,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
7,Dick Keefe,157,M 25-29,IDN (INDONESIA),00:35:57,02:37:54,01:44:02,05:03:39,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
12,Christian Bartoelke,491,M 40-44,DEU (GERMANY),00:33:10,02:31:22,01:54:06,05:03:57,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
2,Jackie Crofton,1,F 40-44,AUS (AUSTRALIA),00:38:28,02:49:36,01:33:27,05:05:45,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
9,Jan Gremmen,700,M 45-49,NLD (NETHERLANDS),00:34:47,02:41:15,01:43:22,05:04:11,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
15,James Colston,356,M 35-39,NZL (NEW ZEALAND),00:35:37,02:37:14,01:45:31,05:03:40,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
13,Daniel Fay,497,M 40-44,AUS (AUSTRALIA),00:34:40,02:31:10,01:53:44,05:04:43,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
14,Haythem El-Ansary,926,M 40-44,Australia,00:33:40,02:38:50,01:47:54,05:04:58,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
8,Arjun Kandikuppa,208,M 30-34,IND (INDIA),00:33:32,02:38:18,01:46:59,05:02:14,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
4,Emile Boey Alam,807,M 50-54,AUS (AUSTRALIA),00:33:00,02:36:27,01:46:29,05:02:59,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
5,Angus Wippell,784,M 50-54,SGP (SINGAPORE),00:30:27,02:39:05,01:52:36,05:06:53,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
8,Vincent Gothknecht,188,M 25-29,DEU (GERMANY),00:33:59,02:35:39,01:51:37,05:06:26,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
9,Dennis Wei Min Lim,156,M 25-29,SGP (SINGAPORE),00:33:14,02:41:30,01:44:09,05:03:19,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
9,Fin MacRae,223,M 30-34,AUS (AUSTRALIA),00:33:22,02:38:57,01:49:36,05:05:29,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
16,Michael Priddes,388,M 35-39,GBR (UNITED KINGDOM),00:29:27,02:41:59,01:55:36,05:11:27,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
10,Denis Nikiforov,218,M 30-34,RUS (RUSSIAN FEDERATION),00:31:24,02:41:41,01:53:15,05:09:25,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
17,Matthieu Prouillac,387,M 35-39,FRA (FRANCE),00:37:15,02:25:51,02:02:46,05:11:03,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
6,Andreas Goros,909,M 50-54,GRC (GREECE),00:33:44,02:41:18,01:54:37,05:13:48,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
18,Kang Jonathan,367,M 35-39,SGP (SINGAPORE),00:42:26,02:33:29,01:46:02,05:08:05,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
10,Brandon Tung,150,M 25-29,SGP (SINGAPORE),00:38:04,02:34:42,01:54:51,05:11:41,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
7,Todd Sisson,29,M 50-54,NZL (NEW ZEALAND),00:34:08,02:48:56,01:48:04,05:15:15,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
8,Dai Matsui,799,M 50-54,JPN (JAPAN),00:32:47,02:30:53,02:03:12,05:11:27,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
11,Lachlan Nally,249,M 30-34,AUS (AUSTRALIA),00:33:10,02:49:54,01:48:06,05:15:02,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
12,Juan Francisco Vivero,242,M 30-34,,00:42:58,02:41:37,01:45:37,05:14:05,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
15,Lionel Hocquaux,555,M 40-44,FRA (FRANCE),00:39:28,02:41:36,01:44:52,05:09:42,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
9,Bengt Joakim Moeller,790,M 50-54,SWE (SWEDEN),00:34:53,02:39:45,01:53:22,05:15:13,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
19,Sebastien Vermast,425,M 35-39,BEL (BELGIUM),00:34:51,02:34:43,01:58:37,05:14:08,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
16,Bryce Madsen,484,M 40-44,USA (UNITED STATES),00:36:58,02:36:41,01:56:25,05:15:23,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
10,Denis Crassier,676,M 45-49,FRA (FRANCE),00:39:41,02:31:49,01:56:46,05:12:51,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
11,Mark Fourie,910,M 45-49,RSA (SOUTH AFRICA),00:33:24,02:36:20,02:04:30,05:19:10,Ironman 70.3 Bintan,08/25/2019,"Bintan, Indonesia
"
