Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Timothy Reed,2,M PRO,Australia,00:25:15,02:09:46,01:18:24,03:56:01,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
2,Mike Phillips,1,M PRO,New Zealand,00:25:08,02:09:40,01:20:32,03:57:56,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
3,Matt Burton,7,M PRO,Australia,00:27:06,02:12:08,01:24:07,04:06:15,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
4,Luke McKenzie,3,M PRO,Australia,00:25:15,02:11:25,01:30:13,04:09:35,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
5,Guy Crawford,5,M PRO,New Zealand,00:25:17,02:18:23,01:31:40,04:18:07,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
1,Beth McKenzie,21,F PRO,United States,00:31:53,02:33:36,01:24:18,04:32:46,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
2,Annamaria Eberhardt,22,F PRO,Hungary,00:35:19,02:29:52,01:30:38,04:38:45,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
3,Sabrina Stadelmann,24,F PRO,Switzerland,00:31:56,02:37:38,01:28:30,04:41:05,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
1,Alan Blakie,240,M 35-39,United Kingdom,00:31:44,02:23:10,01:31:21,04:29:30,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
4,Lisa Tyack,27,F PRO,Australia,00:31:45,02:38:38,01:31:32,04:44:50,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
2,Andy Wibowo,248,M 35-39,Indonesia,00:27:14,02:27:51,01:34:09,04:32:28,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
5,Kate Bevilaqua,23,F PRO,Australia,00:29:26,02:35:58,01:38:38,04:47:21,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
1,Vlad Ixel,209,M 30-34,Australia,00:33:45,02:30:37,01:33:34,04:41:26,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
1,Assad Attamimi,795,M 40-44,Australia,00:29:42,02:28:05,01:27:14,04:28:13,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
2,Daniel Bentley,626,M 40-44,Canada,00:31:27,02:27:01,01:31:22,04:33:39,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
6,Kirralee Seidel,26,F PRO,Australia,00:28:46,02:37:14,01:47:12,04:56:00,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
3,Noriyuki Tanaka,359,M 35-39,Japan,00:30:18,02:33:55,01:34:14,04:43:40,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
4,Kephren Izzard,325,M 35-39,Australia,00:30:02,02:33:26,01:37:58,04:45:07,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
2,Dale Jamieson,129,M 30-34,Australia,00:34:11,02:35:38,01:36:09,04:51:09,Ironman 70.3 Bintan,08/19/2018,"Bintan, Indonesia"
