Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Chris Leiferman,7,MPRO,USA,00:27:16,01:56:01,01:17:57,03:44:31,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
2,Tyler Butterfield,8,MPRO,BMU,00:25:42,02:03:42,01:11:56,03:44:40,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
3,Kennett Peterson,36,MPRO,USA,00:27:19,01:57:44,01:20:47,03:49:13,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
4,Andy Potts,5,MPRO,USA,00:24:58,02:01:12,01:20:47,03:50:18,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
5,Josh Amberger,4,MPRO,AUS,00:24:45,02:02:19,01:21:34,03:51:53,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
6,Ben Hoffman,1,MPRO,USA,00:25:35,02:04:36,01:20:26,03:53:47,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
7,Mario De Elias,45,MPRO,USA,00:28:35,02:06:56,01:16:56,03:55:48,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
8,Sam Long,6,MPRO,USA,00:28:57,02:00:36,01:23:42,03:56:00,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
9,Robbie Deckard,17,MPRO,USA,00:27:09,02:03:25,01:22:51,03:56:34,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
10,Joe Maloy,31,MPRO,USA,00:25:02,02:07:19,01:21:17,03:56:39,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
11,Andre Lopes,30,MPRO,BRA,00:27:12,02:05:19,01:22:03,03:57:46,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
12,Curtiss Feltner,21,MPRO,USA,00:28:44,02:03:35,01:22:31,03:58:17,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Matt McWilliams,175,M25-29,USA,00:29:25,02:05:41,01:18:53,03:58:18,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
13,Connor Weaver,42,MPRO,USA,00:27:19,02:12:22,01:17:33,04:00:19,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
14,Sean Daugherty,15,MPRO,USA,00:28:29,02:07:01,01:21:25,04:00:30,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
15,Nicholas Granet,26,MPRO,FRA,00:27:00,02:05:58,01:23:59,04:00:51,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
16,Danilo Pimentel,37,MPRO,BRA,00:25:37,02:10:38,01:23:07,04:02:18,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
17,Benjamin Deal,16,MPRO,USA,00:27:12,02:09:21,01:22:32,04:02:22,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
18,Ernest Mantell,32,MPRO,USA,00:28:29,02:07:41,01:23:17,04:03:32,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
19,Sean Harrington,27,MPRO,USA,00:28:55,02:12:05,01:21:40,04:05:58,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
20,Clay Emge,19,MPRO,USA,00:27:16,02:11:34,01:25:53,04:08:36,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Skye Moench,51,FPRO,USA,00:28:43,02:11:19,01:26:09,04:09:41,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Roy Madrid,1358,M18-24,USA,00:31:01,02:11:10,01:24:53,04:10:47,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
21,Christopher Busset,12,MPRO,CAN,00:31:00,02:12:40,01:23:46,04:10:55,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Rafael Falsarella,263,M35-39,BRA,00:28:37,02:11:56,01:26:46,04:11:15,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
22,Jorge Fuentes,23,MPRO,MEX,00:25:33,02:09:06,01:33:49,04:11:41,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Kevin Denny,377,M30-34,USA,00:28:01,02:15:18,01:24:45,04:11:54,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
23,Dylan Gillespie,24,MPRO,USA,00:25:37,02:06:17,01:37:40,04:12:44,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
2,Andrew Hall,379,M30-34,USA,00:28:16,02:10:57,01:30:34,04:13:09,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
24,Breno Melo,33,MPRO,USA,00:29:59,02:17:46,01:24:22,04:15:42,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
2,Lesley Smith,71,FPRO,USA,00:28:40,02:19:13,01:23:58,04:15:49,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
2,Matthew David Hurley,184,M35-39,USA,00:25:50,02:12:10,01:34:42,04:17:30,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
2,Brad Miles,373,M25-29,USA,00:30:03,02:13:09,01:24:18,04:17:38,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
25,Christopher Tommila,40,MPRO,USA,00:30:44,02:15:10,01:29:05,04:18:47,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
3,Meredith Kessler,53,FPRO,USA,00:27:33,02:20:16,01:27:13,04:18:57,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
26,Erik Peterson,35,MPRO,USA,00:28:33,02:12:37,01:34:49,04:19:52,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Brice Williams,197,M40-44,USA,00:27:44,02:17:42,01:29:46,04:20:24,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
3,David Luy,372,M25-29,USA,00:34:37,02:16:36,01:23:43,04:20:39,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
27,Evan Price,38,MPRO,USA,00:33:03,02:11:54,01:33:47,04:22:16,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
-,Team The Sweat Aesthetic,4060,URELAY,USA,00:30:54,02:23:18,01:25:23,04:23:04,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Tim Hola,198,M45-49,USA,00:26:08,02:19:28,01:33:12,04:23:16,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
3,John Seddon,2004,M35-39,USA,00:28:44,02:11:51,01:38:57,04:24:00,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
3,Daniel Reyes,180,M30-34,VEN,00:27:24,02:15:47,01:37:01,04:24:10,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
-,Team Three Little Fonzies,4064,URELAY,USA,00:27:34,02:11:16,01:42:54,04:25:03,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
2,Sebastian Borowik,190,M40-44,POL,00:35:34,02:11:41,01:33:16,04:25:53,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
4,Justin Mendoza,176,M25-29,USA,00:30:30,02:19:50,01:31:26,04:27:04,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
5,Ryan Vonderach,177,M25-29,USA,00:34:05,02:21:06,01:26:56,04:27:24,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
4,David Hodge,182,M35-39,USA,00:32:50,02:12:27,01:35:21,04:27:53,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
5,Joel Homan,183,M35-39,USA,00:32:53,02:17:35,01:32:42,04:27:54,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
3,Nick Lehecka,2168,M40-44,USA,00:29:56,02:15:19,01:37:53,04:27:57,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Alina Hanschke Busch,223,F35-39,MEX,00:29:28,02:27:27,01:27:29,04:28:16,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
6,Gregory Lindquist,267,M35-39,USA,00:30:23,02:15:43,01:38:47,04:28:30,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
4,Cory Rose,181,M30-34,USA,00:36:07,02:17:15,01:31:22,04:30:16,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
7,Michael Kloosterman,186,M35-39,USA,00:29:28,02:13:58,01:41:24,04:30:33,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
28,Tyler Ems,20,MPRO,USA,00:28:53,02:14:03,01:43:29,04:30:34,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Jeff Fieldhack,201,M50-54,USA,00:30:21,02:21:41,01:34:12,04:31:07,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
4,Luiza Cravo,59,FPRO,BRA,00:30:48,02:25:11,01:32:11,04:31:50,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
5,Romina Palacio,66,FPRO,ARG,00:28:41,02:27:43,01:32:17,04:32:21,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
-,Team Big And Sexy Beasts,4079,URELAY,USA,00:30:19,02:12:28,01:46:44,04:32:46,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
6,Rachel Olson,65,FPRO,USA,00:27:15,02:27:12,01:34:58,04:33:01,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
7,Uli Bromme,57,FPRO,USA,00:00:00,00:00:00,01:31:38,04:33:48,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
5,Nicholas Parton,178,M30-34,USA,00:32:52,02:20:18,01:35:35,04:33:48,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Dani Fischer,157,F30-34,USA,00:30:58,02:23:08,01:35:50,04:34:29,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
8,Danielle Mack,54,FPRO,USA,00:33:41,02:22:11,01:35:47,04:35:18,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
9,Stephanie Roy,69,FPRO,CAN,00:32:33,02:28:44,01:30:08,04:35:28,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
6,Paul Smith,1535,M25-29,USA,00:40:25,02:15:21,01:35:03,04:35:37,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
7,Alex Ranum,251,M25-29,USA,00:33:45,02:17:46,01:40:23,04:35:57,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
2,Brian Miller,299,M45-49,USA,00:28:27,02:20:29,01:43:36,04:37:10,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
29,Steven Zawaski,44,MPRO,USA,00:27:03,02:15:52,01:47:09,04:37:30,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
30,Timothy Winslow,43,MPRO,USA,00:27:04,02:12:06,01:47:10,04:37:31,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
10,Kinsey Laine,63,FPRO,USA,00:28:38,02:23:36,01:41:48,04:37:39,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
11,Nicole Falcaro,60,FPRO,USA,00:33:45,02:29:57,01:30:36,04:38:06,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
12,Maggie Rusch,70,FPRO,USA,00:30:46,02:24:49,01:40:06,04:39:02,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
6,Luke Meyers,383,M30-34,USA,00:32:22,02:15:08,01:45:56,04:39:44,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
8,Devin Quinn,1512,M25-29,USA,00:34:07,02:24:21,01:37:00,04:40:26,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
7,Julian Wheating,384,M30-34,USA,00:30:46,02:24:29,01:41:44,04:41:22,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
8,Chris Thomas,1782,M30-34,USA,00:30:35,02:23:47,01:40:36,04:41:28,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
4,Brian Andzejewicz,275,M40-44,USA,00:37:29,02:20:56,01:39:06,04:42:16,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
3,John Elam,2311,M45-49,USA,00:31:49,02:25:16,01:40:44,04:42:55,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
8,David Isham,185,M35-39,USA,00:33:26,02:20:53,01:42:09,04:43:10,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
2,Kevin Konczak,434,M50-54,USA,00:30:43,02:23:42,01:44:38,04:43:23,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
9,Daniel J Brienza,389,M35-39,USA,00:30:10,02:20:15,01:49:01,04:44:34,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
9,William Lagreca,250,M25-29,USA,00:34:32,02:19:44,01:45:36,04:44:44,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
5,Richard Fazzani,279,M40-44,BRA,00:33:28,02:23:05,01:43:16,04:45:09,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
9,Luis Iturralde,254,M30-34,USA,00:30:21,02:25:19,01:44:32,04:45:14,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Kelly Phuah,172,F45-49,AUS,00:33:49,02:23:27,01:43:36,04:45:22,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
10,Brian Devlin,261,M35-39,USA,00:29:27,02:18:28,01:52:48,04:46:18,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
3,Jeffrey Sankoff,202,M50-54,CAN,00:32:33,02:23:04,01:45:52,04:46:37,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
4,Scott Conry,2462,M50-54,USA,00:37:06,02:26:52,01:36:54,04:47:51,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Mark Knaeps,207,M60-64,BEL,00:34:09,02:26:05,01:41:46,04:47:53,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
10,Garth Wadsworth,1551,M25-29,ZAF,00:26:10,02:31:04,01:45:38,04:49:20,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
11,Zachary Shemon,2006,M35-39,USA,00:34:42,02:26:19,01:43:13,04:49:37,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
1,Eric Glaus,320,M55-59,USA,00:29:41,02:34:02,01:41:11,04:50:49,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
2,Steven Galat,205,M55-59,USA,00:32:40,02:28:04,01:44:35,04:51:19,Ironman 70.3 Boulder,08/03/2019,"Boulder, Colorado, USA
"
