Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Callum Millward,1,MPRO,NZL,00:24:37,02:01:32,01:16:46,03:47:03,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
2,Ben Hoffman,4,MPRO,USA,00:25:20,02:00:42,01:16:45,03:47:06,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
3,Matt Chrabot,2,MPRO,USA,00:23:39,02:02:31,01:17:51,03:48:07,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
4,Sam Appleton,3,MPRO,AUS,00:23:17,01:58:09,01:25:28,03:51:05,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
5,Alex Libin,8,MPRO,USA,00:26:00,02:04:09,01:21:50,03:56:23,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
6,Fernando Toldi,7,MPRO,BRA,00:25:17,02:08:06,01:20:17,03:57:58,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
7,Sean Daugherty,28,MPRO,USA,00:26:02,02:04:53,01:23:18,03:58:35,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
8,Paul Ambrose,5,MPRO,AUS,00:25:13,02:04:55,01:26:17,04:01:09,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
9,Steven Zawaski,20,MPRO,USA,00:25:44,02:05:24,01:26:59,04:02:48,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
10,Jake Montgomery,9,MPRO,AUS,00:26:08,02:02:30,01:29:55,04:02:59,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
11,Curtiss Feltner,35,MPRO,USA,00:27:27,02:07:29,01:23:46,04:03:53,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
1,Ellie Salthouse,42,FPRO,AUS,00:25:55,02:11:11,01:22:20,04:03:56,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
12,Robby Chalfant,33,MPRO,USA,00:27:44,02:07:15,01:25:18,04:05:00,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
13,Nicholas Granet,15,MPRO,FRA,00:25:22,02:04:34,01:30:32,04:05:33,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
1,Team D3 Speed Freaks,4067,RELAY,USA,00:27:38,02:05:59,01:27:39,04:05:57,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
14,Andre Lopes,24,MPRO,BRA,00:25:57,02:09:18,01:26:19,04:06:18,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
2,Jeanni Seymour,41,FPRO,ZAF,00:25:30,02:16:02,01:26:24,04:12:26,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
15,Andres Chirinos,16,MPRO,PER,00:28:11,02:07:03,01:34:07,04:14:20,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
1,Matt Bevil,1361,M25-29,USA,00:27:15,02:15:26,01:27:06,04:14:37,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
16,Dylan Gillespie,36,MPRO,USA,00:24:49,02:10:40,01:34:55,04:14:41,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
1,Francisco Gonzalez,414,M35-39,CHL,00:28:05,02:16:00,01:26:03,04:15:03,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
17,Colin Laughery,30,MPRO,USA,00:29:40,02:10:48,01:31:45,04:17:09,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
3,Lesley Smith,44,FPRO,USA,00:26:58,02:19:31,01:25:27,04:17:24,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
2,Julian Wheating,1473,M25-29,USA,00:29:03,02:13:37,01:31:09,04:18:42,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
4,Paula Findlay,46,FPRO,CAN,00:25:57,02:16:15,01:32:22,04:19:14,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
3,Bruce Deakyne,2560,M25-29,USA,00:24:48,02:17:56,01:29:47,04:19:20,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
1,Tim Hola,154,M40-44,USA,00:25:56,02:16:24,01:32:35,04:19:53,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
5,Alicia Kaye,43,FPRO,USA,00:25:34,02:16:35,01:33:09,04:20:08,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
2,Gregory Lindquist,151,M35-39,USA,00:28:48,02:11:49,01:34:50,04:20:18,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
4,Rodrigo Romero Garcia De La Cadena,2568,M25-29,MEX,00:28:06,02:15:04,01:32:25,04:21:18,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
6,Stephanie Roy,48,FPRO,CAN,00:29:31,02:22:50,01:24:51,04:22:02,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
1,Joshua Mundy,2556,M18-24,AUS,00:33:01,02:13:46,01:28:30,04:22:07,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
1,Ryan Hackett,254,M30-34,USA,00:31:42,02:15:06,01:30:14,04:22:53,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
2,Rob Gray,283,M40-44,ZAF,00:29:41,02:12:39,01:34:39,04:23:10,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
18,Brian Folts,29,MPRO,USA,00:30:11,02:16:15,01:31:56,04:23:34,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
2,Jaryd Browne,142,M18-24,ZAF,00:28:09,02:14:56,01:36:28,04:24:07,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
5,David Born,246,M25-29,USA,00:29:45,02:15:24,01:34:50,04:25:06,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
1,Madeline McKeever,791,F30-34,USA,00:34:06,02:16:16,01:28:38,04:25:17,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
3,Caleb Smidt,275,M35-39,USA,00:31:34,02:19:14,01:29:26,04:26:24,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
2,Nicholas Parton,261,M30-34,USA,00:32:56,02:14:00,01:33:21,04:26:26,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
3,Robert Craig,144,M30-34,USA,00:30:57,02:17:36,01:32:19,04:26:30,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
6,Ryan Derrick,1381,M25-29,USA,00:30:36,02:25:13,01:25:45,04:26:32,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
3,Seth Kurtz,2553,M18-24,USA,00:25:51,02:12:59,01:42:17,04:26:57,Ironman 70.3 Boulder,08/04/2018,"Boulder, Colorado, USA"
