Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Rodolphe Von Berg,1,MPRO,USA,00:23:05,02:01:06,01:10:58,03:37:37,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
2,Pablo Dapena Gonzalez,5,MPRO,ESP,00:23:03,02:01:09,01:11:56,03:38:46,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
3,Igor Amorelli,2,MPRO,BRA,00:23:07,02:01:00,01:16:32,03:43:30,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
4,Martin Ulloa,16,MPRO,CHL,00:23:02,02:08:51,01:11:21,03:45:52,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
5,Andre Lopes,9,MPRO,BRA,00:24:03,02:07:54,01:13:49,03:48:22,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
6,Paulo Roberto Maciel Da Silva,3,MPRO,BRA,00:23:09,02:08:42,01:16:27,03:50:57,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
7,Eduardo Lass,8,MPRO,BRA,00:23:08,02:08:49,01:16:39,03:51:16,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
8,Flavio Morandini,11,MPRO,ARG,00:23:05,02:08:56,01:18:55,03:53:26,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
9,Mario DE Elias,6,MPRO,ARG,00:26:59,02:09:01,01:17:14,03:56:04,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
10,Fernando Toldi,15,MPRO,BRA,00:23:10,02:07:40,01:25:31,03:58:47,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
11,Nicolas Saez,13,MPRO,CHL,00:26:06,02:09:48,01:22:11,04:01:26,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
1,Chelsea Sodaro,20,FPRO,USA,00:26:25,02:18:13,01:19:36,04:07:16,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
12,Breno Melo,10,MPRO,BRA,00:27:04,02:17:18,01:20:16,04:07:47,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
1,Juanca Torres,660,M35-39,CHL,00:27:09,02:18:15,01:20:30,04:09:03,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
1,Bruno Khouri,1235,M40-44,BRA,00:27:18,02:16:43,01:23:09,04:10:19,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
1,Lautaro Javier Carrizo,502,M18-24,ARG,00:26:41,02:15:05,01:25:50,04:11:03,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
2,Paulo Henrique Manzini,130,M40-44,BRA,00:28:16,02:15:56,01:26:22,04:14:40,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
1,William Graca,158,M25-29,BRA,00:28:21,02:19:31,01:24:09,04:15:20,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
2,Martin Gallardo,500,M18-24,ARG,00:30:01,02:17:30,01:25:13,04:16:14,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
2,Leandro LE O,134,M35-39,BRA,00:28:27,02:19:05,01:25:16,04:16:33,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
2,P Mella Oliveira,17,FPRO,BRA,00:24:33,02:18:54,01:30:57,04:17:30,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
3,Tamara Jewett,25,FPRO,CAN,00:28:23,02:27:40,01:17:57,04:17:41,Ironman 70.3 Buenos Aires,11/03/2019,"Buenos Aires, Argentina"
