Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Clay Emge,17,M 30-34,US,00:23:15,02:20:25,01:23:19,04:09:47,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Mark Saroni,1,M 25-29,US,00:28:06,02:24:00,01:28:21,04:22:53,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Reid Foster,9,M 30-34,US,00:26:34,02:21:20,01:37:08,04:28:20,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
3,Benjamin Fuqua,63,M 30-34,US,00:26:49,02:28:01,01:31:29,04:29:41,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Tim Hola,25,M 40-44,US,00:23:54,02:32:15,01:32:35,04:31:27,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Sean Hale,574,M 35-39,US,00:25:54,02:23:58,01:41:01,04:33:48,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Jamie Cleveland,205,M 45-49,US,00:25:01,02:32:45,01:33:55,04:35:06,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Christopher Tommila,252,M 25-29,US,00:27:46,02:32:49,01:35:47,04:39:38,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Brendan Loehr,10,M 35-39,US,00:28:24,02:30:01,01:44:03,04:45:22,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Matt Desmond,136,M 45-49,US,00:29:55,02:36:05,01:36:51,04:45:44,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
4,Ryan Hackett,79,M 30-34,US,00:29:05,02:37:52,01:35:58,04:46:15,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Sean Lewis,413,M 50-54,US,00:34:50,02:28:14,01:41:39,04:48:17,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
3,Rasmus Frandsen,273,M 25-29,US,00:33:52,02:33:08,01:42:19,04:52:35,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Alex Begg,200,M 55-59,US,00:26:45,02:28:52,01:54:12,04:53:59,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
4,Greg Dundas,61,M 25-29,US,00:32:49,02:36:51,01:41:43,04:54:01,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
5,Sebastian Haynes,266,M 25-29,US,00:27:19,02:43:12,01:42:40,04:56:58,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Chris Rulon,16,M 50-54,US,00:30:05,02:37:45,01:47:56,04:59:56,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Moshe Peri,581,M 40-44,US,00:29:45,02:43:23,01:45:00,05:00:20,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
3,Shawn Bonsell,499,M 50-54,US,00:23:36,02:34:16,01:59:40,05:00:55,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
6,Bobby Zeller,540,M 25-29,US,00:32:08,02:29:52,01:54:27,05:02:02,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Haley Koop,5,F 30-34,US,00:33:19,02:42:59,01:45:26,05:04:06,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Gregory Cusack,256,M 18-24,US,00:26:58,02:40:40,01:56:09,05:06:46,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
3,Travis Keane,520,M 45-49,US,00:26:44,02:42:52,01:55:15,05:07:49,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
3,Troy Clifton,39,M 40-44,US,00:29:16,02:35:28,01:59:25,05:08:39,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
7,Jonathan Nichols,522,M 25-29,US,00:32:58,02:48:43,01:44:43,05:09:42,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Katie Tommila,67,F 25-29,US,00:28:27,02:47:16,01:55:29,05:15:03,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
4,Anson Markwell,70,M 40-44,US,00:37:36,02:47:30,01:46:01,05:15:47,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Jim Lukanich,134,M 60-64,US,00:37:48,02:44:24,01:49:37,05:16:15,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
5,Mark Reese,122,M 30-34,US,00:33:52,02:41:03,01:57:25,05:16:17,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
8,Brian Steiner,106,M 25-29,US,00:33:07,02:43:40,01:56:44,05:16:41,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
6,Colton Patton,53,M 30-34,US,00:35:43,02:48:44,01:49:13,05:18:16,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
3,Kaleb Franklin,125,M 35-39,US,00:35:07,02:41:06,01:57:52,05:18:57,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
4,Robert Toth,13,M 50-54,US,00:34:23,02:44:38,01:55:28,05:19:38,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
-,Jeff Allen,915,M ,US,00:28:11,03:02:20,01:47:04,05:19:52,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
4,Christopher Dekock,400,M 45-49,US,00:29:08,02:45:34,02:01:33,05:19:57,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Jeannine Mahoney,194,F 45-49,US,00:35:18,02:53:58,01:47:53,05:20:41,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
4,Anibal Delgado,84,M 35-39,US,00:36:11,02:49:58,01:51:30,05:21:36,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
5,Bob Richter,72,M 50-54,US,00:35:34,02:53:38,01:46:39,05:22:01,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
6,Rick Phelan,423,M 50-54,US,00:37:28,02:43:09,01:57:11,05:22:06,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
5,Andrew Yandell,45,M 45-49,US,00:33:09,02:44:51,02:01:23,05:24:46,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Stephanie Melkonian,65,F 30-34,US,00:31:21,02:57:28,01:52:40,05:25:03,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
7,Mark Clee,597,M 30-34,US,00:31:48,03:08:15,01:40:25,05:25:09,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
7,Gerald Jackson,56,M 50-54,US,00:35:54,02:56:43,01:48:35,05:25:11,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
8,John Wilson,11,M 50-54,US,00:33:01,02:55:59,01:50:39,05:25:51,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
5,Jeff Hancock,580,M 40-44,US,00:33:33,02:44:52,02:03:30,05:26:30,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
6,Scott Olden,163,M 45-49,US,00:35:19,02:55:57,01:54:10,05:27:42,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Larissa Rabago,265,F 25-29,MX,00:30:44,03:08:59,01:42:44,05:27:47,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
7,Justin Willoughby,30,M 45-49,US,00:32:13,02:54:53,01:56:07,05:27:51,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Michael Madison,903,M TEAMMALE,US,00:36:15,03:09:33,01:39:09,05:28:25,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
9,Lee Rebodos,485,M 50-54,US,00:38:56,03:01:51,01:44:18,05:29:13,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
10,Jeff Evanson,417,M 50-54,US,00:43:04,02:46:03,01:53:08,05:29:16,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Lisa Buckner,86,F 40-44,US,00:30:59,02:54:19,02:00:50,05:30:55,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Jeffrey Fox,591,M 55-59,US,00:36:14,02:55:05,01:54:42,05:31:00,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
1,Liz Miller,505,F 35-39,US,00:32:13,03:04:31,01:49:49,05:31:26,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Michelle Cleveland,466,F 40-44,US,00:26:00,03:03:02,01:58:17,05:31:51,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
-,Cyril Russel-Harris,909,M ,US,00:28:31,02:41:40,02:20:03,05:31:59,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
3,Garrett Brown,12,M 55-59,US,00:36:09,02:47:07,02:03:39,05:32:01,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
-,Jerome Varriale,901,M ,US,00:26:28,03:16:00,01:46:59,05:32:02,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
8,Preston Campbell,295,M 30-34,US,00:34:19,02:42:42,02:10:33,05:32:11,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
8,Michael Brett Wallis,556,M 45-49,US,00:32:57,02:45:56,02:08:47,05:32:13,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
9,John Schwab,81,M 45-49,US,00:34:20,02:47:52,02:05:37,05:32:47,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
5,Jeremy Swan,321,M 35-39,US,00:31:16,02:57:00,02:01:27,05:32:48,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
11,David Lassiter,31,M 50-54,US,00:36:47,02:57:00,01:55:10,05:33:06,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Robin Parry,496,F 45-49,US,00:32:29,02:58:51,01:57:57,05:33:12,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
-,Benjamin Drezek,917,M ,US,00:28:02,03:36:20,01:26:55,05:33:24,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
6,Darwin Galviz,327,M 35-39,US,00:33:46,03:00:16,01:54:53,05:33:27,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
3,Elizabeth James,69,F 25-29,US,00:36:14,03:07:22,01:46:21,05:33:27,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Michael Sneddon,561,M 18-24,US,00:26:19,02:46:58,02:15:51,05:34:15,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
2,Inés Adriana Wong Diaz,2,F 35-39,MX,00:43:04,03:00:37,01:47:13,05:34:26,Ironman 70.3 Buffalo Springs Lake,06/24/2018,"Lubbock, Texas
"
