Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Brett Johnson,395,M35-39,AUS,00:31:03,02:09:29,01:17:14,04:00:56,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
1,Alex Stuart,288,M30-34,AUS,00:29:05,02:09:50,01:20:22,04:02:25,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
2,Kevin McEwan,407,M35-39,AUS,00:28:50,02:10:59,01:23:58,04:07:03,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
2,James Lewin,261,M30-34,AUS,00:27:59,02:10:38,01:26:11,04:08:09,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
3,Brendon Dimmer,361,M35-39,AUS,00:29:38,02:14:32,01:21:40,04:08:54,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
1,Mark Oakshott,531,M40-44,AUS,00:33:00,02:10:58,01:23:03,04:10:17,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
3,Bradley Smith,284,M30-34,AUS,00:26:20,02:11:47,01:29:10,04:11:19,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
2,Trent Dawson,987,M40-44,AUS,00:27:42,02:17:35,01:27:19,04:15:52,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
4,James Martin,404,M35-39,AUS,00:31:14,02:05:56,01:35:29,04:16:12,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
5,Loic Draoulec,366,M35-39,AUS,00:31:46,02:15:11,01:25:55,04:16:12,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
1,Ben Stone,186,M25-29,AUS,00:31:49,02:19:37,01:22:13,04:17:15,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
6,Jason Rhine,975,M35-39,AUS,00:28:47,02:20:27,01:24:45,04:17:47,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
1,Mathew Jennings,63,M50-54,AUS,00:29:04,02:11:19,01:34:42,04:18:48,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
2,Tyler Itzstein,156,M25-29,AUS,00:31:21,02:18:01,01:28:13,04:21:22,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
4,Claude Morris,266,M30-34,AUS,00:31:18,02:17:14,01:29:14,04:21:34,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
7,Jarryd Heldt,969,M35-39,AUS,00:29:08,02:14:14,01:34:43,04:22:16,Ironman 70.3 Busselton,05/01/2021,"Busselton Western Australia, Australia"
