Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matt Kerr,2005,M30-34,New Zealand,00:23:12,02:12:32,01:20:11,04:00:14,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
1,Team Rat Pack,4265,MRELAY,Australia,00:24:05,02:10:16,01:30:54,04:09:13,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
2,Team Brad White Coaching / Needham Multisport,4031,MRELAY,Australia,00:31:24,02:13:36,01:22:20,04:11:24,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
1,Team Triple Aaa,4017,XRELAY,Australia,00:33:52,02:11:20,01:23:43,04:13:30,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
2,Jason Hamilton,2004,M30-34,Australia,00:26:41,02:24:41,01:20:47,04:16:33,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
3,Team Jdt,4040,MRELAY,Australia,00:25:02,02:21:41,01:28:54,04:19:24,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
3,Rob Dendle,2003,M30-34,Australia,00:29:04,02:24:26,01:21:58,04:20:34,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
4,Graeme Renard,2006,M30-34,South Africa,00:25:53,02:20:30,01:30:39,04:21:52,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
4,Team Cassowary Coast Flyers,4033,MRELAY,Australia,00:25:20,02:29:03,01:24:20,04:22:56,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
2,Team Black Zero All Torque,4264,XRELAY,Australia,00:24:40,02:24:22,01:32:37,04:25:15,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
5,Thomas Kearns,2426,M30-34,Australia,00:23:22,02:26:30,01:31:30,04:25:36,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
1,Patrick Bleasel,2247,M25-29,Australia,00:29:10,02:27:40,01:24:00,04:25:36,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
1,Tim Hewitt,2608,M35-39,Australia,00:28:23,02:29:50,01:21:56,04:26:10,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
6,Glen Sturesteps,2470,M30-34,Australia,00:28:25,02:33:30,01:19:41,04:26:48,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
1,Michael Boult,2192,M18-24,Australia,00:24:06,02:38:10,01:20:21,04:26:48,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
2,Matt O'Brien,2001,M18-24,Australia,00:25:41,02:26:45,01:30:30,04:28:40,Ironman 70.3 Cairns,06/06/2021,"Cairns, Queensland, Australia"
