Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Team Black Zero,1634,XRELAY,Australia,00:29:25,02:13:39,01:25:54,04:13:15,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
1,Nathan Dortmann,1004,M25-29,Australia,00:28:20,02:18:16,01:24:15,04:15:06,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
1,Damien Bulters,1097,M35-39,Australia,00:25:26,02:24:53,01:35:06,04:29:20,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
1,Jason Hamilton,1388,M30-34,Australia,00:28:01,02:22:07,01:29:06,04:29:40,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
2,Jarrod Owen,1411,M35-39,Australia,00:29:53,02:26:39,01:27:40,04:30:20,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
2,Rob Dendle,1003,M30-34,Australia,00:31:55,02:20:06,01:32:04,04:34:19,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
2,Paul Marchant,1379,M25-29,Australia,00:28:11,02:29:56,01:32:54,04:35:57,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
1,Team Cassowary Coast Flyers,1605,MRELAY,Australia,00:27:35,02:36:45,01:27:58,04:36:48,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
1,Team Cassowary Coast Flyers,1605,MRELAY,Australia,00:27:35,02:36:45,01:27:58,04:36:48,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
2,Team The Terminators,1758,XRELAY,Australia,00:29:21,02:31:59,01:32:37,04:37:44,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
3,Graeme Renard,1029,M25-29,South Africa,00:28:43,02:26:40,01:38:17,04:39:06,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
3,Nick Carling,1002,M35-39,Australia,00:34:20,02:27:26,01:34:16,04:39:44,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
2,Team 1976,1633,MRELAY,Australia,00:27:06,02:27:41,01:46:00,04:44:33,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
2,Team 1976,1633,MRELAY,Australia,00:27:06,02:27:41,01:46:00,04:44:33,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
1,Andrew Carracher,1104,M40-44,Australia,00:32:42,02:26:24,01:37:02,04:45:47,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
3,Team Awkward Turtles,1688,XRELAY,Australia,00:38:47,02:44:01,01:18:47,04:46:48,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
4,Glenn Wassmuth,1392,M35-39,Australia,00:28:27,02:32:29,01:43:23,04:49:17,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
3,Callum Ogilvie,1265,M30-34,Australia,00:28:30,02:28:23,01:43:10,04:50:30,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
4,Team Black Zero All Torque,1695,XRELAY,Australia,00:26:20,02:39:21,01:42:53,04:52:27,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
1,Margo MacKintosh,1407,F35-39,Australia,00:29:38,02:36:57,01:35:24,04:52:51,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
5,Brendan Peeters,1027,M35-39,Australia,00:30:25,02:27:15,01:45:06,04:53:08,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
2,Tony Flanders,1394,M40-44,Australia,00:34:06,02:26:23,01:46:09,04:53:29,Ironman 70.3 Cairns,09/27/2020,"Cairns, Queensland, Australia"
