Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Ryan Brown,120,M30-34,CAN,00:28:11,02:03:04,01:24:47,04:00:45,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
1,Michael Boehmer,130,M40-44,USA,00:30:32,02:09:11,01:20:07,04:04:31,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
1,Dave Van Reeuwyk,418,M35-39,CAN,00:31:15,02:04:22,01:25:53,04:05:53,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
1,Michael Schnare,269,M25-29,CAN,00:30:54,02:09:01,01:24:13,04:06:31,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
2,Igor Lysov,384,M35-39,RUS,00:28:42,02:09:52,01:26:30,04:08:56,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
2,Eric Dokter,246,M25-29,CAN,00:27:40,02:15:10,01:24:10,04:09:36,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
3,Les Friesen,122,M35-39,CAN,00:34:02,02:07:37,01:24:53,04:09:53,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
4,Matt Stewart,410,M35-39,CAN,00:35:05,02:07:50,01:23:36,04:11:08,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
1,Team Tri IT Multisport,29,RELAY,CAN,00:25:23,02:08:05,01:37:40,04:13:17,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
2,Ryan Seguine,106,M40-44,USA,00:32:30,02:08:49,01:29:46,04:16:12,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
2,Patrick Howell,304,M30-34,CAN,00:28:12,02:10:30,01:34:17,04:16:35,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
3,Paul Jung,121,M30-34,CAN,00:31:25,02:09:03,01:30:22,04:17:14,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
3,Charles Metcalfe,465,M40-44,CAN,00:32:13,02:17:15,01:22:19,04:17:24,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
5,Adam Newns,171,M35-39,GBR,00:29:23,02:13:15,01:30:41,04:18:12,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
3,Richard Ford,250,M25-29,USA,00:29:32,02:05:33,01:40:47,04:18:49,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
4,Seth Barnes,102,M25-29,USA,00:33:24,02:12:05,01:29:33,04:18:57,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
4,Craig Schmitt,105,M40-44,CAN,00:39:16,02:11:48,01:23:44,04:19:41,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
5,Kevin Brisebois,238,M25-29,CAN,00:34:00,02:16:58,01:25:04,04:19:58,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
6,Conrad Rodas,126,M35-39,GTM,00:27:01,02:15:41,01:33:13,04:20:14,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
6,Loren Nelson,696,M25-29,CAN,00:28:13,02:06:16,01:42:25,04:21:17,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
1,Briana Noelle Boehmer,845,F40-44,USA,00:35:14,02:15:23,01:26:33,04:21:28,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
5,Jason Britton,440,M40-44,CAN,00:29:11,02:20:40,01:28:53,04:22:40,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
1,Scott Tremblay,560,M45-49,CAN,00:33:12,02:15:46,01:27:17,04:23:49,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
1,Rich Blanco,109,M50-54,USA,00:32:26,02:09:30,01:39:05,04:24:39,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
7,Adrian Chin,240,M25-29,CAN,00:34:57,02:11:54,01:33:18,04:24:48,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
2,Marshall Kronewitt,530,M45-49,CAN,00:32:54,02:15:10,01:32:31,04:25:09,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
1,Janine Willis,117,F45-49,CAN,00:30:33,02:19:39,01:31:16,04:25:17,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
4,Jordan Hirtle,301,M30-34,CAN,00:35:38,02:16:43,01:30:09,04:25:42,Ironman 70.3 Calgary,08/11/2019,"Calgary, Alberta, Canada
"
