Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Dave Van Reeuwyk,60,M35-39,CAN,00:31:56,02:04:56,01:22:57,04:02:52,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
1,Benjamin Rudson,139,M18-24,CAN,00:27:53,02:04:16,01:27:50,04:03:12,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
1,Team Underdogs 2.0,925,RELAY,CAN,00:34:50,02:04:42,01:22:22,04:04:52,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
1,Scott Cooper,861,M30-34,CAN,00:32:05,02:05:30,01:26:52,04:08:21,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
2,Team Tri To Die,918,RELAY,CAN,00:32:41,02:09:17,01:23:27,04:08:38,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
2,Les Friesen,947,M35-39,CAN,00:33:46,02:09:12,01:24:15,04:10:38,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
1,Cal Zaryski,873,M50-54,CAN,00:30:10,02:14:19,01:25:38,04:13:31,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
2,Todd Teren,230,M30-34,USA,00:27:29,02:14:07,01:28:22,04:14:05,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
1,Craig Schmitt,311,M40-44,CAN,00:37:24,02:11:18,01:22:45,04:15:34,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
3,Igor Lysov,30,M35-39,RUS,00:28:59,02:14:00,01:28:44,04:15:45,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
1,Ian Tucker,3,M25-29,CAN,00:32:22,02:06:02,01:37:24,04:18:44,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
4,Wyatt Kuntz,279,M35-39,CAN,00:32:14,02:10:16,01:33:22,04:19:36,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
2,Koulie Athens-Hunsberger,127,M18-24,CAN,00:29:53,02:15:29,01:31:03,04:20:01,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
3,Team Hard Core Chicking,904,RELAY,CAN,00:33:11,02:13:04,01:31:14,04:20:37,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
5,Tyler Johnston,272,M35-39,CAN,00:35:23,02:07:44,01:34:07,04:20:47,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
6,Aaron Hains,265,M35-39,CAN,00:29:08,02:14:11,01:33:45,04:20:57,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
2,Daniel Redelinghuys,42,M40-44,CAN,00:38:42,02:06:48,01:31:45,04:21:22,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
7,Ryan Seguine,5,M35-39,USA,00:33:51,02:13:13,01:29:37,04:21:35,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
8,Patrick McMahon,34,M35-39,CAN,00:34:07,02:15:27,01:28:25,04:21:42,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
9,Nathan Veldhoen,318,M35-39,CAN,00:30:00,02:13:47,01:34:37,04:23:10,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
3,Scott Voyles,4,M30-34,USA,00:36:43,02:12:49,01:29:38,04:23:19,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
2,Jeremy Waddell,170,M25-29,CAN,00:33:20,02:14:37,01:31:40,04:23:30,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
1,Darin Hunter,94,M45-49,CAN,00:31:42,02:16:30,01:33:17,04:24:53,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
1,Mark Newman,547,M55-59,USA,00:27:22,02:16:57,01:35:57,04:25:04,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
1,Katrina Rye,615,F25-29,GBR,00:29:27,02:18:17,01:33:05,04:25:15,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
10,Cory Krist,278,M35-39,CAN,00:30:48,02:16:10,01:35:44,04:26:06,Ironman 70.3 Calgary,07/29/2018,"Calgary, AB, Canada
"
