Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matthew Hanson,4,MPRO,USA,00:24:27,02:06:35,01:15:47,03:48:57,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
2,Jackson Laundry,9,MPRO,CAN,00:24:34,02:06:32,01:16:50,03:50:09,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
3,Michael Weiss,1,MPRO,AUT,00:25:34,02:04:31,01:19:35,03:52:24,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
4,David Guete,16,MPRO,COL,00:24:34,02:12:03,01:19:14,03:57:55,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
5,Jason Pohl,15,MPRO,CAN,00:25:38,02:11:46,01:18:17,03:58:32,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
6,Frank Silvestrin Souza,10,MPRO,BRA,00:24:24,02:12:48,01:25:04,04:04:52,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
7,Danilo Melo,17,MPRO,BRA,00:27:59,02:08:19,01:27:24,04:05:58,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
8,Santiago Gerez Levy,19,MPRO,MEX,00:24:41,02:18:04,01:22:37,04:07:25,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
9,Nicholas Chase,13,MPRO,USA,00:24:25,02:04:39,01:38:37,04:09:53,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
10,Cody Beals,7,MPRO,CAN,00:24:32,02:14:43,01:29:17,04:10:48,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
1,Andres Valerio Gutierrez,111,M25-29,MEX,00:25:16,02:20:21,01:25:37,04:14:13,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
11,Taylor Reid,6,MPRO,CAN,00:24:30,02:18:59,01:30:05,04:15:59,Ironman 70.3 Campeche,03/15/2020,"Campeche, Mexico"
