Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Michael Weiss,2,MPRO,AUT,00:29:11,02:00:24,01:17:12,03:50:02,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
2,Pieter Heemeryck,11,MPRO,BEL,00:26:52,02:04:27,01:17:32,03:51:28,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
3,Ben Hoffman,3,MPRO,USA,00:26:55,02:04:26,01:18:29,03:52:48,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
4,Matt Hanson,4,MPRO,USA,00:29:22,02:05:45,01:17:29,03:55:28,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
5,Frederik Van Lierde,1,MPRO,BEL,00:26:32,02:00:54,01:27:23,03:58:14,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
6,Michel Gonzalez,20,MPRO,CUB,00:25:45,02:07:29,01:22:18,03:58:30,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
7,Taylor Reid,9,MPRO,CAN,00:28:09,02:10:16,01:17:56,03:59:13,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
8,Trevor Wurtele,8,MPRO,CAN,00:29:04,02:07:10,01:25:29,04:04:20,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
9,Alan Carrillo,6,MPRO,MEX,00:29:15,02:07:33,01:25:40,04:05:34,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
10,Tim Rea,10,MPRO,AUS,00:28:17,02:07:28,01:27:08,04:05:53,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
11,Victor Arroyo Bugallo,14,MPRO,ESP,00:29:13,02:11:58,01:24:24,04:08:28,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
12,Santiago Gerez Levy,18,MPRO,MEX,00:29:08,02:17:56,01:25:00,04:14:28,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
13,Ivan Rana,7,MPRO,ESP,00:28:17,02:17:53,01:25:50,04:14:36,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
1,Heather Wurtele,30,FPRO,CAN,00:29:41,02:14:59,01:27:52,04:15:23,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
2,Jacalyn Hering,41,FPRO,USA,00:29:47,02:20:33,01:22:41,04:16:15,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
1,Jose Antonio Saenz Merida,797,M25-29,GTM,00:28:48,02:15:36,01:31:07,04:19:02,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
1,Carlos Alberto Arcadia Vargas,267,M30-34,MEX,00:28:52,02:24:58,01:24:18,04:21:12,Ironman 70.3 Campeche,03/17/2019,"Campeche, Mexico"
