Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Collin Chartier,8,MPRO,USA,00:24:16,01:59:23,01:17:02,03:43:38,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
1,Team ,4061,M45-49,COL,00:27:03,01:59:23,01:15:23,03:45:28,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
2,Igor Amorelli,5,MPRO,BRA,00:24:24,01:58:33,01:20:25,03:46:46,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
3,Bruno Matheus,4,MPRO,BRA,00:24:31,02:09:02,01:14:26,03:50:54,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
4,Fernando Toldi,9,MPRO,BRA,00:24:28,02:08:56,01:17:15,03:53:36,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
5,Joe Maloy,17,MPRO,USA,00:24:26,02:08:54,01:19:01,03:55:50,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
6,Kevin Collington,2,MPRO,USA,00:24:20,02:09:05,01:22:16,03:58:56,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
7,David Guete Quintero,12,MPRO,COL,00:26:42,02:13:14,01:16:57,03:59:57,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
8,Danilo Melo,13,MPRO,BRA,00:29:20,02:07:56,01:21:54,04:02:44,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
1,Jean Helbert Rios Escobar,186,M25-29,COL,00:29:55,02:17:43,01:21:07,04:13:09,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
1,Alejandro Guzman,89,M18-24,COL,00:30:52,02:10:26,01:28:04,04:13:21,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
2,Miguel Rodriguez Beltran,912,M18-24,ECU,00:29:12,02:17:19,01:24:28,04:15:55,Ironman 70.3 Cartagena,12/01/2019,"Cartagena, Colombia"
