Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Team Garmin Pro,4039,RELAY,COL,00:26:36,02:01:36,01:15:02,03:47:26,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
1,Kevin Collington,3,MPRO,USA,00:24:41,02:05:00,01:19:40,03:52:56,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
2,Horst Reichel,13,MPRO,DEU,00:24:48,02:07:51,01:17:12,03:54:00,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
3,TJ Tollakson,2,MPRO,USA,00:24:52,02:03:35,01:22:57,03:55:13,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
4,Carlos Javier Quinchara Forero,1,MPRO,COL,00:24:35,02:10:19,01:26:41,04:05:14,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
1,Nicolas Uerbe,122,M25-29,COL,00:29:17,02:09:39,01:34:42,04:17:54,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
2,Team Tecnoglass-Powerteam,4043,RELAY,COL,00:26:07,02:27:26,01:20:40,04:18:01,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
2,Francisco Sanclemente,105,M25-29,COL,00:20:18,00:00:00,01:39:58,04:18:15,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
5,Bruno Matheus,11,MPRO,BRA,00:24:46,02:23:50,01:26:51,04:18:50,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
1,Miguel Olarte Uribe,118,M30-34,COL,00:29:50,02:14:30,01:31:14,04:20:59,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
3,Team Aliados,4001,RELAY,COL,00:31:53,02:21:19,01:29:45,04:27:46,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
1,Diana Castillo,26,FPRO,COL,00:26:32,02:28:50,01:29:28,04:28:48,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
4,Team Cali,4004,RELAY,COL,00:26:38,02:25:07,01:35:42,04:31:03,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
2,Andres Felipe Rodriguez Rueda,2052,M30-34,COL,00:29:37,02:19:24,01:37:32,04:31:26,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
1,Juan Sebastian Mahecha Gomez,1883,M18-24,COL,00:30:25,02:23:27,01:33:37,04:31:38,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
3,Jonathan Alzate Ramirez,250,M25-29,COL,00:29:03,02:26:24,01:32:16,04:32:29,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
2,Kelsey Withrow,25,FPRO,USA,00:26:30,02:28:52,01:33:25,04:32:53,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
2,Pablo Gomez,123,M18-24,COL,00:31:55,02:17:34,01:39:00,04:33:50,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
1,Cristian Edward Orozco Ferro,164,M35-39,COL,00:38:45,02:22:16,01:31:07,04:36:18,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
3,Chrisstian Bernal Chavez,1466,M30-34,COL,00:29:19,02:25:10,01:36:34,04:36:19,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
5,Team Los Mexicanos,4016,RELAY,MEX,00:25:30,02:47:17,01:20:25,04:36:35,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
3,Sebastian Galvis,1874,M18-24,COL,00:32:52,02:25:34,01:35:18,04:37:27,Ironman 70.3 Cartagena,12/03/2017,"Cartagena, Colombia"
