Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Fernando Alarza,2,M PRO,ESP,00:22:32,02:15:24,01:11:17,03:54:56,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
2,João Silva,3,M PRO,POR,00:23:23,02:15:10,01:12:38,03:57:23,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
3,Filipe Azevedo,7,M PRO,POR,00:23:28,02:15:08,01:12:52,03:57:40,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
4,Aleksey Kalistratov,22,M PRO,RUS,00:24:06,02:14:21,01:13:08,03:57:43,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
5,Colin Norris,12,M PRO,GBR,00:24:09,02:14:23,01:13:12,03:57:48,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
6,Gustavo Rodriguez Iglesias,8,M PRO,ESP,00:26:36,02:10:19,01:16:29,04:00:10,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
7,Thomas Steger,13,M PRO,AUT,00:24:02,02:16:20,01:15:26,04:01:41,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
8,Jose Estrangeiro,5,M PRO,POR,00:24:06,02:14:34,01:17:55,04:02:38,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
9,Pedro Jose Andujar,34,M PRO,ESP,00:26:37,02:10:54,01:18:56,04:03:23,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
10,Guillaume Doree,20,M PRO,FRA,00:24:04,02:14:12,01:19:29,04:04:20,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
1,João Micael Bragadeste Mota,2458,M TR,POR,00:25:15,02:20:02,01:13:38,04:04:22,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
11,David Bishop,6,M PRO,GBR,00:24:07,02:15:30,01:19:14,04:05:16,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
12,Miguel Angel Fidalgo Rosselló,27,M PRO,ESP,00:23:57,02:14:45,01:21:03,04:05:37,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
2,Valdo Neves,2468,M TR,POR,00:27:55,02:16:34,01:16:13,04:06:03,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
13,Daniel Mugica Corrales,25,M PRO,ESP,00:24:28,02:14:37,01:20:38,04:06:06,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
14,Kevin Rundstadler,16,M PRO,FRA,00:23:56,02:11:36,01:24:45,04:06:26,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
3,António Calafate,2432,M TR,POR,00:28:15,02:15:12,01:22:17,04:10:54,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
15,Jon Unanue Ayerza,31,M PRO,ESP,00:23:53,02:26:12,01:16:47,04:13:46,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
1,Garate Txurruka,931,M 30,ESP,00:25:35,02:19:39,01:22:04,04:13:51,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
16,Bartosz Banach,15,M PRO,POL,00:27:42,02:16:00,01:23:35,04:14:00,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
17,Emilio Martin Romero,4,M PRO,ESP,00:39:19,02:18:25,01:09:23,04:14:21,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
4,Vasco Monteiro,2426,M TR,POR,00:25:20,02:27:44,01:16:28,04:14:45,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
5,Paulo Figueiredo,2464,M TR,POR,00:28:21,02:15:42,01:25:20,04:14:49,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
1,Kristoffer Visti Graae,631,M 18,DEN,00:27:28,02:15:33,01:24:58,04:15:19,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
2,Cédric Labadens,880,M 30,FRA,00:30:06,02:18:18,01:19:55,04:16:00,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
2,Dylan Magnien,620,M 18,FRA,00:24:38,02:20:04,01:24:04,04:16:04,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
6,Henrique Marcelino,2429,M TR,POR,00:30:05,02:24:31,01:17:01,04:17:10,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
1,Danny Hannover,1504,M 40,GER,00:32:07,02:16:57,01:22:37,04:18:20,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
1,Sara Gomes Da Silva,2493,F TR,POR,00:27:17,02:24:11,01:20:43,04:18:42,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
3,Jorge Unzueta March,189,M 30,ESP,00:29:21,02:22:57,01:19:25,04:18:45,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
2,Benoit Marcolini,62,M 40,FRA,00:28:41,02:19:30,01:23:40,04:19:49,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
1,Mikael Eriksson,759,M 25,FIN,00:27:59,02:21:00,01:24:21,04:20:26,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
4,Romain Pozzo Di Borgo,1085,M 30,FRA,00:26:42,02:26:23,01:20:31,04:20:36,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
2,Christian Trunk,677,M 25,GER,00:28:51,02:20:56,01:23:41,04:20:44,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
1,Javier Perez,204,M 35,ESP,00:29:56,02:22:09,01:21:56,04:21:04,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
18,Breno Melo,18,M PRO,BRA,00:27:35,02:27:01,01:19:57,04:21:24,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
5,Tobias May,195,M 30,GER,00:27:44,02:21:28,01:25:06,04:21:27,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
1,Nils Goerke,2028,M 45,GER,00:31:53,02:20:12,01:22:46,04:22:09,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
6,Jens Roegiers,101,M 30,BEL,00:27:36,02:25:17,01:21:45,04:22:29,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
3,Marvin Hirsch,752,M 25,GER,00:29:53,02:22:04,01:23:34,04:22:34,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
19,Bruno Pais,1,M PRO,POR,00:26:39,02:24:42,01:25:05,04:22:48,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
4,Pawe? Mitru?,769,M 25,POL,00:29:52,02:20:08,01:26:24,04:22:59,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
2,Andreas Hellstab,1152,M 35,GER,00:27:11,02:25:07,01:24:09,04:23:23,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
7,Eduardo Mourato,909,M 30,POR,00:27:23,02:25:30,01:23:20,04:23:38,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
3,Pierre Massonneau,61,M 35,FRA,00:25:32,02:24:33,01:26:18,04:23:40,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
8,Yurii Klym,111,M 30,UKR,00:29:55,02:21:19,01:25:54,04:24:12,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
9,Ross Simpson,1087,M 30,GBR,00:25:27,02:24:53,01:27:02,04:24:38,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
4,Antonio Luis Alcaraz Vicente,1163,M 35,ESP,00:28:31,02:23:30,01:24:42,04:24:55,"Ironman 70.3 Cascais, Portugal",09/30/2018,"Cascais, Portugal"
