Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Mauricio Mendez,2,MPRO,MEX,00:25:16,02:03:54,01:13:37,03:46:44,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
2,Tyler Butterfield,28,MPRO,BMU,00:25:29,02:03:41,01:14:42,03:47:39,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
3,Braden Currie,3,MPRO,NZL,00:25:16,02:03:44,01:15:15,03:48:12,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
4,Timothy James Reed,1,MPRO,AUS,00:25:32,02:03:32,01:19:44,03:52:50,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
5,Craig Alexander,6,MPRO,AUS,00:25:27,02:05:45,01:18:52,03:54:08,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
6,Luke McKenzie,10,MPRO,AUS,00:25:30,02:03:29,01:22:26,03:55:29,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
7,Mike Philips,26,MPRO,NZL,00:25:26,02:03:40,01:23:59,03:56:56,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
8,Casey Munro,23,MPRO,AUS,00:25:23,02:03:17,01:24:28,03:57:42,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
9,Jakub Langhammer,16,MPRO,CZE,00:25:35,02:05:42,01:22:57,03:58:20,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
10,Kevin Collington,13,MPRO,USA,00:25:12,02:05:59,01:24:51,04:00:12,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
1,Team Spectrum Tri-Team,3071,RELAY,PHL,00:29:42,02:13:21,01:15:08,04:02:26,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
11,David Mainwaring,18,MPRO,AUS,00:25:38,02:05:39,01:27:51,04:03:10,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
2,Team Spectrum Tri-Team 2,3220,RELAY,PHL,00:29:48,02:14:00,01:16:31,04:05:07,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
12,Sam?uel Melle? Betten,8,MPRO,AUS,00:25:26,02:05:29,01:30:51,04:06:12,Ironman 70.3 Cebu,08/05/2018,"Cebu, Philippines"
