Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Derek Stone,543,M30-34,USA,00:14:54,02:21:04,01:19:17,04:00:31,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
1,Sam Long,74,MPRO,USA,00:25:25,02:04:06,01:15:22,03:48:52,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
2,Michael Vanacora,545,M30-34,USA,00:14:47,02:17:48,01:23:11,04:01:35,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
2,Jackson Laundry,45,MPRO,CAN,00:23:55,02:05:38,01:16:42,03:50:44,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
3,Matt Hanson,47,MPRO,USA,00:24:01,02:08:43,01:15:08,03:52:24,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
3,Conrad Goeringer,739,M30-34,USA,00:18:36,02:15:43,01:22:13,04:01:47,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
4,Antoine Jolicoeur Desroches,50,MPRO,CAN,00:22:06,02:07:48,01:19:47,03:53:48,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
4,Eric Engel,397,M30-34,USA,00:14:38,02:18:21,01:24:05,04:03:07,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
1,Dustin Leutenegger,562,M35-39,USA,00:17:05,02:16:18,01:24:51,04:03:53,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
5,Matt Russell,48,MPRO,USA,00:25:22,02:05:10,01:21:20,03:56:24,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
1,Jeffrey Case,523,M25-29,USA,00:14:22,02:23:00,01:21:48,04:04:17,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
6,Scott Defilippis,62,MPRO,USA,00:26:18,02:13:55,01:14:47,04:00:48,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
7,Justin Park,79,MPRO,USA,00:25:20,02:13:02,01:17:43,04:01:02,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
1,Karel Sumbal,416,M40-44,CZE,00:15:17,02:21:32,01:22:11,04:04:33,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
8,Justin Daerr,52,MPRO,USA,00:24:06,02:14:09,01:18:40,04:01:43,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
1,Peter Christensen,419,M45-49,USA,00:14:56,02:18:58,01:25:26,04:04:44,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
2,Matt Triick,569,M35-39,USA,00:16:21,02:18:42,01:24:51,04:05:58,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
9,Nicholas Chase,60,MPRO,USA,00:23:59,02:06:02,01:27:20,04:01:51,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
1,Branden Scheel,390,M18-24,USA,00:15:47,02:23:03,01:25:32,04:09:36,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
10,Derek Kidwell,71,MPRO,USA,00:24:03,02:06:20,01:27:51,04:03:08,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
3,Matt Gervais,405,M35-39,CAN,00:15:16,02:22:52,01:25:58,04:10:09,Ironman 70.3 Chattanooga,05/19/2019,"Chattanooga, Tennessee, USA"
