Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Olivier Godart,6,M40-44,Luxembourg,00:28:35,02:08:55,01:25:55,04:06:05,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
1,Davide Rossetti,115,M25-29,Italy,00:28:59,02:16:23,01:34:40,04:23:39,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
2,Francisco Gabriel Nebot Martin,16,M40-44,Spain,00:30:53,02:21:43,01:29:45,04:25:32,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
1,Jiri Krivanek,272,M30-34,Czech Republic,00:29:40,02:14:50,01:37:48,04:25:59,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
1,Nikolai Jenkins,10,M35-39,United States,00:32:28,02:18:15,01:32:17,04:26:09,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
2,Mario Bartolome Buil,38,M30-34,Spain,00:25:49,02:30:42,01:31:53,04:32:48,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
3,Jeren Seegers,20,M30-34,South Africa,00:26:37,02:18:16,01:45:52,04:33:54,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
2,James Buchanan,96,M35-39,United Kingdom,00:35:05,02:28:26,01:27:35,04:34:31,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
2,Sujay Shalawadi,214,M25-29,India,00:32:56,02:30:55,01:31:11,04:38:20,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
4,Rory Buck,249,M30-34,South Africa,00:26:33,02:20:52,01:48:22,04:39:06,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
5,Vlad Ixel,266,M30-34,Australia,00:33:46,02:21:54,01:42:21,04:40:57,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
6,Luka Cupic,252,M30-34,Montenegro,00:29:15,02:24:52,01:44:24,04:41:41,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
7,Folker Schwesinger,297,M30-34,Germany,00:27:10,02:25:15,01:47:08,04:43:10,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
1,Ling Er Choo,27,F30-34,Singapore,00:32:50,02:26:18,01:41:13,04:43:22,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
3,Joan Pedret Ruiz,60,M40-44,Spain,00:32:12,02:32:49,01:36:00,04:43:35,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
3,Christopher Wright,73,M35-39,United Kingdom,00:34:51,02:27:24,01:38:03,04:43:48,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
8,Manuel Javier Fernandez,4,M30-34,Spain,00:32:23,02:21:54,01:47:48,04:45:22,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
1,Nicola Pini,62,M18-24,Switzerland,00:33:10,02:22:28,01:46:13,04:45:46,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
1,Maksim Orlov,17,M45-49,Russian Federation,00:36:52,02:26:01,01:40:14,04:46:27,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
1,Ushakova Svetlana,86,F25-29,,00:27:27,02:32:02,01:44:17,04:46:40,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
9,Aday Alvarez Diez DE Ulzurrun,256,M30-34,Spain,00:25:57,02:22:10,01:56:10,04:47:15,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
4,Christian Henn,9,M40-44,Germany,00:29:55,02:18:32,01:56:23,04:47:46,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
10,Ambroise Aufrere,242,M30-34,France,00:38:22,02:33:58,01:30:41,04:48:59,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
3,Suranga Nuwan Kumara,195,M25-29,Sri Lanka,00:32:25,02:30:35,01:44:20,04:49:36,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
5,Alexis Girin,47,M40-44,France,00:33:50,02:28:47,01:44:11,04:49:54,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
2,Sam Sakai,19,M45-49,Japan,00:34:21,02:28:19,01:45:17,04:51:46,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
2,Andres Torres,23,M50-54,Colombia,00:29:00,02:29:01,01:51:26,04:52:45,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
11,Ben Hawkins,8,M30-34,Australia,00:32:49,02:23:54,01:52:55,04:52:59,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
2,Ashwin Doranegama,144,M18-24,Sri Lanka,00:28:33,02:42:11,04:53:16,04:53:16,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
12,Wouter Delbaere,42,M30-34,Belgium,00:37:24,02:28:18,01:47:01,04:55:43,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
14,Lakshman Kumarasingha,274,M30-34,Sri Lanka,00:35:01,02:38:18,04:58:54,04:58:54,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
4,Lakmal Perera,198,M25-29,Sri Lanka,00:30:36,02:41:25,04:59:04,04:59:04,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
2,Brittany Campbell,226,F25-29,Australia,00:28:59,02:38:12,01:49:58,05:00:15,Ironman 70.3 Colombo,02/25/2018,"Colombo, Sri Lanka"
