Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Nicholas Marcantonio,64,M25-29,USA,00:11:18,02:18:28,01:20:41,03:53:25,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
1,Marcelo Moreira,163,M30-34,BRA,00:10:24,02:22:16,01:21:54,03:58:58,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
1,Alexandre Boule,72,M40-44,CAN,00:11:02,02:26:37,01:19:30,03:59:55,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
2,Kevin Thomassin,68,M30-34,FRA,00:12:03,02:26:20,01:19:03,04:00:42,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
3,Greg Grosicki,158,M30-34,USA,00:11:01,02:23:03,01:24:27,04:02:02,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
4,Francis Martin,162,M30-34,CAN,00:13:13,02:21:01,01:27:07,04:05:24,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
2,Ben Besse,1117,M25-29,USA,00:11:17,02:26:04,01:24:00,04:05:42,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
1,Timothy Walton,90,M45-49,GBR,00:14:08,02:23:01,01:26:26,04:06:24,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
1,Timothy Collins,69,M35-39,CAN,00:13:22,02:26:48,01:22:55,04:07:21,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
2,Julien Schoenborn,184,M35-39,CAN,00:13:31,02:23:29,01:26:14,04:07:24,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
3,Charlie Larsen,1184,M25-29,USA,00:11:59,02:20:20,01:30:48,04:07:38,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
2,John Chambers,1711,M40-44,USA,00:12:04,02:21:53,01:31:23,04:09:23,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
4,Riley Carpenter,1127,M25-29,USA,00:12:48,02:31:15,01:21:55,04:09:35,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
1,Ty Gill,153,M18-24,USA,00:12:36,02:23:45,01:29:53,04:09:52,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
3,Nathaniel Thomas,1892,M40-44,USA,00:13:40,02:21:54,01:29:22,04:09:53,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
5,David Martin,1386,M30-34,USA,00:12:48,02:26:06,01:26:56,04:10:03,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
6,Sean Hannan,320,M30-34,USA,00:11:15,02:21:54,01:32:14,04:10:10,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
4,Enrico Schmoller,211,M40-44,DEU,00:13:04,02:30:30,01:23:08,04:11:08,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
5,Jamie Hoyt,347,M40-44,USA,00:13:09,02:22:18,01:31:23,04:11:55,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
7,Pat Redner,66,M30-34,USA,00:11:41,02:33:34,01:22:31,04:12:10,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
8,Mark Van Mechelen,167,M30-34,USA,00:11:12,02:27:22,01:29:46,04:12:28,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
2,Stephen Day,361,M45-49,GBR,00:13:09,02:31:46,01:23:45,04:13:22,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
3,John Cline,477,M35-39,USA,00:11:57,02:29:16,01:27:39,04:13:23,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
9,Nicolas Spiess,1442,M30-34,FRA,00:12:04,02:32:47,01:24:49,04:13:44,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
5,Ryan MacDonald,311,M25-29,CAN,00:11:38,02:23:51,01:35:10,04:14:47,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
10,Colin Martin,161,M30-34,USA,00:11:23,02:25:18,01:34:17,04:15:24,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
6,Brendan Corcoran,1717,M40-44,USA,00:11:43,02:31:27,01:28:09,04:15:39,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
11,Paul Zychowicz,169,M30-34,USA,00:12:17,02:28:36,01:31:58,04:16:43,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
6,Roman Fedosieiev,2533,M25-29,UKR,00:10:35,02:30:15,01:33:05,04:17:08,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
7,Brian Levine,1190,M25-29,USA,00:13:16,02:28:46,01:30:37,04:17:49,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
2,Daniel Linkinhoker,1085,M18-24,USA,00:12:19,02:25:07,01:37:00,04:17:55,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
8,Kyle Serreyn,155,M25-29,USA,00:11:37,02:35:20,01:29:41,04:19:49,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
-,Team Real Steel,4020,RELAY,RUS,00:10:48,02:32:01,01:34:15,04:19:49,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
4,Brenton Towne,188,M35-39,USA,00:13:58,02:31:22,01:29:15,04:19:59,Ironman 70.3 Connecticut,06/02/2019,"Middlebury, Connecticut"
