Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Santiago Ascenco,1,MPRO,BRA (BRAZIL),00:24:30,02:17:18,01:15:50,03:59:54,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
2,Martin Ulloa,13,MPRO,CHL (CHILE),00:23:13,02:19:20,01:17:00,04:02:00,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
3,Felipe Van De Wyngard,2,MPRO,CHL (CHILE),00:23:45,02:18:53,01:21:52,04:06:51,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
4,Nicolas Saez,9,MPRO,CHL (CHILE),00:24:57,02:21:42,01:19:46,04:08:54,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
5,Vicente Trewhela,14,MPRO,CHL (CHILE),00:22:30,02:17:25,01:27:49,04:10:05,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
6,Francisco Catalán,10,MPRO,CHL (CHILE),00:25:09,02:21:35,01:25:12,04:14:25,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
7,Jose Luis Rodriguez,17,MPRO,CHL (CHILE),00:31:44,02:14:51,01:25:09,04:15:32,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
8,Travis McGrath,7,MPRO,ZAF (SOUTH AFRICA),00:23:44,02:23:29,01:32:19,04:22:26,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
1,Javier Zamorano Sheward,164,M18-24,CHL (CHILE),00:28:02,02:30:30,01:21:21,04:22:41,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
1,Matías Opitz,79,M35-39,CHL (CHILE),00:27:14,02:30:03,01:22:41,04:22:58,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
1,Ellie Salthouse,19,FPRO,AUS (AUSTRALIA),00:25:30,02:32:51,01:23:51,04:24:53,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
2,Lucas Perillan,45,M18-24,CHL (CHILE),00:24:56,02:34:01,01:23:29,04:25:14,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
2,Gustavo Perreira,81,M35-39,BRA (BRAZIL),00:27:08,02:28:50,01:27:26,04:26:14,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
1,Ian Vargas,129,M30-34,CHL (CHILE),00:27:20,02:31:09,01:25:54,04:27:40,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
3,Moises Guillermo Torres Rojas,123,M35-39,CHL (CHILE),00:26:52,02:35:01,01:23:16,04:28:39,Ironman 70.3 Coquimbo,10/19/2019,"Coquimbo, Chile"
