Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Rom Akersol,786,M35-39,CRI,00:26:24,02:11:36,01:22:29,04:02:54,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
2,Ernesto Espinoza,551,M35-39,CRI,00:27:51,02:19:31,01:26:01,04:15:48,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
1,Federico Venegas Villegas,601,M25-29,CRI,00:26:21,02:21:26,01:26:58,04:16:52,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
-,Team Tricopilia Sport,920,URELAY,CRI,00:29:20,02:24:46,01:27:18,04:23:25,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
1,Eduardo Perez Sandi,710,M18-24,MEX,00:30:54,02:31:22,01:22:03,04:26:43,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
1,Alejandro Torre,81,M40-44,MEX,00:29:45,02:24:59,01:30:07,04:28:50,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
2,Sergio Monge,48,M25-29,CRI,00:28:09,02:31:26,01:30:00,04:31:57,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
3,Gustavo Vega Gongora,57,M35-39,CRI,00:28:31,02:25:01,01:36:05,04:32:24,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
4,Carlos Moncada,47,M35-39,CRI,00:26:34,02:18:37,01:45:34,04:33:35,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
1,John Garita,23,M30-34,CRI,00:29:25,02:29:34,01:31:55,04:33:39,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
2,Luis Diego Piedra Rojas,721,M18-24,NOR,00:26:22,02:33:51,01:30:37,04:34:20,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
2,Brice Venturini,520,M30-34,FRA,00:30:21,02:25:49,01:35:22,04:34:30,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
5,Rodolfo Zeledon,730,M35-39,CRI,00:31:28,02:28:00,01:33:59,04:36:32,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
3,Frank Serra Gonzalez,689,M30-34,CRI,00:30:38,02:32:16,01:35:18,04:41:15,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
2,Andres Fernandez,21,M40-44,CRI,00:37:14,02:28:15,01:33:25,04:41:38,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
3,German Josue Solis Guerrero,490,M25-29,CRI,00:30:29,02:32:45,01:36:57,04:42:42,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
6,Erick Jandette Guerrero,283,M35-39,MEX,00:33:13,02:36:59,01:30:29,04:42:58,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
1,Pierre-Yves Guedez,781,M45-49,FRA,00:36:49,02:30:21,01:34:32,04:44:34,Ironman 70.3 Costa Rica,06/23/2019,"Playa del Coco, Costa Rica"
