Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
-,Jose Antonio Ojeda Alfaro,1877,M 35-39,CRI,00:39:50,03:21:34,00:00:00,04:15:12,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
-,Franklin Matamoros Alpizar,772,M 50-54,CRI,01:20:12,03:16:10,02:02:42,06:48:22,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
-,Pablo Castro Mora,1172,M 30-34,CRI,01:13:17,02:44:37,02:39:38,06:44:17,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
-,Jose Alfredo Cruz,1190,M 30-34,CRI,01:12:07,02:44:08,02:11:14,06:13:36,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
-,Patricio Mendez,1274,M 30-34,MEX,00:39:31,23:14:12,02:34:48,02:34:48,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
-,Jorge Nery Morales Abril,2025,M 30-34,GTM,00:36:22,02:22:23,00:00:00,03:02:43,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
1,Kevin Collington,1,M PRO,USA,00:25:01,02:00:33,01:15:36,03:43:21,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
2,Carlos Quinchara Forero,11,M PRO,COL,00:25:03,02:00:41,01:19:57,03:47:58,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
3,Felipe Van De Wyngard,13,M PRO,CHL,00:25:04,02:00:36,01:21:35,03:49:44,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
4,Leonardo Chacon,2,M PRO,CRI,00:25:00,02:00:43,01:25:56,03:53:49,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
5,Steven Mckenna,10,M PRO,AUS,00:25:47,02:05:11,01:28:25,04:01:51,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
6,Pablo Herrera,3,M PRO,CRI,00:25:01,02:07:27,01:27:53,04:02:52,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
7,Carlos Aznar Gallego,6,M PRO,ESP,00:32:07,02:10:43,01:18:05,04:03:31,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
1,Carlos Moncada,155,M 30-34,CRI,00:28:13,02:07:24,01:27:04,04:05:43,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
2,John Garita Zamora,212,M 30-34,CRI,00:30:00,02:10:54,01:23:37,04:07:45,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
1,Federico Venegas Villegas,1110,M 25-29,CRI,00:26:55,02:13:52,01:25:02,04:08:18,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
1,Leanda Cave,16,F PRO,GBR,00:27:02,02:14:25,01:28:57,04:13:20,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
1,Alejandro Torre,2058,M 35-39,MEX,00:29:46,02:11:11,01:29:31,04:13:49,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
1,Luis Diego Piedra,2015,M 18-24,CRI,00:26:55,02:17:34,01:27:37,04:15:33,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
8,Tim Hancock,9,M PRO,GBR,00:29:28,02:18:49,01:26:52,04:18:42,Ironman 70.3 Costa Rica,06/18/2017,"Playa del Coco, Costa Rica"
