Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Mauricio Mendez,2,MPRO,MEX,00:23:37,02:08:07,01:16:14,03:50:30,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
2,Timothy James Reed,1,MPRO,AUS,00:23:43,02:06:46,01:19:20,03:52:24,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
3,Tim Van Berkel,3,MPRO,AUS,00:24:43,02:05:40,01:20:44,03:53:43,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
4,Craig Alexander,8,MPRO,AUS,00:24:41,02:06:57,01:22:02,03:56:22,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
5,Bradley Weiss,10,MPRO,ZAF,00:24:51,02:11:04,01:19:43,03:58:36,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
6,Kyle Buckingham,15,MPRO,ZAF,00:24:47,02:03:36,01:30:20,04:01:41,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
7,Samuel Melle Betten,4,MPRO,AUS,00:23:34,02:08:08,01:29:03,04:03:34,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
8,Eric Watson,7,MPRO,BHR,00:23:30,02:23:34,01:23:17,04:13:58,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
9,Ben Allen,13,MPRO,AUS,00:23:36,02:16:36,01:35:08,04:18:06,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
10,Brent McMahon,11,MPRO,CAN,00:23:33,02:08:09,01:45:46,04:20:36,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
11,Jorry Ycong,55,MPRO,PHL,00:27:31,02:24:10,01:29:48,04:24:13,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
12,August Benedicto,51,MPRO,PHL,00:31:21,02:20:22,01:30:58,04:25:00,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
13,Banjo Norte,54,MPRO,PHL,00:27:32,02:24:13,01:30:49,04:25:05,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
1,Radka Kahlefeldt,38,FPRO,CZE,00:26:02,02:23:35,01:33:02,04:25:38,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
1,David Watson,434,M35-39,GBR,00:32:29,02:21:13,01:33:43,04:31:21,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
1,Satar Salem,113,M18-24,PHL,00:32:16,02:24:26,01:34:19,04:34:40,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
14,Jumamil Paul,52,MPRO,PHL,00:26:46,02:20:36,01:46:31,04:36:22,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
2,Naomi Washizu,37,FPRO,JPN,00:29:25,02:36:01,01:28:07,04:36:53,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
3,Dimity Lee Duke,28,FPRO,AUS,00:29:21,02:36:01,01:30:49,04:39:12,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
2,Felipe Sajulga,413,M35-39,PHL,00:34:57,02:26:18,01:35:26,04:40:05,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
15,Benjamin Rana,53,MPRO,PHL,00:30:49,02:22:29,01:44:35,04:40:40,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
1,Vlad Ixel,231,M30-34,AUS,00:32:32,02:28:13,01:36:50,04:40:52,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
4,Lisa Tyack,36,FPRO,AUS,00:29:16,02:30:39,01:38:01,04:41:02,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
2,Vic Montebon,1134,M18-24,PHL,00:32:54,02:28:26,01:37:28,04:42:00,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
5,Kirralee Seidel,34,FPRO,AUS,00:27:21,02:28:55,01:44:40,04:43:37,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
1,Ralf Eberhardt,850,M45-49,CHE,00:31:36,02:24:07,01:45:26,04:45:00,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
1,Mervin Santiago,140,M25-29,PHL,00:32:41,02:28:58,01:38:11,04:47:37,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
1,Jarand Fjeld,727,M40-44,NOR,00:37:14,02:22:38,01:44:36,04:48:34,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
3,Ronald Molit,401,M35-39,PHL,00:29:41,02:25:50,01:49:51,04:48:51,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
3,Chobie Duenas,117,M18-24,PHL,00:37:26,02:32:27,01:37:40,04:50:36,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
2,Jefferson Tabacon,165,M25-29,PHL,00:35:59,02:34:44,01:37:27,04:50:39,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
1,Moya Johansson,1403,F25-29,AUS,00:30:12,02:36:08,01:42:47,04:52:00,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
6,Leanne Szeto,67,FPRO,HKG,00:29:18,02:40:23,01:39:25,04:52:14,Ironman 70.3 Davao,03/25/2018,"Davao, Philippines"
