Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Markus Rolli,5,MPRO,DEU,00:23:22,02:00:50,01:22:19,03:49:29,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
2,Craig Alexander,11,MPRO,AUS,00:25:18,02:06:59,01:17:13,03:52:20,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
3,Tim Van Berkel,3,MPRO,AUS,00:25:19,02:06:59,01:17:45,03:53:05,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
4,Timothy James Reed,2,MPRO,AUS,00:24:02,02:08:27,01:21:57,03:57:17,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
5,Sam​uel Melle​ Betten,8,MPRO,AUS,00:23:26,02:08:48,01:24:29,03:59:21,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
1,Thomas Elliott,469,M35-39,GBR,00:34:54,02:11:29,01:24:43,04:15:14,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
1,Radka Kahlefeldt,31,FEMPRO,CZE,00:26:55,02:21:49,01:25:10,04:16:51,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
2,Caroline ​claudia Steffen,32,FEMPRO,CHE,00:26:58,02:21:48,01:27:46,04:19:28,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
6,August Benedicto,51,MPRO,PHL,00:31:30,02:18:05,01:27:51,04:19:57,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
1,Joel David Liebi,419,M30-34,CHE,00:34:55,02:10:47,01:31:20,04:20:33,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
2,Jaryd Hamilton,299,M30-34,NZL,00:29:30,02:14:38,01:38:12,04:25:31,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
1,Team Tri Snd Barracuda B,3430,RELAY,PHL,00:31:32,02:27:44,01:25:24,04:28:05,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
2,Team Tribu Lapu-Lapu 2,3440,RELAY,PHL,00:37:04,02:23:14,01:23:24,04:28:13,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
3,Kirralee Seidel,34,FEMPRO,AUS,00:27:07,02:26:52,01:31:22,04:28:36,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
2,Petr Lukosz,572,M35-39,CZE,00:32:02,02:17:12,01:37:47,04:32:39,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
4,Dimity Lee Duke,33,FEMPRO,AUS,00:29:35,02:25:39,01:34:11,04:32:41,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
7,Jorry Ycong,54,MPRO,PHL,00:27:55,02:24:06,01:38:01,04:33:01,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
8,Banjo Norte,53,MPRO,PHL,00:29:23,02:22:17,01:38:41,04:33:02,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
1,Arnaud De Lustrac,144,M18-24,FRA,00:30:04,02:19:59,01:40:38,04:34:22,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
3,Marcel Guethoff,466,M35-39,DEU,00:34:56,02:23:32,01:32:05,04:35:01,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
2,Satar Salem,128,M18-24,PHL,00:32:04,02:21:39,01:40:40,04:37:30,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
1,Mervin Santiago,181,M25-29,PHL,00:34:19,02:24:43,01:35:30,04:37:38,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
4,Felipe III Sajulga,582,M35-39,PHL,00:35:53,02:23:25,01:35:01,04:38:05,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
5,Lisa Tyack,35,FEMPRO,AUS,00:32:04,02:32:52,01:31:20,04:39:19,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
2,John Dedeus Alcala,193,M25-29,PHL,00:36:43,02:26:17,01:33:41,04:40:36,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
3,Kristiane Glendale Lim,374,M30-34,PHL,00:32:31,02:26:59,01:40:09,04:42:53,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
3,Team Caltex Delo Tribu,3290,RELAY,PHL,00:35:46,02:39:23,01:26:53,04:44:53,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
3,Jailani Lamama,131,M18-24,PHL,00:33:29,02:25:01,01:43:14,04:45:16,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
4,Team Vanna Vida Farms,3262,RELAY,PHL,00:31:22,02:41:47,01:29:19,04:45:51,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
3,Vic Montebon,154,M25-29,PHL,00:34:03,02:30:50,01:37:55,04:46:14,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
4,Brian Borling,320,M30-34,PHL,00:35:30,02:21:35,01:45:50,04:46:21,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
1,Jefferson Valdez,756,M40-44,PHL,00:37:58,02:27:39,01:35:15,04:46:22,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
5,Team Lycans Triteam,3282,RELAY,PHL,00:36:59,02:34:23,01:32:38,04:48:13,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
4,Juanito Mahinay Jr.,178,M25-29,PHL,00:38:11,02:29:06,01:37:36,04:48:20,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
5,Leigh Gunn,659,M35-39,PHL,00:37:29,02:20:42,01:48:01,04:49:51,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
1,Sacha De Bilderling,1059,M45-49,BEL,00:29:42,02:28:42,01:48:44,04:50:24,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
5,Lorin Balandreau,259,M30-34,FRA,00:39:11,02:23:46,01:43:51,04:50:56,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
2,Benjamin Crookenden,1336,M40-44,GBR,00:35:45,02:25:33,01:46:18,04:51:33,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
4,Matthew Westrup,116,M18-24,PHL,00:36:14,02:26:32,01:45:18,04:51:40,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
5,Elias Tabac,141,M18-24,PHL,00:41:25,02:30:37,01:36:24,04:51:52,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
3,Yoshihiro Wada,705,M40-44,JPN,00:34:29,02:32:51,01:41:31,04:53:52,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
1,Andreas Goros,1188,M50-54,GRC,00:34:14,02:33:12,01:43:01,04:54:37,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
6,Miguel Aldeguer,113,M18-24,PHL,00:32:16,02:39:20,01:40:30,04:55:06,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
6,Dai Motoki,660,M35-39,JPN,00:39:42,02:24:07,01:47:33,04:55:27,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
4,Noel Garciano,729,M40-44,AUS,00:36:46,02:30:13,01:44:27,04:55:36,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
6,Michele Rudelli,296,M30-34,ITA,00:30:59,02:27:34,01:53:28,04:55:40,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
7,Pierce Aeron Tan,112,M18-24,PHL,00:36:01,02:32:10,01:43:29,04:55:57,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
2,Thomas Hardcastle,1190,M50-54,HKG,00:35:43,02:37:02,01:40:25,04:56:42,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
1,Maria Hodges,1556,FEM30-34,PHL,00:32:34,02:36:32,01:44:06,04:56:45,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
7,Ralph Francistino Arche,542,M35-39,PHL,00:33:30,02:37:47,01:41:47,04:56:46,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
8,James Rey Dimco,496,M35-39,PHL,00:42:16,02:28:31,01:41:05,04:57:13,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
7,Juan Basilio Salang,401,M30-34,PHL,00:47:12,02:31:23,01:35:26,04:58:10,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
9,Raymond Torio,52,MPRO,PHL,00:33:04,02:23:30,02:00:24,04:59:34,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
5,Joland Olmilla,194,M25-29,PHL,00:41:22,02:31:07,01:42:19,04:59:48,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
6,Team Tri-Fm,3353,RELAY,PHL,00:32:41,02:34:26,01:48:39,05:00:02,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
8,Mohammad Hanin Maruhom,126,M18-24,PHL,00:32:58,02:28:32,01:54:59,05:00:31,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
8,Benjamin Darde,385,M30-34,FRA,00:42:07,02:39:04,01:35:52,05:00:57,Ironman 70.3 Davao Philippines,03/24/2019,"Davao, Philippines"
