Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jason West,32,MPRO,USA,00:24:26,00:59:12,01:09:35,02:38:20,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
2,Collin Chartier,40,MPRO,USA,00:24:33,00:59:24,01:10:17,02:39:43,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
3,Jackson Laundry,2,MPRO,CAN,00:26:12,00:58:31,01:11:20,02:41:30,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
4,Joe Gambles,3,MPRO,AUS,00:26:04,00:58:27,01:12:16,02:42:33,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
5,Mauricio Mendez Cruz,7,MPRO,MEX,00:24:32,01:00:07,01:12:17,02:42:40,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
6,Brennen Smith,11,MPRO,CAN,00:24:29,00:59:37,01:14:11,02:43:29,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
7,Robbie Deckard,47,MPRO,USA,00:26:03,00:59:53,01:13:19,02:45:18,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
8,Brock Hoel,26,MPRO,CAN,00:24:26,00:59:24,01:16:25,02:45:56,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
9,Nicholas Chase,28,MPRO,USA,00:27:00,00:59:27,01:14:10,02:46:21,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
10,Andre Lopes,30,MPRO,BRA,00:25:58,01:00:24,01:14:26,02:46:42,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
11,Eric Lagerstrom,10,MPRO,USA,00:24:25,00:59:23,01:19:22,02:48:49,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
12,TJ Tollakson,37,MPRO,USA,00:25:41,00:58:28,01:19:04,02:49:35,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
13,Martin Ulloa,14,MPRO,CHL,00:24:33,00:58:36,01:22:47,02:51:18,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
14,Garrick Loewen,38,MPRO,CAN,00:25:37,01:00:23,01:20:26,02:52:54,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
1,Holly Lawrence,50,FPRO,GBR,00:25:42,01:04:03,01:18:08,02:53:46,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
15,Robby Webster,43,MPRO,USA,00:28:56,01:04:29,01:14:43,02:53:49,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
16,Tyson Wieland,23,MPRO,USA,00:27:45,01:05:42,01:15:33,02:54:14,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
17,Nicholas Marcantonio,35,MPRO,USA,00:29:31,01:00:06,01:18:02,02:54:34,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
18,Marty Andrie,45,MPRO,USA,00:25:35,01:05:23,01:17:19,02:54:49,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
2,Emma Pallant-Browne,53,FPRO,GBR,00:27:23,01:05:24,01:16:54,02:55:26,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
19,Erik Peterson,31,MPRO,USA,00:28:29,01:04:36,01:16:12,02:55:57,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
20,Kevin Collington,17,MPRO,USA,00:25:59,01:03:50,01:21:00,02:56:45,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
3,Jackie Hering,55,FPRO,USA,00:28:13,01:04:18,01:18:31,02:57:08,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
21,Ted Treise,33,MPRO,USA,00:28:42,01:02:11,01:21:11,02:58:24,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
22,Mikael Nathan,24,MPRO,CAN,00:28:51,01:02:43,01:21:05,02:58:36,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
1,Bryan Mooney,1547,M25-29,USA,00:31:15,01:05:47,01:14:52,02:58:58,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
1,Eric Engel,177,M30-34,USA,00:29:30,01:02:18,01:20:45,02:59:00,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
23,Hunter Lussi,16,MPRO,USA,00:26:18,01:03:56,01:22:23,02:59:33,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
24,Paul Stevenson,39,MPRO,USA,00:27:46,01:02:55,01:23:12,02:59:58,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
2,Luke Davis,1911,M25-29,USA,00:31:08,01:04:00,01:18:34,03:00:07,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
4,Jeanni Metzler,52,FPRO,USA,00:26:36,01:06:00,01:23:46,03:02:33,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
25,Travis Wood,12,MPRO,USA,00:29:01,01:01:44,01:25:49,03:02:56,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
26,Andy Krueger,25,MPRO,USA,00:26:11,01:06:00,01:23:42,03:02:57,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
5,Lesley Smith,56,FPRO,USA,00:28:41,01:08:39,01:18:56,03:03:01,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
3,Ryan Finke,819,M25-29,USA,00:25:20,01:05:45,01:25:38,03:04:10,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
6,Alissa Doehla,57,FPRO,USA,00:28:35,01:06:22,01:23:38,03:05:18,Ironman 70.3 Des Moines,06/20/2021,"Des Moines, Iowa, USA"
