Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,David McNamee,4,MPRO,,00:35:53,02:06:39,01:11:42,03:59:52,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
2,Romain Guillaume,5,MPRO,France,00:35:09,02:01:50,01:16:33,03:59:33,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
3,Sean Donnelly,14,MPRO,Germany,00:35:56,02:06:35,01:19:17,04:07:45,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
4,Bryan McCrystal,1,MPRO,Ireland,00:39:05,02:03:20,01:21:48,04:10:13,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
5,Elliot Smales,24,MPRO,,00:35:56,02:15:24,01:14:31,04:10:56,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
6,Fraser Cartmell,3,MPRO,,00:35:57,02:14:32,01:18:17,04:14:25,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
7,Robbie Wade,28,MPRO,United States,00:38:28,02:12:41,01:19:08,04:15:32,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
8,Eneko Llanos,29,MPRO,Ireland,00:31:07,02:12:54,01:20:02,04:10:31,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
9,Thomas Vandiest,26,MPRO,Belgium,00:38:57,02:17:23,01:16:54,04:19:10,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
10,Guillaume Dorée,15,MPRO,France,00:37:27,02:18:57,01:18:34,04:21:04,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
11,Joris Buyl,9,MPRO,Belgium,00:37:10,02:13:29,01:24:23,04:21:17,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
1,Lionel Roye,210,M35-39,France,00:28:18,02:21:02,01:16:20,04:12:13,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
1,Michael Birchmore,103,M25-29,,00:27:35,02:21:22,01:17:13,04:12:19,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
12,Matt Burton,8,MPRO,Australia,00:39:01,02:12:50,01:26:02,04:24:39,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
2,Peter Brook,208,M35-39,,00:32:23,02:13:26,01:20:35,04:13:45,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
1,Owen Martin,112,M40-44,Ireland,00:30:23,02:18:28,01:19:14,04:14:29,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
13,Felipe Manente,18,MPRO,Brazil,00:39:03,02:17:28,01:23:44,04:26:37,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
1,Aichlinn O'Reilly,932,M18-24,Ireland,00:25:55,02:18:07,01:24:41,04:15:02,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
3,Donal Sheehy,1203,M35-39,New Zealand,00:28:12,02:21:10,01:19:27,04:15:13,Ironman 70.3 Dublin,08/20/2017,"Dublin, Ireland"
