Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Alistair Brownlee,2,MPRO,United Kingdom,00:23:19,02:21:18,01:11:42,04:00:34,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
2,Elliot Smales,1,MPRO,United Kingdom,00:24:48,02:29:26,01:12:47,04:10:58,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
3,Adam Bowden,6,MPRO,United Kingdom,00:23:24,02:32:09,01:13:49,04:13:47,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
4,Chris Mintern,14,MPRO,Ireland,00:23:21,02:30:45,01:19:16,04:17:25,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
5,Matt Burton,7,MPRO,Australia,00:27:10,02:26:30,01:19:51,04:18:04,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
6,Kristian R°d,16,MPRO,Norway,00:27:54,02:33:57,01:15:51,04:21:49,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
1,Team Effort,2519,MRELAYTEAMS,Ireland,00:13:49,02:43:51,01:19:13,04:22:12,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
7,Harry Palmer,15,MPRO,United Kingdom,00:25:54,02:34:54,01:18:59,04:24:25,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
8,Pete Dyson,11,MPRO,United Kingdom,00:27:57,02:36:02,01:17:35,04:26:03,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
9,Bryan McCrystal,3,MPRO,Ireland,00:28:02,02:22:03,01:31:45,04:26:41,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
10,Elliot Bach,4,MPRO,United States,00:26:19,02:34:42,01:23:27,04:28:35,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
11,Laszlo Tarnai,9,MPRO,Hungary,00:24:50,02:40:01,01:21:05,04:30:35,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
12,Stefan Schumacher,21,MPRO,Germany,00:29:20,02:29:22,01:29:22,04:33:38,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
13,Dempsey Ian,20,MPRO,United Kingdom,00:26:20,02:41:38,01:21:42,04:34:30,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
1,Vanrisch McLean,1523,M35-39,United Kingdom,00:30:56,02:36:30,01:23:10,04:35:30,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
2,Mark Benson,803,M35-39,United Kingdom,00:17:55,02:45:55,01:25:39,04:35:43,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
1,Odd Ivar Solvold,1445,M50-54,Norway,00:16:19,02:48:45,01:24:43,04:36:37,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
1,Lewis Timmins,630,M30-34,United Kingdom,00:32:36,02:35:13,01:24:42,04:37:08,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
1,Team Fingal Triathlon Club,2526,XRELAYTEAMS,Ireland,00:17:28,02:55:01,01:20:46,04:37:13,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
1,Stephen Derrett,541,M25-29,United Kingdom,00:29:47,02:37:27,01:25:11,04:37:44,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
3,Manuel Marquart,111,M35-39,Switzerland,00:16:20,02:48:32,01:26:57,04:38:20,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
2,Peter Kennaugh,698,M30-34,United Kingdom,00:33:06,02:28:09,01:31:25,04:39:59,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
4,John Rourke,932,M35-39,Ireland,00:17:23,02:49:18,01:27:43,04:41:59,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
1,Owen Drew,479,M18-24,United Kingdom,00:16:20,02:48:09,01:30:50,04:43:12,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
1,Justin Dutton,1008,M40-44,Ireland,00:14:55,02:56:01,01:26:37,04:43:22,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
2,Team Wolfpack,2579,MRELAYTEAMS,Ireland,00:17:02,03:03:04,01:19:28,04:43:26,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
3,Team Carlow Tri Dream Team,2506,MRELAYTEAMS,Ireland,00:18:08,02:54:08,01:28:41,04:45:10,Ironman 70.3 Dun Laoghaire,08/25/2019,"Dun Laoghaire, Dublin, Ireland
"
