Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Olivier Godart,376,M 40-44,LUX,00:26:29,02:15:48,01:20:48,04:08:40,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
1,JeRUS Seegers,25,M 30-34,ZAF,00:25:43,02:22:53,01:25:14,04:20:31,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
1,Scott Bayvel,483,M 25-29,ZAF,00:26:22,02:17:54,01:30:26,04:21:04,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
1,Chris Bruchhausen,2,M 18-24,ZAF,00:27:12,02:27:49,01:22:04,04:22:31,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
2,Michael Cannon,3,M 30-34,ZAF,00:29:07,02:24:50,01:21:49,04:23:13,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
1,Ewert Kleynhans,1112,M 35-39,ZAF,00:32:53,02:21:00,01:23:36,04:24:14,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
2,Haig Gibb,8,M 25-29,ZAF,00:28:58,02:22:51,01:27:18,04:24:47,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
2,Bradley Venter,113,M 35-39,ZAF,00:26:21,02:22:48,01:31:15,04:26:20,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
3,Guy Close,40,M 35-39,ZAF,00:27:23,02:24:07,01:29:46,04:27:11,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
1,Mark Sack,203,M 45-49,ZAF,00:28:09,02:25:03,01:26:31,04:27:20,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
3,Gavin Mofsowitz,196,M 30-34,ZAF,00:29:28,02:24:49,01:25:53,04:27:25,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
2,Frederic Frank De Busscher,1370,M 40-44,BEL,00:31:59,02:13:02,01:34:37,04:28:01,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
4,Kelvin Van Der Doe,968,M 30-34,NLD,00:29:38,02:24:38,01:27:26,04:28:36,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
3,Darryn Purtell,641,M 25-29,ZAF,00:26:27,02:28:19,01:28:17,04:29:50,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
4,Tyrone Hellyer,566,M 25-29,NZL,00:26:40,02:27:43,01:30:03,04:30:27,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
5,Casper Moodie,79,M 25-29,ZAF,00:26:56,02:22:07,01:35:26,04:30:38,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
2,Ryan Schmitz,206,M 18-24,ZAF,00:28:00,02:25:38,01:25:17,04:30:41,Ironman 70.3 Durban,06/18/2017,"Durban, South Africa"
