Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Cody Beals,1,MPRO,CAN,00:24:42,02:03:25,01:16:06,03:49:03,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
2,Adam Otstot,6,MPRO,USA,00:26:32,02:04:42,01:19:10,03:55:32,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
3,Tim Rea,5,MPRO,AUS,00:25:24,02:05:51,01:19:57,03:56:30,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
4,Hunter Lussi,27,MPRO,USA,00:23:14,02:02:34,01:26:41,03:57:53,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
5,Scott Bradley,10,MPRO,USA,00:29:20,02:03:51,01:24:42,04:03:16,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
6,Andres Chirinos,9,MPRO,PER,00:27:37,02:09:16,01:23:52,04:06:34,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
7,Johnathan Lejeune,26,MPRO,USA,00:30:21,02:10:27,01:19:48,04:07:35,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
8,Daniel Clarke,19,MPRO,CAN,00:28:27,02:09:25,01:25:01,04:08:25,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
1,Scott Mingay,138,M30-34,USA,00:27:43,02:11:24,01:24:37,04:10:12,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
1,Cameron Hackett,208,M18-24,USA,00:24:06,02:13:45,01:26:39,04:10:45,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
1,Todd Burns,1270,M35-39,USA,00:25:37,02:10:52,01:27:44,04:11:23,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
1,Nicholas Marcantonio,211,M25-29,USA,00:27:22,02:15:30,01:21:39,04:11:45,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
2,Thomas Worob,1097,M25-29,USA,00:30:04,02:18:26,01:20:27,04:15:04,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
1,Stephanie Roy,37,FPRO,CAN,00:28:37,02:23:18,01:18:00,04:15:30,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
3,Theodore Treise,136,M25-29,USA,00:29:09,02:19:13,01:21:29,04:15:38,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
9,Benson Hall,15,MPRO,USA,00:26:43,02:10:34,01:33:57,04:16:59,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
2,Jodie Robertson,35,FPRO,USA,00:29:21,02:14:53,01:26:23,04:17:05,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
10,Josh Arden,21,MPRO,USA,00:27:23,02:19:48,01:24:17,04:17:24,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
1,Vincenzo Marchione,143,M40-44,USA,00:29:28,02:18:42,01:23:56,04:18:55,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
2,Thomas Lennon,2088,M35-39,USA,00:29:36,02:17:16,01:25:41,04:19:18,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
2,Jeffrey Angelini,2073,M30-34,USA,00:27:39,02:19:18,01:26:24,04:19:18,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
11,Vinicius Canhedo,7,MPRO,BRA,00:26:59,02:15:30,01:31:24,04:19:39,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
2,Michael Gadzinski,2154,M40-44,USA,00:26:07,02:10:17,01:38:14,04:20:40,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
3,Holly Benner,40,FPRO,USA,00:27:40,02:18:18,01:29:20,04:20:52,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
12,Frederic Bouchard,23,MPRO,CAN,00:29:09,02:20:00,01:26:43,04:21:21,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
3,Michael VAN Den Elsken,1407,M35-39,BEL,00:24:23,02:15:16,01:34:36,04:21:22,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
4,Jeremy Howard,1327,M35-39,USA,00:25:28,02:21:53,01:28:23,04:22:06,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
3,Yean Jimenez,213,M30-34,DOM,00:25:32,02:22:32,01:27:14,04:22:13,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
2,Thomas Rainer,988,M18-24,BRA,00:26:00,02:21:20,01:29:54,04:24:00,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
4,Kelsey Withrow,38,FPRO,USA,00:26:16,02:20:06,01:31:30,04:24:05,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
3,Aaron Church,2098,M40-44,USA,00:31:56,02:25:50,01:19:26,04:24:24,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
5,Cecilia Davis-Hayes,41,FPRO,USA,00:31:12,02:19:05,01:29:58,04:26:01,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
4,Tom Garvey,137,M30-34,USA,00:31:20,02:17:00,01:32:44,04:26:55,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
13,Timothy Winslow,12,MPRO,USA,00:25:31,02:15:46,01:39:40,04:26:56,Ironman 70.3 Eagleman,06/10/2018,"Cambridge, Maryland, USA
"
