Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Igor Amorelli,2,MPRO,BRA,00:23:40,02:08:17,01:17:49,03:52:30,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Tim Rea,14,MPRO,AUS,00:23:41,02:09:20,01:19:37,03:55:35,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
3,Paul Matthews,5,MPRO,AUS,00:23:38,02:10:05,01:23:56,04:00:09,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
4,Kevin Portmann,8,MPRO,FRA,00:27:29,02:12:13,01:21:37,04:04:22,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Team Eq3 M,4024,RELAY,ECU,00:25:25,02:21:07,01:25:46,04:16:24,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
5,Giovanny Marmol Ruiz,17,MPRO,ECU,00:26:50,02:23:07,01:23:15,04:16:35,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
6,Roberto Rivera,3,MPRO,CHL,00:26:48,02:21:52,01:25:42,04:18:04,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Christopher Portugal Reibel,1271,M25-29,PER,00:25:19,02:21:15,01:29:50,04:20:42,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Andres Arce,133,M30-34,PRY,00:28:38,02:22:12,01:26:07,04:21:18,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
7,Diego Vasquez,20,MPRO,ECU,00:27:51,02:21:24,01:29:37,04:22:29,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Diego Arteaga,134,M30-34,ECU,00:31:57,02:22:04,01:24:10,04:22:37,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Lauren Brandon,27,FPRO,USA,00:24:03,02:25:05,01:30:26,04:22:51,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Team Clinica DE Traumatologia Y Deporte,4016,RELAY,ECU,00:29:40,02:27:46,01:22:44,04:24:23,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Juan Andres Espinosa Haro,192,M18-24,ECU,00:29:15,02:25:08,01:29:26,04:27:27,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Jose Maria Ponce,182,M35-39,ECU,00:27:28,02:23:10,01:32:57,04:28:13,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Vladimir Figari,159,M45-49,PER,00:32:23,02:30:01,01:22:16,04:28:22,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Oscar Montero Vargas,178,M35-39,COL,00:29:13,02:27:30,01:26:36,04:28:26,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
3,Patricio Ordonez,893,M35-39,ECU,00:26:46,02:25:38,01:32:28,04:28:41,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
3,Pablo Leiva,137,M30-34,CHL,00:28:50,02:26:06,01:30:33,04:29:17,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Laurel Wassner,30,FPRO,USA,00:26:33,02:30:23,01:29:45,04:30:17,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
4,Cristian Salomon,1123,M30-34,COL,00:30:07,02:29:12,01:29:58,04:32:50,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
4,Luis Horna,175,M35-39,PER,00:33:33,02:26:50,01:28:41,04:33:29,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
5,Diego Velarde,1145,M30-34,PER,00:30:02,02:27:33,01:31:49,04:34:34,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Fernando Morales,1331,M25-29,COL,00:27:01,02:26:56,01:36:17,04:35:00,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Jorge Andres Carranza Palma,1260,M18-24,ECU,00:34:14,02:22:07,01:34:54,04:35:13,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
3,Roman Ismael Bravo Duenas,1263,M25-29,ECU,00:34:02,02:22:11,01:34:06,04:35:18,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Fernando Rinaldi,1267,M40-44,ARG,00:28:41,02:32:40,01:28:50,04:35:32,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
4,Francisco Javier Catalan De La Iglesia,1184,M25-29,ESP,00:32:03,02:27:54,01:31:33,04:36:09,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
5,Edison Fabian Jami Zapata,857,M35-39,ECU,00:32:27,02:28:56,01:29:29,04:36:11,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
5,Eric Mas,1214,M25-29,PER,00:27:21,02:31:25,01:33:19,04:36:19,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
6,Cristian Fernando Vela Arteaga,200,M25-29,ECU,00:34:29,02:23:43,01:33:41,04:36:26,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Santiago Portocarrero,1283,M40-44,PER,00:29:17,02:27:05,01:37:12,04:37:32,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
7,Tomas Ignacio Santa Cruz,199,M25-29,CHL,00:29:10,02:34:47,01:30:19,04:38:52,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Susana Guillen,120,F30-34,PAN,00:28:53,02:34:45,01:32:03,04:39:25,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
6,Guillermo Loor,263,M35-39,ECU,00:31:15,02:26:00,01:37:50,04:39:43,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
7,Johnny Eduardo Cuaran Narvaez,822,M35-39,ECU,00:30:49,02:31:36,01:32:39,04:39:51,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
8,Carlos Horacio Poggi B.,1264,M35-39,ECU,00:30:35,02:31:34,01:34:22,04:40:43,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
3,Kelsey Withrow,25,FPRO,USA,00:25:29,02:33:44,01:38:19,04:41:13,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
9,Martin Saenz,926,M35-39,ECU,00:39:22,02:32:56,01:24:32,04:41:20,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
6,Juan Carlos Santacruz Villarreal,1127,M30-34,ECU,00:32:35,02:31:44,01:34:04,04:41:43,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
3,Gonzalo Garcia,125,M40-44,ECU,00:34:36,02:30:40,01:33:20,04:42:53,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
8,Fabricio Avila Fuentes,1175,M25-29,ECU,00:31:07,02:30:11,01:37:24,04:42:55,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
9,Juan Pablo Coronado Delgado,195,M25-29,COL,00:33:10,02:30:07,01:34:05,04:42:57,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
7,Jose Rago,253,M30-34,ECU,00:37:49,02:23:16,01:35:54,04:43:14,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
10,Joseph Andrade De Luna,295,M35-39,ECU,00:30:53,02:29:29,01:38:26,04:43:25,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
8,Chrisstian Bernal Chavez,135,M30-34,COL,00:29:01,02:39:00,01:30:54,04:43:30,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Paola Gamboa,149,F30-34,ECU,00:30:33,02:33:52,01:35:20,04:43:46,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
11,Cristian Byron Bonilla Lescano,788,M35-39,ECU,00:35:58,02:30:19,01:30:53,04:43:49,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
9,Nabih Abuapara,971,M30-34,PER,00:31:59,02:33:09,01:34:16,04:43:52,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
10,Ivan Felipe Garzon Amortegui,1202,M25-29,COL,00:34:04,02:33:32,01:32:21,04:44:18,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
10,Sebastian Ruiz Carvajal,319,M30-34,ECU,00:30:58,02:35:48,01:34:48,04:45:39,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
3,Daniela Araujo,118,F30-34,PAN,00:31:22,02:35:48,01:34:58,04:45:45,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
4,Pamela Tastets,28,FPRO,CHL,00:28:09,02:40:15,01:33:45,04:45:46,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
12,Nicolas Rey,913,M35-39,ARG,00:30:25,02:35:40,01:35:27,04:46:20,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
11,Ruben Vera Hidalgo,189,M30-34,ECU,00:33:56,02:31:31,01:35:55,04:46:22,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
4,Ivan Veloso,172,M40-44,BRA,00:32:55,02:34:07,01:35:46,04:46:39,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
13,Santiago Carvajal,232,M35-39,ECU,00:30:58,02:33:04,01:38:41,04:46:45,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
5,Roberto Vergara Amaya,129,M40-44,ECU,00:37:25,02:30:46,01:35:00,04:48:59,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
3,Joaquin Emilio Santa Cruz Acevedo,258,M18-24,CHL,00:29:10,02:36:32,01:38:55,04:49:00,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
14,Christian Sacoto,925,M35-39,ECU,00:35:19,02:36:02,01:32:25,04:49:01,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
6,Pierre-Yves Guedez,126,M40-44,FRA,00:34:31,02:36:17,01:34:46,04:49:11,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
4,Pierangela Dezerega,119,F30-34,CHL,00:31:26,02:38:25,01:35:22,04:49:33,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
7,Fernando Saquicela,128,M40-44,ECU,00:28:26,02:32:47,01:44:13,04:49:33,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
15,Pablo Vallejo,132,M35-39,ECU,00:38:20,02:37:25,01:29:57,04:49:52,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
11,Byron Eduardo Robles Romero,198,M25-29,ECU,00:26:35,02:35:48,01:42:33,04:50:20,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
3,Team Mat,4062,RELAY,ECU,00:34:19,02:48:19,01:23:52,04:50:48,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
16,Marcelo Espinosa,834,M35-39,ECU,00:32:06,02:34:02,01:40:16,04:50:52,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
12,Javier Alvarado Cedeno,272,M25-29,ECU,00:36:17,02:26:43,01:44:14,04:52:29,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
12,Gonzalo Carrera Cruz,1002,M30-34,ECU,00:32:53,02:36:28,01:37:10,04:53:02,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
4,Team Tims-Ecuador,4096,RELAY,ECU,00:33:08,02:28:34,01:47:23,04:53:11,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
13,Oscar Erazo,1314,M30-34,ECU,00:26:18,02:50:42,01:32:23,04:53:33,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
14,David Alexander Zamora Mencias,191,M30-34,ECU,00:32:16,02:29:45,01:46:31,04:53:39,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Sergio Peretti,1265,M55-59,ARG,00:37:01,02:28:54,01:43:14,04:53:49,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
8,Hernan Illingworth,164,M40-44,ECU,00:32:46,02:35:07,01:42:06,04:53:51,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
13,Vinicius Bergstron,1178,M25-29,BRA,00:28:43,02:33:53,01:45:10,04:53:55,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
17,Fausto Bolano,1362,M35-39,ECU,00:32:40,02:44:28,01:31:16,04:54:28,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
15,Juan Francisco Vivero,190,M30-34,ECU,00:37:31,02:40:08,01:33:32,04:54:59,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
18,Alejandro Salazar Gomez,316,M35-39,ECU,00:28:54,02:34:45,01:45:20,04:55:15,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
19,Andres Paez,897,M35-39,ECU,00:39:54,02:28:38,01:39:39,04:55:25,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Daniel Moncayo,596,M45-49,ECU,00:37:11,02:38:11,01:35:46,04:55:28,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
9,Marcelo Cao,163,M40-44,ARG,00:36:08,02:44:22,01:30:32,04:55:46,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
20,Jose Washington Tapia Flor,183,M35-39,ECU,00:30:39,02:38:35,01:42:04,04:56:28,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
1,Arturo Bayly,157,M50-54,PER,00:33:28,02:42:26,01:36:02,04:57:02,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
21,Pedro Kam Paw Molina,863,M35-39,ECU,00:25:55,02:39:25,01:47:38,04:57:03,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
16,Oscar Benitez,242,M30-34,ECU,00:33:56,02:35:44,01:43:18,04:57:35,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
2,Marco Antonio Fernandez Diez,122,M55-59,CHL,00:36:21,02:37:27,01:38:46,04:57:38,Ironman 70.3 Ecuador,07/08/2018,"Manta, Ecuador
"
