Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Andreas Raelert,22,M PRO,DEU,00:13:53,02:22:18,01:15:11,03:55:21,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
2,Alessandro Degasperi,16,M PRO,ITA,00:14:13,02:27:41,01:16:08,04:02:15,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
3,Yvan Jarrige,15,M PRO,FRA,00:13:46,02:28:34,01:16:50,04:02:58,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
4,Elliot Smales,13,M PRO,GBR,00:13:08,02:29:13,01:18:08,04:04:35,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
5,Fraser Cartmell,1,M PRO,GBR,00:13:40,02:28:23,01:20:32,04:06:42,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
6,Martin Bader,23,M PRO,AUT,00:13:10,02:28:37,01:21:15,04:07:20,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
7,Colin Norris,9,M PRO,GBR,00:14:43,02:33:44,01:15:06,04:08:07,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Henry Irvine,376,M 25-29,GBR,00:17:24,02:28:02,01:19:26,04:09:10,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
8,Lachlan Kerin,8,M PRO,AUS,00:14:09,02:26:42,01:24:08,04:09:41,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
9,Albert Moreno Molins,10,M PRO,ESP,00:15:31,02:33:12,01:18:11,04:11:23,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
10,Toumy Degham,19,M PRO,FRA,00:14:14,02:28:03,01:26:19,04:12:36,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Chris Standidge,118,M 35-39,GBR,00:15:15,02:30:19,01:22:56,04:13:01,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
11,Kit Walker,14,M PRO,GBR,00:14:12,02:29:16,01:25:15,04:13:48,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
12,Pete Dyson,18,M PRO,GBR,00:17:29,02:30:35,01:23:41,04:16:33,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
13,Joris Buyl,21,M PRO,BEL,00:14:10,02:34:27,01:26:47,04:19:54,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
2,Peter Fenwick,756,M 35-39,GBR,00:16:46,02:34:49,01:24:50,04:21:22,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Emma Pallant,32,F PRO,GBR,00:16:32,02:40:15,01:21:56,04:23:17,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
2,Matti Weitz,50,M 25-29,DEU,00:17:13,02:36:18,01:26:48,04:25:06,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Mark Livesey,80,M 45-49,GBR,00:15:53,02:35:25,01:28:45,04:25:12,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Andrew Woodroffe,97,M 18-24,GBR,00:17:03,02:42:17,01:21:16,04:25:17,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
14,Richard Westover,7,M PRO,GBR,00:17:23,02:37:55,01:26:09,04:26:27,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
2,Lucy Gossage,30,F PRO,GBR,00:17:24,02:39:33,01:25:17,04:26:32,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
3,Richard Anderson,316,M 25-29,GBR,00:16:49,02:40:58,01:22:49,04:27:15,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
4,Neil Graham,99,M 25-29,GBR,00:20:36,02:37:57,01:23:31,04:28:05,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
5,Finlay Mcandrew,64,M 25-29,GBR,00:17:08,02:41:09,01:25:08,04:28:36,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
6,Michael Lavender,186,M 25-29,GBR,00:16:20,02:38:26,01:29:55,04:29:04,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
2,Robert Harrison,1268,M 45-49,GBR,00:18:43,02:39:00,01:27:20,04:30:05,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
3,Sarah Wahr,34,F PRO,USA,00:14:01,02:47:45,01:25:25,04:31:52,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
7,Sam Coxon,101,M 25-29,GBR,00:17:58,02:39:46,01:28:37,04:32:51,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
3,Tom Williams,897,M 35-39,GBR,00:17:31,02:41:54,01:28:56,04:33:14,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Andrew Macrae,635,M 30-34,GBR,00:17:19,02:44:11,01:25:42,04:33:16,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
2,Norman Banick,183,M 30-34,DEU,00:17:44,02:44:33,01:25:54,04:33:56,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
2,Rory Hunter,236,M 18-24,GBR,00:16:35,02:43:02,01:30:02,04:34:14,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
4,Raphael Vorpe,171,M 35-39,CHE,00:19:36,02:43:35,01:27:33,04:36:13,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Mark Arndt,156,M 40-44,GBR,00:18:34,02:44:20,01:29:52,04:37:33,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
3,Thomas Oberli,81,M 45-49,CHE,00:16:15,02:46:35,01:29:34,04:38:50,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
5,Dave Phillips,170,M 35-39,GBR,00:16:49,02:50:23,01:26:31,04:40:21,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
6,Matthew Blagg,172,M 35-39,GBR,00:21:29,02:48:05,01:25:22,04:40:57,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
4,Alice Hector,35,F PRO,GBR,00:15:48,02:50:37,01:29:38,04:41:06,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
2,Thomas Gafner,72,M 40-44,CHE,00:18:15,02:43:42,01:30:53,04:41:10,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
8,Mihai Alin Baractaru,65,M 25-29,ROU,00:17:56,02:49:41,01:26:30,04:41:14,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
3,Nigel Quaye,588,M 30-34,GBR,00:16:30,02:46:26,01:33:28,04:43:08,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
4,Stephen Ridley,580,M 30-34,GBR,00:23:54,02:44:35,01:28:50,04:43:36,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Team Optimised Environments,2120,ELAY,GBR,00:16:41,03:06:42,01:16:12,04:43:44,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
9,Daniel Cooper,300,M 25-29,GBR,00:16:18,02:43:27,01:37:46,04:43:57,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
3,Adam Chmielowski,1062,M 40-44,POL,00:16:17,02:49:51,01:32:45,04:44:05,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
5,Viktor Tarenenko,608,M 30-34,GBR,00:25:14,02:42:13,01:28:15,04:44:11,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
6,Michael Sinton,486,M 30-34,GBR,00:16:57,02:44:10,01:37:06,04:44:43,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
3,Luke Voss,210,M 18-24,GBR,00:15:23,02:51:24,01:32:38,04:45:04,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
7,Ryan Mclaughlin,75,M 35-39,ZAF,00:21:18,02:48:44,01:27:47,04:45:22,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
4,Mark Julier,71,M 40-44,GBR,00:18:56,02:44:20,01:36:13,04:45:48,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
7,Alan Blakie,62,M 30-34,GBR,00:18:31,02:50:41,01:30:41,04:45:53,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
5,Andrew Scott,1036,M 40-44,GBR,00:19:26,02:39:43,01:40:21,04:46:25,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
10,William Soutar,100,M 25-29,GBR,00:20:57,02:43:58,01:36:07,04:47:05,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Stuart Campbell,1490,M 50-54,GBR,00:21:58,02:52:33,01:27:36,04:47:51,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
4,Stuart Paterson,213,M 18-24,GBR,00:21:24,02:47:22,01:32:17,04:47:52,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
5,Aine Donegan,36,F PRO,IRL,00:18:34,02:50:33,01:34:52,04:48:23,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
6,Nigel Gaskin,70,M 40-44,GBR,00:15:25,02:58:43,01:29:05,04:48:36,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
8,Cole Drews,590,M 30-34,GBR,00:18:27,02:42:22,01:41:28,04:48:40,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
8,Conal Mcbride,909,M 35-39,IRL,00:17:44,02:56:05,01:30:12,04:49:16,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
7,Martin Kirwan,1191,M 40-44,IRL,00:21:56,02:49:12,01:30:26,04:50:31,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Anne Ewing,425,F 30-34,GBR,00:18:54,02:50:03,01:35:32,04:50:46,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
9,Chris Hutchinson,144,M 30-34,IRL,00:23:32,02:48:56,01:29:45,04:50:55,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
9,Frederik Boussy,121,M 35-39,BEL,00:16:35,02:49:20,01:37:49,04:50:57,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
8,George Noble,1009,M 40-44,GBR,00:22:08,02:43:27,01:38:41,04:50:57,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
10,John Lenehan,633,M 30-34,IRL,00:18:27,02:47:31,01:37:20,04:51:10,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
10,Thomas Knittel,642,M 30-34,DEU,00:21:14,02:56:34,01:25:46,04:51:10,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
1,Alice Jenkins,253,F 25-29,GBR,00:15:46,03:00:28,01:29:49,04:51:39,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
12,Thomas Baker,485,M 30-34,GBR,00:20:16,02:54:28,01:32:11,04:52:38,Ironman 70.3 Edinburgh,07/02/2017,"Edinburgh, Scotland"
