Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Juuso Manninen,50,M25-29,FIN,00:26:21,02:10:49,01:29:15,04:10:32,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Vesa Koskinen,92,M40-44,FIN,00:33:18,02:11:21,01:22:34,04:12:26,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Team Kel1,2015,MRELAY,FIN,00:26:56,02:13:01,01:28:48,04:13:10,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
2,Santeri Hänninen,184,M25-29,FIN,00:31:08,02:14:52,01:26:44,04:18:15,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Mateo Reddy,725,M18-24,SUI,00:30:51,02:14:32,01:30:39,04:21:17,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Kai Soderdahl,37,M50-54,FIN,00:30:13,02:19:59,01:25:56,04:21:23,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Jaakko Rantala,87,M35-39,FIN,00:31:39,02:19:53,01:26:47,04:24:31,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Joonas Hänninen,1770,M30-34,FIN,00:30:18,02:20:25,01:28:24,04:24:36,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
2,Timo Kanninen,1228,M40-44,FIN,00:31:45,02:16:06,01:31:33,04:25:08,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
3,Arttu Aaltonen,1154,M40-44,FIN,00:31:40,02:24:53,01:23:57,04:25:39,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
2,Heikki Jarva,78,M30-34,FIN,00:31:31,02:16:21,01:32:55,04:25:59,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
2,Team X-Tri Wild Animals,2051,MRELAY,FIN,00:32:29,02:22:06,01:28:06,04:27:07,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
2,Markus Kemetter,126,M50-54,FIN,00:29:45,02:21:04,01:31:56,04:28:01,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
4,Santtu Pyymäki,1289,M40-44,FIN,00:33:24,02:20:34,01:28:53,04:28:25,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
5,Pekka Ylitalo,1753,M40-44,FIN,00:34:08,02:23:39,01:25:52,04:29:07,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Esa Heinonen,53,M55-59,FIN,00:29:53,02:20:11,01:34:36,04:30:26,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
3,Matti Weitz,17,M30-34,GER,00:28:18,02:20:45,01:37:42,04:31:51,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
2,Jack Mevio,716,M18-24,ITA,00:30:26,02:29:04,01:27:15,04:32:41,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
2,Jari Mäkelä,84,M35-39,FIN,00:30:47,02:17:56,01:37:54,04:32:43,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Antero Manninen,380,M45-49,FIN,00:35:02,02:15:28,01:37:23,04:34:17,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
2,Daniel Henggeler,29,M45-49,SUI,00:33:11,02:23:43,01:31:54,04:34:29,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
6,Timo Rinne,1294,M40-44,FIN,00:31:35,02:23:16,01:34:21,04:34:41,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
4,Niccolò Pace,191,M30-34,ITA,00:31:28,02:24:16,01:33:04,04:35:13,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
5,Oskari Lehtovaara,909,M30-34,FIN,00:35:12,02:22:12,01:30:55,04:35:27,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Laura Jalasto,8,F40-44,FIN,00:31:37,02:25:04,01:33:41,04:35:50,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
7,Tommi Lindholm,214,M40-44,FIN,00:31:32,02:21:47,01:37:12,04:36:27,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
3,Ilkka Hurmansalo,1385,M45-49,FIN,00:37:31,02:21:16,01:32:17,04:36:53,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
6,Aleksi Eskelinen,857,M30-34,FIN,00:29:03,02:29:10,01:33:20,04:37:02,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
3,Mikael Myllymäki,800,M25-29,FIN,00:30:47,02:20:42,01:40:29,04:37:15,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Mirka Vahtera,326,F35-39,FIN,00:31:01,02:25:23,01:35:56,04:37:51,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
8,Peter Holm,91,M40-44,ALA,00:33:40,02:26:01,01:32:12,04:37:56,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
7,Liran Lahav,1771,M30-34,ISR,00:32:17,02:32:40,01:27:12,04:38:58,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
9,Rene Gruner,21,M40-44,GER,00:31:47,02:20:52,01:38:38,04:39:16,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
4,Anders Kanckos,777,M25-29,FIN,00:32:45,02:27:54,01:32:24,04:39:22,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
4,Teemu Mäkiniemi,109,M45-49,FIN,00:40:01,02:22:52,01:30:09,04:39:39,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
10,Kalle-Ville Luokola,1257,M40-44,FIN,00:32:56,02:21:35,01:38:33,04:40:22,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
11,Eero Heiskanen,262,M40-44,FIN,00:36:38,02:25:09,01:32:51,04:40:33,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
3,Antti Snicker,42,M35-39,FIN,00:37:58,02:22:06,01:33:56,04:40:43,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
3,Sebastian Fuchs,702,M18-24,AUT,00:29:40,02:27:58,01:37:19,04:41:24,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
1,Anni Antikainen,1726,F30-34,FIN,00:29:31,02:35:58,01:31:17,04:41:32,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
4,Guido Janssen,708,M18-24,NED,00:34:07,02:27:48,01:32:16,04:41:35,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
2,Meri Savolainen,472,F30-34,FIN,00:31:54,02:28:29,01:36:06,04:41:37,Ironman 70.3 Finland,07/03/2021,"Lahti, Finland"
