Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Daniel Baekkegård,44,M PRO,Denmark,00:23:19,02:04:13,01:13:20,03:45:37,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
2,Nicholas Kastelein,31,M PRO,AUS,00:23:17,02:04:04,01:16:09,03:48:06,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
3,Manuel Kueng,21,M PRO,CHE,00:23:16,02:03:50,01:18:10,03:50:06,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
4,Marcus Herbst,29,M PRO,DEU,00:27:17,02:04:35,01:18:22,03:54:45,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
5,Rasmus Svenningsson,41,M PRO,SWE,00:27:46,02:06:21,01:15:30,03:54:56,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
6,Colin Norris,34,M PRO,Great Britain,00:25:59,02:08:26,01:16:03,03:55:45,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
7,Kristian Rød,39,M PRO,NOR,00:28:17,02:13:07,01:16:08,04:02:36,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
8,Sigurdur Om Ragnarsson,35,M PRO,ISL,00:23:39,02:14:55,01:20:06,04:03:31,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
9,Fabian Dutli,25,M PRO,CHE,00:27:21,02:13:19,01:18:21,04:03:51,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
10,Petr Soukup,40,M PRO,CZE,00:26:00,02:18:48,01:16:26,04:06:01,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
11,Harry Palmer,36,M PRO,Great Britain,00:26:00,02:15:37,01:19:30,04:06:25,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
1,Tero Setola,161,M40-44,FIN,00:29:24,02:09:55,01:24:58,04:09:52,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
12,Fergus Roberts,38,M PRO,Great Britain,00:25:56,02:15:15,01:25:50,04:12:30,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
2,Sauli Haahtela,145,M40-44,FIN,00:29:17,02:09:56,01:27:56,04:12:42,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
1,John Borton,835,M30-34,Great Britain,00:32:16,02:17:08,01:17:59,04:14:09,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
13,Ilkka Utriainen,43,M PRO,FIN,00:28:08,02:18:20,01:22:51,04:14:45,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
1,Santeri Hänninen,224,M25-29,FIN,00:30:55,02:13:54,01:23:28,04:15:12,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
2,Juuso Manninen,117,M25-29,FIN,00:27:42,02:13:52,01:29:49,04:16:31,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
14,Nathan Groch,27,M PRO,AUS,00:27:34,02:17:07,01:27:31,04:17:14,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
2,Umberto Baracchi,827,M30-34,ITA,00:34:18,02:16:24,01:20:06,04:17:32,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
1,India Lee,2,F PRO,Great Britain,00:26:45,02:20:36,01:25:31,04:17:54,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
15,Breno Melo,33,M PRO,USA,00:30:18,02:23:16,01:21:02,04:19:58,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
3,Alexey Nikulin,266,M40-44,RUS,00:26:32,02:21:55,01:26:04,04:20:53,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
2,Katrina Rye,12,F PRO,Great Britain,00:29:01,02:22:36,01:24:33,04:21:07,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
1,Mikko Laine,284,M45-49,FIN,00:29:59,02:20:20,01:25:13,04:21:27,Ironman 70.3 Finland,06/29/2019,"Lahti, Finland"
