Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Igor Amorelli,1,MPRO,BRA,00:23:51,02:02:01,01:17:10,03:46:22,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
2,Yvan Jarrige,6,MPRO,FRA,00:24:02,02:10:23,01:12:07,03:49:46,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
3,Bruno Matheus,7,MPRO,BRA,00:23:46,02:10:31,01:14:09,03:51:38,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
4,Iuri Vinuto,9,MPRO,BRA,00:25:12,02:10:02,01:14:22,03:52:38,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
5,Luis Henrique Ohde,8,MPRO,BRA,00:23:55,02:10:13,01:22:12,03:59:48,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
6,Santiago Ascenço,2,MPRO,BRA,00:25:44,02:08:34,01:24:05,04:01:36,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
7,Eduardo Lass,15,MPRO,BRA,00:23:53,02:13:33,01:22:28,04:03:27,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
8,Gabriel Klein,10,MPRO,BRA,00:26:54,02:18:46,01:14:13,04:03:47,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
1,Miguel Morone,544,M35-39,BRA,00:00:00,17:27:31,04:04:09,04:04:09,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
2,Marcos Calcic,1129,M35-39,BRA,00:27:32,02:14:35,01:17:44,04:05:38,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
1,Arthur Ferraz,799,M40-44,BRA,00:25:11,02:16:36,01:22:47,04:08:47,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
9,Felipe Manente,3,MPRO,BRA,00:27:13,02:14:41,01:23:36,04:09:13,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
10,Marcus Fernandes,13,MPRO,BRA,00:23:52,02:26:29,01:15:34,04:09:16,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
3,Brasilio Vicente De Castro Neto,777,M35-39,BRA,00:25:39,02:17:34,01:22:19,04:10:36,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
1,Matheus Salto Martini,1557,M25-29,BRA,00:24:21,02:19:17,01:23:47,04:12:12,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
2,William Graca,1553,M25-29,BRA,00:28:37,02:15:43,01:24:59,04:13:47,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
3,Ranniery Camilo Damaciano,1495,M25-29,BRA,00:27:10,02:16:57,01:26:29,04:14:58,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
2,Bruno Khouri,1710,M40-44,BRA,00:27:21,02:16:27,01:27:21,04:15:07,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
3,Clodoaldo Oliveira,338,M40-44,BRA,00:30:04,02:20:38,01:20:29,04:15:31,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
4,Alan Lima,622,M40-44,BRA,00:28:50,02:20:15,01:22:18,04:15:41,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
5,Azarias Feitosa Junior,310,M40-44,BRA,00:27:23,02:18:02,01:25:30,04:15:42,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
6,Rangel Rodrigues,124,M40-44,BRA,00:30:56,02:20:07,01:19:39,04:16:33,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
4,Ricardo Morais Machado,568,M35-39,BRA,00:29:06,02:19:32,01:23:27,04:16:39,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
1,Bruno Monteiro,1086,M30-34,BRA,00:26:17,02:23:18,01:22:42,04:17:33,Ironman 70.3 Florianopolis,04/27/2019,"Florianopolis, Brazil"
