Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Igor Amorelli,1,MPRO,BRA (BRAZIL),00:23:15,02:03:03,01:17:08,03:46:46,Ironman 70.3 Florianopolis,04/22/2018,"Florianopolis, Brazil"
2,Tim Odonnell,3,MPRO,USA (UNITED STATES OF AMERICA),00:22:49,02:08:15,01:15:27,03:50:22,Ironman 70.3 Florianopolis,04/22/2018,"Florianopolis, Brazil"
3,Iuri Vinuto,9,MPRO,BRA (BRAZIL),00:23:09,02:12:48,01:12:33,03:51:49,Ironman 70.3 Florianopolis,04/22/2018,"Florianopolis, Brazil"
4,Santiago Ascenço,2,MPRO,BRA (BRAZIL),00:25:24,02:12:39,01:11:26,03:52:58,Ironman 70.3 Florianopolis,04/22/2018,"Florianopolis, Brazil"
5,Fernando Toldi,5,MPRO,BRA (BRAZIL),00:23:17,02:07:48,01:19:37,03:54:20,Ironman 70.3 Florianopolis,04/22/2018,"Florianopolis, Brazil"
6,Luiz Francisco Paiva Ferreira,13,MPRO,BRA (BRAZIL),00:22:45,02:09:07,01:22:52,03:58:26,Ironman 70.3 Florianopolis,04/22/2018,"Florianopolis, Brazil"
7,Bruno Joaquim,12,MPRO,BRA (BRAZIL),00:22:45,02:08:04,01:24:04,03:58:36,Ironman 70.3 Florianopolis,04/22/2018,"Florianopolis, Brazil"
1,Kid Walter Tlaija,308,M30-34,BRA (BRAZIL),00:27:57,02:17:42,01:16:17,04:06:01,Ironman 70.3 Florianopolis,04/22/2018,"Florianopolis, Brazil"
1,José Belarmino,241,M40-44,BRA (BRAZIL),00:24:27,02:15:07,01:22:13,04:06:43,Ironman 70.3 Florianopolis,04/22/2018,"Florianopolis, Brazil"
8,Felipe Manente,6,MPRO,BRA (BRAZIL),00:27:07,02:15:35,01:20:30,04:06:58,Ironman 70.3 Florianopolis,04/22/2018,"Florianopolis, Brazil"
