Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Bart Aernouts,33,MPRO,BEL,00:01:38,01:47:35,01:13:02,03:02:51,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
2,Matthew Hanson,1,MPRO,USA,00:27:52,02:04:42,01:10:37,03:48:20,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
3,Andreas Dreitz,2,MPRO,DEU,00:27:28,01:58:38,01:17:28,03:49:04,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
4,Jackson Laundry,3,MPRO,CAN,00:26:51,02:03:37,01:15:16,03:51:19,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
5,Bradley Weiss,28,MPRO,ZAF,00:28:05,02:02:46,01:15:48,03:52:36,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
6,Filipe Azevedo,23,MPRO,PRT,00:27:24,02:03:14,01:18:04,03:54:38,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
7,Santiago Ascenco,39,MPRO,BRA,00:27:48,02:04:25,01:17:08,03:55:14,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
8,Ivan Rana,14,MPRO,ESP,00:27:26,02:05:50,01:18:24,03:57:12,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
9,Joe Skipper,5,MPRO,GBR,00:28:22,02:00:43,01:23:45,03:58:53,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
10,Taylor Reid,4,MPRO,CAN,00:27:36,02:04:37,01:22:49,04:01:03,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
11,Fernando Toldi,29,MPRO,BRA,00:27:29,02:16:54,01:18:56,04:08:32,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
12,Daniel Rodriguez,27,MPRO,ESP,00:29:57,02:14:00,01:20:17,04:10:54,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
13,Andres Chirinos Soto,25,MPRO,PER,00:30:56,02:12:53,01:25:25,04:15:39,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
14,Marty Andrie,35,MPRO,USA,00:27:38,02:12:21,01:30:01,04:15:50,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
1,Miguel Mattox,1303,M25-29,USA,00:27:59,02:16:47,01:23:56,04:16:50,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
2,Bryan Mooney,371,M25-29,USA,00:31:44,02:20:08,01:18:23,04:17:05,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
15,Alexander Khalamanov,34,MPRO,RUS,00:26:29,02:18:18,01:26:27,04:17:26,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
1,Davis Frease,271,M30-34,USA,00:28:02,02:14:13,01:28:49,04:18:26,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
1,Emma Pallant,63,FPRO,GBR,00:28:34,02:17:54,01:26:35,04:18:47,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
2,Brendan Martin,1183,M30-34,USA,00:31:59,02:24:22,01:17:59,04:20:19,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
3,Yannick Fischbach,386,M30-34,USA,00:33:14,02:14:50,01:23:36,04:20:34,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
2,Lesley Smith,66,FPRO,USA,00:28:56,02:23:02,01:24:13,04:23:05,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
1,Josh Eaton,236,M35-39,USA,00:29:40,02:19:32,01:27:24,04:23:27,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
4,Oscar Nino,221,M30-34,VEN,00:32:20,02:19:20,01:28:09,04:27:02,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
3,Matt Jackson,258,M25-29,USA,00:32:22,02:22:06,01:25:47,04:27:30,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
3,Heather Jackson,72,FPRO,USA,00:30:32,02:17:25,01:34:05,04:27:41,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
2,Steven Lowenthal,256,M35-39,GTM,00:30:33,02:25:39,01:23:47,04:28:08,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
1,Michael Fitzpatrick,259,M40-44,USA,00:32:28,02:19:32,01:28:35,04:28:36,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
16,Josiah Leuenberger,22,MPRO,USA,00:32:08,02:15:57,01:33:06,04:28:43,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
4,Crisman Jones,882,M25-29,USA,00:32:51,02:21:35,01:26:23,04:28:46,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
1,Karel Sumbal,255,M45-49,USA,00:32:47,02:23:38,01:25:21,04:29:23,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
2,Jose Graca,245,M45-49,USA,00:32:06,02:14:55,01:36:04,04:29:32,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
5,Scott Smith,505,M25-29,USA,00:32:40,02:20:03,01:29:30,04:29:37,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
17,Michiel De Wilde,11,MPRO,NLD,00:28:52,02:10:32,01:44:18,04:30:01,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
3,Jaime Delage,1645,M35-39,ESP,00:34:09,02:21:59,01:26:32,04:30:02,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
4,John Seddon,745,M35-39,USA,00:28:28,02:17:23,01:37:21,04:31:16,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
4,Mollie Hebda,80,FPRO,USA,00:28:54,02:23:03,01:33:09,04:31:56,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
-,Team Triangle Of Dominance For Bethany #a,4047,RELAY,USA,00:29:23,02:28:23,01:26:52,04:32:10,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
6,Joscar Duque,1099,M25-29,USA,00:30:27,02:26:00,01:28:49,04:32:23,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
7,Shawn O'Malley,514,M25-29,USA,00:32:43,02:21:11,01:30:17,04:32:30,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
8,Anthony Didion,1330,M25-29,USA,00:35:12,02:22:03,01:28:08,04:32:43,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
5,Simone Mitchell,79,FPRO,USA,00:30:29,02:23:21,01:32:58,04:33:17,Ironman 70.3 Florida,04/18/2021,"Haines City, Florida, USA"
