Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Daniel Stubleski,1652,M40-44,USA,00:31:11,02:12:30,01:24:13,04:12:46,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
1,Marcelo Moreira,182,M30-34,BRA,00:27:19,02:12:05,01:27:55,04:13:14,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
1,Ignacio Lopez Mancisidor,1607,M35-39,ESP,00:30:47,02:14:55,01:29:16,04:19:49,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
2,Nick Cosman,31,M35-39,CAN,00:30:10,02:12:48,01:36:41,04:24:19,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
2,Rafael Sousa,50,M40-44,BRA,00:26:05,02:12:50,01:40:58,04:25:01,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
2,Josh Eaton,71,M30-34,USA,00:29:17,02:18:41,01:33:16,04:25:24,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
3,James Hallberg,1642,M40-44,USA,00:30:54,02:16:06,01:35:03,04:27:20,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
4,Karel Sumbal,51,M40-44,CZE,00:32:16,02:22:23,01:27:49,04:27:33,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
5,Cheyenne Barraez,43,M40-44,USA,00:33:43,02:18:16,01:30:56,04:27:44,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
3,Aaron Kolk,75,M30-34,USA,00:35:24,02:14:51,01:32:42,04:28:08,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
-,Team Mark Jordan'S Team,4043,RELAY,USA,00:33:04,02:20:48,01:30:40,04:28:29,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
4,Gustavo Borges,70,M30-34,BRA,00:26:12,02:19:59,01:38:02,04:28:33,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
5,DJ Snyder,1695,M30-34,USA,00:31:43,02:20:20,01:33:25,04:29:30,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
6,Samuel Burkett,44,M40-44,USA,00:31:03,02:21:46,01:32:09,04:29:39,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
3,Andre Bellaguarda,280,M35-39,BRA,00:33:45,02:20:03,01:31:09,04:29:44,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
7,Luis Pou,1651,M40-44,PRI,00:34:26,02:23:28,01:29:03,04:32:08,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
1,Jordan Green,277,M25-29,USA,00:30:13,02:22:27,01:35:32,04:32:44,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
1,Jonathan Staton,1699,M18-24,USA,00:32:01,02:20:11,01:37:09,04:33:38,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
6,Julien Zutter,1456,M30-34,FRA,00:26:16,02:21:42,01:41:11,04:34:05,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
2,Griffin Jaworski,195,M25-29,USA,00:34:21,02:25:44,01:28:21,04:34:07,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
8,Jone Costa,139,M40-44,BRA,00:30:11,02:18:42,01:40:21,04:34:25,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
4,Jason Ramdeen,107,M35-39,JAM,00:36:21,02:25:40,01:29:43,04:35:52,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
5,Joao Victor De Oliveira Terceiro,34,M35-39,BRA,00:35:49,02:20:03,01:35:23,04:36:11,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
7,Michael Stanek,80,M30-34,USA,00:32:14,02:14:49,01:44:46,04:37:08,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
6,Teylor Arboleda,486,M35-39,VEN,00:26:33,02:24:02,01:42:01,04:37:35,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
7,Thiago Sardinha,33,M35-39,BRA,00:36:33,02:21:45,01:35:09,04:38:07,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
8,Enrico Cimador,1687,M30-34,ITA,00:28:34,02:25:46,01:38:05,04:38:31,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
9,Adam Kassem,1397,M30-34,USA,00:36:31,02:23:42,01:32:54,04:38:31,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
8,Julien Schoenborn,108,M35-39,CAN,00:39:43,02:21:59,01:32:02,04:38:39,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
9,Aubrey Aldy,483,M35-39,USA,00:34:37,02:22:49,01:36:49,04:39:11,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
9,Cristiano Santos,242,M40-44,BRA,00:36:02,02:21:20,01:35:17,04:40:04,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
10,Leo Hobi,551,M35-39,BRA,00:28:07,02:26:08,01:41:10,04:40:31,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
10,Chris Johnson,46,M40-44,USA,00:33:51,02:26:15,01:36:35,04:41:42,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
10,Paul Zychowicz,187,M30-34,USA,00:32:54,02:19:24,01:45:09,04:41:57,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
11,Francisco Marcelo Brandao JR,1601,M35-39,BRA,00:35:06,02:26:02,01:34:20,04:42:29,Ironman 70.3 Florida,04/14/2019,"Haines City, Florida, USA"
