Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Sam Appleton,1,MPRO,Australia,00:23:02,02:05:28,01:14:03,03:45:53,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
2,Josh Amberger,2,MPRO,Australia,00:22:35,02:05:49,01:15:31,03:47:22,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
3,Ryan Fisher,5,MPRO,Australia,00:22:34,02:05:57,01:17:17,03:49:09,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
4,Jake Montgomery,3,MPRO,Australia,00:23:58,02:04:25,01:17:54,03:49:57,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
5,Jack Tierney,16,MPRO,Australia,00:23:06,02:05:20,01:20:19,03:52:18,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
6,Lachlan Kerin,8,MPRO,Australia,00:23:56,02:04:19,01:22:36,03:54:40,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
1,Team Beckworth Racing,1502,MRELAYTEAMS,Australia,00:24:32,02:19:07,01:12:43,03:59:50,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
2,Team Beckworth Racing A Team,1503,MRELAYTEAMS,Australia,00:22:22,02:17:04,01:19:26,04:02:31,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
7,Levi Maxwell,10,MPRO,Australia,00:25:49,02:17:01,01:17:23,04:03:27,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
8,Samuel Tebeck,15,MPRO,Australia,00:25:51,02:14:59,01:19:33,04:04:01,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
9,Fraser Walsh,17,MPRO,Australia,00:23:59,02:14:48,01:21:49,04:04:24,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
10,James Davy,6,MPRO,Australia,00:23:52,02:14:51,01:22:55,04:05:17,Ironman 70.3 Geelong,02/18/2018,"Geelong, Victoria, Australia"
