Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Bishworjit Saikhom,46,M25-29,India,00:30:51,02:36:17,01:31:10,04:42:44,Ironman 70.3 Goa,10/20/2019,"Goa, India"
2,Nihal Baig,60,M25-29,India,00:45:16,02:31:56,01:24:15,04:47:46,Ironman 70.3 Goa,10/20/2019,"Goa, India"
1,Mahesh Lourembam,37,M18-24,India,00:30:57,02:36:06,01:40:24,04:52:03,Ironman 70.3 Goa,10/20/2019,"Goa, India"
1,Pablo Erat,1,M45-49,Switzerland,00:30:54,02:24:24,01:56:17,04:56:24,Ironman 70.3 Goa,10/20/2019,"Goa, India"
2,Pankaj Ravalu,2,M18-24,India,00:38:11,02:34:49,01:38:40,04:57:53,Ironman 70.3 Goa,10/20/2019,"Goa, India"
1,Scott Wilson,15,M40-44,Australia,00:37:29,02:33:55,01:58:39,05:15:43,Ironman 70.3 Goa,10/20/2019,"Goa, India"
1,Christopher Wheeler,318,M30-34,United Kingdom,00:39:02,02:46:55,01:45:46,05:18:09,Ironman 70.3 Goa,10/20/2019,"Goa, India"
2,Arjun Kandikuppa,9,M30-34,India,00:37:26,02:46:17,01:49:04,05:19:38,Ironman 70.3 Goa,10/20/2019,"Goa, India"
3,Nitish Kulkarni,949,M18-24,India,00:36:56,02:46:36,01:52:20,05:23:28,Ironman 70.3 Goa,10/20/2019,"Goa, India"
2,Denis Crassier,5,M45-49,France,00:43:36,02:34:12,02:02:49,05:26:50,Ironman 70.3 Goa,10/20/2019,"Goa, India"
4,Ujjwal Anand,25,M18-24,India,00:42:38,02:44:22,01:54:08,05:27:32,Ironman 70.3 Goa,10/20/2019,"Goa, India"
2,Vinay Asrani,3,M40-44,India,00:38:11,02:49:56,01:52:29,05:27:33,Ironman 70.3 Goa,10/20/2019,"Goa, India"
1,Susheel Chand,366,M35-39,India,00:43:20,02:54:13,01:41:44,05:27:53,Ironman 70.3 Goa,10/20/2019,"Goa, India"
3,Glenn Ikeda,595,M40-44,Canada,00:40:40,02:52:51,01:48:02,05:28:42,Ironman 70.3 Goa,10/20/2019,"Goa, India"
3,Rishabh Singh,129,M25-29,India,00:46:03,02:47:09,01:54:33,05:35:31,Ironman 70.3 Goa,10/20/2019,"Goa, India"
3,Ronak Pradhan,271,M30-34,India,00:47:16,02:50:44,01:50:51,05:35:39,Ironman 70.3 Goa,10/20/2019,"Goa, India"
4,Alwin Saraswat,12,M30-34,Austria,00:39:43,02:45:35,02:04:02,05:35:49,Ironman 70.3 Goa,10/20/2019,"Goa, India"
3,Kenji Katsuragi,10,M45-49,Japan,00:42:11,02:53:02,01:54:08,05:37:05,Ironman 70.3 Goa,10/20/2019,"Goa, India"
2,Gaurav Chauhan,16,M35-39,India,00:45:37,02:53:48,01:51:08,05:38:39,Ironman 70.3 Goa,10/20/2019,"Goa, India"
5,Anirudh Ravichandran,44,M18-24,India,00:48:22,02:49:34,01:53:25,05:39:06,Ironman 70.3 Goa,10/20/2019,"Goa, India"
5,Ankush Gupta,212,M30-34,India,00:43:17,02:48:47,02:00:21,05:40:53,Ironman 70.3 Goa,10/20/2019,"Goa, India"
