Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Peng Cheng Li,39,M25-29,China,00:26:54,02:23:35,01:20:05,04:15:04,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
1,Thomas Haibel,251,M35-39,Germany,00:29:02,02:25:52,01:26:28,04:26:09,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
1,성재 박,1714,MINELIGIBLE,Korea Republic of,00:28:26,02:27:32,01:28:36,04:29:06,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
1,Min Namkung,6,M18-24,Korea Republic of,00:27:16,02:29:05,01:28:12,04:29:24,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
1,Wojciech Odzimek,651,M40-44,Poland,00:29:13,02:20:54,01:36:04,04:29:55,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
2,호섭 이,1718,MINELIGIBLE,Korea Republic of,00:28:21,02:30:33,01:27:00,04:30:23,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
2,Hoon Choi,459,M40-44,Korea Republic of,00:31:00,02:29:47,01:25:33,04:30:52,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
3,Changhyun Park,661,M40-44,Korea Republic of,00:31:31,02:29:35,01:25:26,04:32:04,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
4,정열 김,746,M40-44,Korea Republic of,00:31:44,02:36:30,01:18:34,04:32:04,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
2,Wonseok Jeong,271,M35-39,Korea Republic of,00:31:02,02:28:58,01:27:42,04:32:30,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
5,Jess Ripper,689,M40-44,Japan,00:27:22,02:29:34,01:32:38,04:34:16,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
1,Roman Trubetskoy,184,M30-34,Russian Federation,00:30:12,02:37:00,01:22:51,04:34:25,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
6,Young Hoon Kim,578,M40-44,Korea Republic of,00:32:58,02:30:26,01:27:13,04:36:07,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
3,홍락 이,1719,MINELIGIBLE,Korea Republic of,00:27:43,02:26:53,01:37:20,04:36:13,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
3,Myeung Jin Oh,374,M35-39,Korea Republic of,00:33:27,02:31:16,01:26:17,04:36:32,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
4,Dominic Edmondson,246,M35-39,United Kingdom,00:30:22,02:35:48,01:25:15,04:37:11,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
4,창연 이,1717,MINELIGIBLE,Korea Republic of,00:23:11,02:38:19,01:27:59,04:37:24,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
7,Hyoungjin Park,664,M40-44,Korea Republic of,00:32:26,02:30:31,01:25:01,04:37:26,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
2,Junghyun Park,162,M30-34,Korea Republic of,00:31:09,02:32:52,01:28:45,04:37:49,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
8,승한 백,750,M40-44,Korea Republic of,00:32:48,02:28:59,01:30:07,04:37:53,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
1,Yongho Park,1034,M45-49,Korea Republic of,00:30:21,02:29:05,01:33:08,04:38:23,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
3,Kyle Sole,178,M30-34,South Africa,00:30:11,02:28:47,01:35:19,04:38:26,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
9,Martin Drueke,477,M40-44,Georgia,00:33:33,02:33:49,01:25:25,04:39:42,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
5,Dave Robati,399,M35-39,Cook Islands,00:26:13,02:37:51,01:31:43,04:40:22,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
2,Il Hwan Oh,1012,M45-49,Korea Republic of,00:32:17,02:29:04,01:31:42,04:40:48,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
5,대호 하,1722,MINELIGIBLE,Korea Republic of,00:30:13,02:34:22,01:30:57,04:40:54,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
4,Young Wook Jeon,92,M30-34,Korea Republic of,00:32:55,02:29:44,01:33:14,04:41:10,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
5,Matthias Hoffmann,88,M30-34,Germany,00:35:22,02:38:50,01:18:58,04:42:47,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
6,Taehwan Ahn,70,M30-34,Korea Republic of,00:31:55,02:30:46,01:34:52,04:42:49,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
3,Hyunkyu Joo,857,M45-49,Korea Republic of,00:32:43,02:30:22,01:36:13,04:43:08,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
10,Mark Lee,617,M40-44,Hong Kong,00:34:42,02:35:14,01:27:26,04:44:35,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
1,Jung Hyun Cho,1340,M55-59,Korea Republic of,00:32:25,02:30:31,01:35:31,04:44:58,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
7,Minsoo Park,164,M30-34,Korea Republic of,00:34:29,02:26:53,01:31:06,04:45:34,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
2,Jo Friedmann,12,M25-29,Norway,00:26:19,02:35:19,01:39:17,04:46:21,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
11,Sung Jin Park,684,M40-44,Korea Republic of,00:31:50,02:31:00,01:39:00,04:46:30,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
3,Yuu Hattori,17,M25-29,Japan,00:34:51,02:28:56,01:31:26,04:46:37,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
12,Jong Kyung Kim,553,M40-44,Korea Republic of,00:34:09,02:29:12,01:37:52,04:47:12,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
4,Taegu Kang,888,M45-49,Korea Republic of,00:29:11,02:38:17,01:34:15,04:47:27,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
1,Kwang Soo Park,1275,M50-54,Korea Republic of,00:36:18,02:30:12,01:34:24,04:47:30,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
2,Dong Hwan Kim,1378,M55-59,Korea Republic of,00:39:06,02:26:14,01:35:49,04:47:34,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
13,Gabriel Harley,489,M40-44,United States,00:34:43,02:36:48,01:30:10,04:48:10,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
6,Ha Young Park,380,M35-39,Korea Republic of,00:31:45,02:34:11,01:33:09,04:48:22,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
3,Seung Ryul Baek,1338,M55-59,Korea Republic of,00:38:07,02:29:36,01:34:34,04:48:48,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
7,Alexander Bogdanov,222,M35-39,Russian Federation,00:29:08,02:35:15,01:39:35,04:49:07,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
8,Chang-Ki Ahn,211,M35-39,Korea Republic of,00:35:54,02:33:15,01:32:42,04:49:24,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
8,Seung Hwan Lee,146,M30-34,Korea Republic of,00:31:51,02:35:46,01:36:49,04:50:37,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
5,Wong Siu Yuen,1056,M45-49,Hong Kong,00:37:31,02:40:05,01:27:56,04:50:50,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
4,민준 김,64,M25-29,Korea Republic of,00:35:39,02:27:03,01:40:33,04:50:50,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
2,Thomas Hardcastle,1151,M50-54,Hong Kong,00:33:24,02:40:20,01:32:57,04:50:52,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
14,Jea-Kyung Choi,463,M40-44,Korea Republic of,00:33:20,02:28:25,01:37:36,04:51:09,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
15,Francis Lam,591,M40-44,Hong Kong,00:34:07,02:42:40,01:29:36,04:52:21,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
9,Jinil Kim,124,M30-34,Korea Republic of,00:32:54,02:39:08,01:35:02,04:52:23,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
9,Stanley Chow,241,M35-39,Japan,00:34:23,02:35:18,01:34:46,04:52:48,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
3,O-Jin Kim,1217,M50-54,Korea Republic of,00:32:27,02:40:20,01:34:28,04:53:16,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
10,Doo Hun Lee,338,M35-39,Korea Republic of,00:34:44,02:32:08,01:36:53,04:53:23,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
10,Jinwon Pak,157,M30-34,Korea Republic of,00:35:47,02:36:38,01:36:36,04:54:04,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
5,Junho Ryu,52,M25-29,Korea Republic of,00:33:16,02:43:33,01:31:27,04:54:17,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
16,Soohee Lee,624,M40-44,Korea Republic of,00:36:20,02:36:16,01:33:25,04:54:31,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
11,Youri Lavoine,334,M35-39,Japan,00:30:41,02:32:30,01:45:53,04:54:37,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
6,봉준 안,1716,MINELIGIBLE,Korea Republic of,00:29:59,02:47:55,01:31:53,04:54:55,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
6,Hyun Joong Kang,882,M45-49,Korea Republic of,00:36:02,02:34:04,01:38:46,04:55:14,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
17,Byung Soo Koo,584,M40-44,Korea Republic of,00:33:58,02:41:09,01:34:45,04:55:20,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
18,Siu Kai Gary Yeung,724,M40-44,Hong Kong,00:32:03,02:30:49,01:40:21,04:55:27,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
7,창훈 한,1115,M45-49,Korea Republic of,00:36:47,02:42:24,01:31:15,04:55:40,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
1,Team Team Yoda,1733,MRELAY,Korea Republic of,00:35:50,02:41:18,01:34:52,04:56:06,Ironman 70.3 Goseong Korea,05/26/2019,"Goseong, Korea"
