Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Ernesto Espinoza,21,M 35-39,CRI,00:24:43,02:28:10,01:22:04,04:22:28,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
1,Grigorios Souvatzoglou,8,M 30-34,GRC,00:22:02,02:25:54,01:27:46,04:23:36,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
1,Dimitris Lekkos,954,M 40-44,GRC,00:27:59,02:24:48,01:24:47,04:25:44,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
2,Edgars Cimermanis,161,M 30-34,LVA,00:28:04,02:31:19,01:19:02,04:27:15,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
1,Stephan Radeck,529,M 25-29,DEU,00:24:37,02:28:56,01:24:54,04:27:26,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
2,Enrico Pastore,993,M 40-44,ITA,00:22:58,02:30:26,01:25:59,04:27:49,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
3,Stephan Kröller,16,M 30-34,DEU,00:21:57,02:29:21,01:29:08,04:28:31,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
2,Diego Ribao,90,M 35-39,ESP,00:29:12,02:31:46,01:20:02,04:28:40,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
3,Mark Styles,22,M 35-39,GBR,00:29:01,02:31:53,01:19:56,04:29:01,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
4,Nicolas Boivin,12,M 30-34,FRA,00:25:38,02:33:42,01:22:23,04:29:50,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
1,Graham Baxter,42,M 50-54,GBR,00:26:37,02:26:04,01:29:17,04:30:28,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
5,Niccoló Bombonati,76,M 30-34,ITA,00:27:11,02:28:39,01:26:44,04:31:09,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
6,Michael Garantie,587,M 30-34,FRA,00:26:20,02:30:16,01:25:15,04:31:11,"Ironman 70.3 Greece, Costa Navarino",04/14/2019,"Greece, Costa Navarino"
