Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Stepinski,60,M30-34,USA,00:24:46,02:01:19,01:21:12,03:51:08,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
1,Keith Jackson,361,M25-29,USA,00:30:21,02:08:37,01:19:52,04:03:18,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
1,John Reed,450,M18-24,USA,00:25:15,02:18:47,01:16:59,04:04:20,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
2,Matthew Marquardt,1067,M18-24,USA,00:24:12,02:11:32,01:25:35,04:05:44,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
2,Juan Calle,493,M30-34,USA,00:28:23,02:11:02,01:25:10,04:07:53,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
1,Robert Skaggs,624,M55-59,USA,00:28:32,02:15:53,01:21:17,04:09:40,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
1,DJ Snyder,1164,M35-39,USA,00:28:27,02:15:37,01:23:41,04:11:24,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
3,Alexander Fuller,36,M30-34,USA,00:30:19,02:13:20,01:23:38,04:11:48,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
4,Derek Stone,470,M30-34,USA,00:28:23,02:21:17,01:20:21,04:14:09,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
5,Chris Loy,356,M30-34,USA,00:31:06,02:12:18,01:28:16,04:15:22,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
6,Patrick Ciquera,1018,M30-34,USA,00:37:19,02:12:58,01:19:51,04:16:22,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
1,Brice Williams,1223,M45-49,USA,00:28:28,02:14:45,01:30:07,04:16:45,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
3,Vincent Putrino,452,M18-24,USA,00:27:31,02:30:00,01:17:26,04:18:37,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
2,Adam Zucco,1351,M45-49,USA,00:28:02,02:17:31,01:27:46,04:19:25,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
4,Parker Kerth,1123,M18-24,USA,00:34:16,02:19:39,01:18:47,04:19:55,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
7,Enrico Cimador,370,M30-34,USA,00:27:32,02:20:14,01:28:48,04:21:01,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
2,Louis-William Liebig,432,M35-39,USA,00:29:25,02:14:06,01:33:44,04:21:30,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
2,Read Ziegler,1008,M25-29,USA,00:28:32,02:20:31,01:27:02,04:21:33,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
3,Anka Tezcan,414,M25-29,USA,00:33:09,02:18:48,01:24:13,04:21:51,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
3,Dan Arlandson,944,M45-49,USA,00:29:41,02:14:07,01:32:23,04:22:14,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
8,Kurt Barnhill,497,M30-34,USA,00:30:55,02:21:48,01:27:13,04:24:48,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
1,Marcelo Cao,427,M40-44,ARG,00:35:05,02:15:54,01:27:51,04:24:53,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
1,Chad Albright,109,M50-54,USA,00:32:20,02:20:57,01:27:15,04:25:55,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
9,Andrew Lashlee,303,M30-34,USA,00:31:11,02:12:24,01:40:11,04:26:47,Ironman 70.3 Gulf Coast,05/15/2021,"Panama City Beach, Florida, USA"
