Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Marius Elvedal,666,M30-34,NOR,00:24:45,02:23:40,01:19:24,04:12:08,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
1,Finn Arentz,14,M18-24,GBR,00:24:54,02:25:23,01:21:26,04:16:50,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
1,Erik Marki Bjorli,450,M45-49,NOR,00:29:03,02:24:19,01:20:05,04:19:03,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
1,Fredrik Linge,5,M35-39,NOR,00:29:31,02:23:46,01:22:19,04:19:46,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
2,Joshua Hodge,308,M30-34,DEN,00:27:48,02:29:52,01:19:00,04:22:30,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
2,Jan-Morten Ra,660,M35-39,NOR,00:26:12,02:26:07,01:24:09,04:22:36,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
3,Torjus Kolnes,678,M30-34,NOR,00:27:17,02:25:42,01:25:27,04:23:15,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
3,Bård Ole Thorsen,685,M35-39,NOR,00:28:27,02:24:13,01:26:08,04:23:39,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
1,Cyril Pochon,428,M40-44,FRA,00:25:58,02:29:11,01:22:50,04:24:36,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
1,Robert Budge,238,M25-29,NZL,00:27:43,02:30:07,01:21:10,04:24:59,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
4,Christian Nordkvelde,20,M30-34,NOR,00:26:27,02:24:50,01:28:47,04:25:22,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
2,Lucas Maréchet,622,M25-29,FRA,00:26:41,02:33:39,01:21:57,04:28:00,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
-,Mad Men ,811,URELAY,NOR,00:33:28,02:26:28,01:24:37,04:28:24,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
2,Siebe Meeus,222,M18-24,BEL,00:30:21,02:27:38,01:27:06,04:29:22,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
5,Torsten Holz,301,M30-34,GER,00:26:02,02:34:22,01:27:30,04:32:59,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
6,Roderick Van Zuylen,23,M30-34,NED,00:26:51,02:23:35,01:37:43,04:33:12,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
7,Rasmus Lindhardt Birkelid,661,M30-34,NOR,00:29:07,02:29:35,01:28:39,04:33:36,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
1,Renè Gjøg,510,M50-54,DEN,00:27:00,02:26:57,01:34:03,04:33:57,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
4,Eirik Johannessen,650,M35-39,KOS,00:30:03,02:35:00,01:22:34,04:34:00,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
5,Anton Vdovin,29,M35-39,RUS,00:30:13,02:29:41,01:27:07,04:35:13,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
3,Christian Bjerkreim,48,M25-29,NOR,00:27:59,02:35:06,01:26:50,04:35:31,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
2,Bjørnar Evensen,636,M45-49,NOR,00:24:53,02:30:45,01:34:09,04:36:10,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
6,Florian Hubrich,27,M35-39,GER,00:32:31,02:28:10,01:28:58,04:36:13,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
8,Evgeniy Kuznetsov,311,M30-34,RUS,00:30:42,02:31:00,01:27:26,04:36:22,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
2,Daniel Hektoen,669,M40-44,NOR,00:31:03,02:24:30,01:35:46,04:36:35,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
9,Aleksander Olszewski,326,M30-34,POL,00:29:25,02:28:01,01:34:09,04:36:41,Ironman 70.3 Haugesund,06/30/2019,"Haugesund, Norway"
