Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Allan Hovda,567,M 30-34,NOR,00:27:31,02:13:36,01:20:12,04:06:22,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
1,Hans Christian Tungesvik,3,M 25-29,NOR,00:27:33,02:21:04,01:17:38,04:10:59,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
2,Erlend Skippervik Saetre,7,M 30-34,NOR,00:27:38,02:27:19,01:15:35,04:15:28,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
1,Odd Arne Engesaeter,10,M 35-39,NOR,00:36:24,02:16:26,01:16:09,04:15:52,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
3,Tor-Aanen Kallekleiv,636,M 30-34,NOR,00:33:49,02:16:43,01:21:10,04:17:24,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
4,Stian Sandtorv,5,M 30-34,NOR,00:29:26,02:18:35,01:25:21,04:19:14,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
2,Martin Karlsen,86,M 25-29,NOR,00:31:17,02:22:21,01:22:28,04:22:05,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
3,Mathias Høgenes Oppegaard,448,M 25-29,NOR,00:29:36,02:23:17,01:23:38,04:23:10,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
4,Andreas Kattem Husøy,420,M 25-29,NOR,00:31:56,02:22:23,01:24:08,04:23:56,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
5,Christian Nordkvelde,40,M 30-34,NOR,00:30:34,02:20:29,01:27:46,04:24:16,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
1,Tobias Thørnquist Jacobsen,363,M 18-24,NOR,00:30:06,02:17:39,01:31:04,04:24:42,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
1,Bjornar Lunde,105,M 45-49,NOR,00:31:02,02:22:53,01:23:40,04:25:21,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
6,Rasmus Lindhardt Birkelid,41,M 30-34,NOR,00:30:36,00:54:55,02:54:39,04:26:18,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
5,Kristoffer Angerer,433,M 25-29,NOR,00:35:00,02:19:31,01:26:04,04:27:08,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
2,André Johnsen Navjord,364,M 18-24,NOR,00:31:29,02:21:05,01:28:51,04:27:26,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
1,Svein Glomnes,1032,M 50-54,NOR,00:31:20,02:28:04,01:17:18,04:28:01,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
7,Alexander Ask,8,M 30-34,NOR,00:33:18,02:24:11,01:23:57,04:28:42,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
1,Michael Morris,893,M 40-44,GBR,00:32:47,02:29:45,01:18:57,04:28:45,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
6,Svein Stormyr,450,M 25-29,NOR,00:30:34,02:23:42,01:29:55,04:28:50,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
8,Sebastian Bömer,39,M 30-34,DEU,00:26:15,00:56:14,03:01:25,04:29:12,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
2,Kristian Meyer Solvang,669,M 35-39,NOR,00:30:38,02:24:19,01:28:29,04:29:48,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
2,Even Chiodera,14,M 45-49,NOR,00:35:35,00:55:00,02:53:32,04:29:51,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
7,Eystein Relling,473,M 25-29,NOR,00:28:07,02:27:11,01:29:44,04:30:25,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
3,Geir Føleide,660,M 35-39,NOR,00:31:51,02:30:25,01:22:17,04:30:41,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
9,Fredrik Linge,614,M 30-34,NOR,00:30:12,02:26:33,01:27:32,04:30:48,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
2,Johan Harris-Christensen,852,M 40-44,NOR,00:32:13,02:23:38,01:28:12,04:31:15,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
10,Pavel Laputjov,44,M 30-34,NOR,00:31:25,02:29:33,01:23:29,04:31:18,Ironman 70.3 Haugesund,07/02/2017,"Haugesund, Norway"
