Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Justin Riele,1388,M25-29,USA,00:29:08,02:08:53,01:26:37,04:12:29,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
2,Devin Volk,1588,M25-29,USA,00:30:15,02:18:05,01:21:12,04:15:45,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
1,Manuel Huerta,647,M35-39,PRI,00:28:03,02:22:31,01:28:13,04:24:57,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
2,Tom De Bruyn,387,M35-39,BEL,00:32:26,02:13:40,01:31:22,04:25:36,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
1,David Wild,1120,M30-34,USA,00:29:45,02:15:19,01:33:45,04:26:02,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
3,Kiel Bur,187,M35-39,USA,00:31:24,02:24:33,01:27:24,04:31:20,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
3,Michael Mueller,1268,M25-29,USA,00:35:41,02:23:05,01:25:19,04:31:43,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
4,Scott Tonder,1277,M35-39,USA,00:32:05,02:24:20,01:28:31,04:32:34,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
1,Angel Rodriguez,338,M18-24,CAN,00:27:25,02:23:06,01:33:00,04:33:02,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
5,Adam Goulet,517,M35-39,USA,00:32:01,02:20:13,01:31:23,04:33:14,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
1,Jose Graca,523,M45-49,BRA,00:31:44,02:15:17,01:40:31,04:35:22,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
2,Juan Calle,140,M30-34,COL,00:30:53,02:21:30,01:35:35,04:35:58,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
3,George Hoffmann,480,M30-34,USA,00:33:20,02:18:40,01:37:34,04:36:03,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
1,Jason Smith,1481,M40-44,USA,00:31:15,02:25:26,01:34:11,04:37:45,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
6,Nicholas Brown,177,M35-39,USA,00:30:10,02:23:05,01:36:52,04:38:59,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
4,Colton Douda,848,M25-29,USA,00:27:42,02:27:50,01:37:18,04:40:44,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
4,Sean Mahoney,590,M30-34,USA,00:25:44,02:21:06,01:45:53,04:41:07,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
5,Jamie Woodbury,1140,M30-34,CAN,00:31:30,02:22:54,01:44:03,04:46:20,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
2,Diego Gelos,481,M40-44,ARG,00:40:16,02:26:43,01:32:27,04:47:33,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
7,Daniel Raleigh,1077,M35-39,USA,00:42:10,02:26:36,01:28:38,04:48:08,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
6,Anthony Chan,170,M30-34,USA,00:38:37,02:27:33,01:35:02,04:48:35,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
3,Ryan Seguine,1411,M40-44,USA,00:38:10,02:25:19,01:36:29,04:49:36,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
4,Alexander Hoover,691,M40-44,USA,00:36:56,02:25:13,01:39:25,04:50:00,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
7,Adam Rich,870,M30-34,USA,00:36:09,02:31:14,01:34:19,04:50:01,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
5,Edward O'Malley,1161,M40-44,USA,00:35:46,02:30:44,01:35:16,04:50:17,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
2,Christian Perreira,1073,M45-49,USA,00:35:13,02:30:52,01:36:26,04:51:00,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
8,Javier Sanchez Arjonaaguado,1117,M35-39,ESP,00:33:15,02:33:33,01:36:33,04:51:12,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
9,Brian Lambert,817,M35-39,USA,00:34:53,02:30:20,01:38:36,04:51:26,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
10,Kyle Visin,1337,M35-39,USA,00:29:35,02:32:45,01:44:26,04:53:58,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
3,Christian Waterstraat,1573,M45-49,USA,00:33:12,02:29:38,01:41:36,04:54:13,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
5,Diego Blanton,718,M25-29,USA,00:38:40,02:33:19,01:32:12,04:54:21,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
4,Carlos Cosoli,233,M45-49,ARG,00:35:03,02:34:20,01:38:19,04:55:21,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
6,Rodrigo Tome,1641,M40-44,BRA,00:34:56,02:29:50,01:42:03,04:55:53,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
11,Carlos Poggi B.,1047,M35-39,ECU,00:38:50,02:24:51,01:42:47,04:56:16,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
5,Ciaran Byrne,193,M45-49,IRL,00:37:39,02:35:11,01:34:59,04:56:47,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
8,Federico Aradillas,50,M30-34,MEX,00:42:04,02:33:49,01:32:54,04:57:17,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
9,Philip Billikopf,110,M30-34,CHL,00:35:28,02:33:03,01:39:48,04:57:34,Ironman 70.3 Hawaii,06/05/2021,"Kohala Coast, Hawaii, USA"
