Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Chuck Perreault,1674,M45-49,CAN,00:26:42,02:18:21,01:32:12,04:21:46,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
2,Ritch Viola,1662,M45-49,USA,00:26:36,02:18:31,01:34:52,04:24:51,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
1,Jorge Fuentes,1304,M35-39,MEX,00:26:24,02:23:15,01:30:57,04:25:19,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
2,Brett Tingay,1373,M35-39,NZL,00:26:29,02:24:18,01:31:45,04:26:27,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
3,Markku Toiviainen,237,M45-49,FIN,00:29:52,02:21:42,01:29:44,04:26:55,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
3,Nicholas Brown,41,M35-39,USA,00:27:26,02:24:11,01:31:01,04:27:03,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
1,David Wild,49,M30-34,USA,00:28:26,02:25:13,01:29:16,04:27:38,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
2,Wesley Schiller,272,M30-34,USA,00:28:03,02:18:57,01:36:40,04:28:44,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
1,Jose Graca,39,M40-44,BRA,00:29:27,02:23:09,01:31:28,04:28:59,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
3,Jordan Bethke,1663,M30-34,USA,00:28:12,02:17:10,01:41:08,04:30:55,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
1,Michael Latifi,51,M25-29,CAN,00:34:09,02:30:30,01:26:21,04:35:36,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
2,James Hotson,1682,M25-29,USA,00:29:23,02:24:25,01:37:38,04:36:29,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
4,Patrick Ellison,855,M45-49,USA,00:31:52,02:23:56,01:34:57,04:36:39,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
5,Kim Gillard,869,M45-49,AUS,00:35:49,02:23:57,01:31:13,04:37:14,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
6,Mike Neill,923,M45-49,CAN,00:32:27,02:28:06,01:31:15,04:37:24,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
4,Bradley Kuper-Smith,1677,M35-39,USA,00:28:09,02:24:40,01:41:44,04:39:07,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
1,Eric Hodska,636,M50-54,USA,00:29:40,02:26:27,01:38:17,04:39:51,Ironman 70.3 Hawaii,06/02/2018,"Kohala Coast, Hawaii, USA"
