Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
-,Alessio Matarazzo,2032,RELAY,,00:19:53,02:12:40,01:15:58,03:53:52,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
-,Carmine Marulli,2021,RELAY,,00:24:38,02:12:03,01:14:08,03:55:24,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
-,Alexandre De Acetis,2043,RELAY,,00:22:32,02:14:42,01:22:41,04:05:24,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
1,Tommy Aleksandersen,1163,M40,NOR,00:22:50,02:08:35,01:33:54,04:11:25,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
1,Fabio Pruiti,1129,M30,ITA,00:23:05,02:19:14,01:25:50,04:14:15,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
2,Roberto Ruiz Sedano,547,M30,ESP,00:26:01,02:18:16,01:24:53,04:15:11,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
-,Mikhail Petrochenko,2023,RELAY,,00:23:35,02:16:48,01:30:54,04:15:51,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
1,Mikaël Gaudin,108,M35,SUI,00:23:12,02:27:05,01:20:06,04:16:59,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
1,Lorenzo Felici,125,M25,ITA,00:27:09,02:22:24,01:22:25,04:17:28,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
3,Andrea Recagno,1141,M30,ITA,00:23:20,02:23:29,01:26:37,04:18:47,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
4,Folker Schwesinger,552,M30,GER,00:23:13,02:20:03,01:29:02,04:19:26,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
2,Alessio Piccioni,137,M35,ITA,00:26:00,02:19:04,01:29:13,04:19:52,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
3,Julien Plumer,138,M35,FRA,00:26:02,02:14:32,01:34:36,04:21:51,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
4,Alessio Morellato,658,M35,ITA,00:21:25,02:27:18,01:28:16,04:22:15,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
5,Anatoliy Uspenskyy,107,M30,UKR,00:24:43,02:25:44,01:27:29,04:23:50,Ironman 70.3 Italy,06/10/2018,"Pescara, Italy
"
