Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Sascha Hubbert,257,M 25,GER,00:30:51,02:05:14,01:20:33,04:03:14,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
1,Nicolas Herbau,1200,M 35,FRA,00:28:31,02:11:29,01:16:53,04:04:00,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
1,Lorenzo Delco,754,M 18,SUI,00:29:31,02:11:38,01:16:59,04:04:41,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
2,Baptiste Neuhaus,768,M 18,SUI,00:27:34,02:15:22,01:21:32,04:11:07,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
2,Adria Tècul,105,M 25,ESP,00:28:24,02:14:46,01:21:05,04:11:58,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
3,Patrick Benz,255,M 25,SUI,00:26:25,02:17:55,01:21:12,04:12:13,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
2,Alessio Morellato,167,M 35,ITA,00:23:24,02:26:22,01:18:20,04:14:32,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
3,Aldo Zgraggen,113,M 35,SUI,00:29:05,02:13:32,01:25:03,04:14:34,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
1,Jan Mynar,107,M 30,CZE,00:28:39,02:15:07,01:24:15,04:15:08,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
1,Alessandro Tomaiuolo,123,M 45,ITA,00:27:14,02:20:13,01:20:59,04:15:17,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
4,Fabian Flores,817,M 25,GUA,00:25:32,02:20:19,01:21:38,04:15:27,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
2,Stefano Valente,1068,M 30,ITA,00:27:11,02:19:55,01:23:50,04:17:08,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
5,Edoardo Felici,104,M 25,ITA,00:29:19,02:15:11,01:26:13,04:17:36,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
1,Pier Alberto Buccoliero,3002,M TR,ITA,00:45:42,02:23:20,00:59:09,04:17:41,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
3,Christian Zöllner,1088,M 30,GER,00:31:39,02:19:52,01:19:33,04:18:47,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
1,Cristian Casali,1372,M 40,ITA,00:29:00,02:23:52,01:19:34,04:20:05,Ironman 70.3 Italy Emilia-Romagna,09/22/2019,"Cervia, Italy
"
