Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Iwabuchi Chino,989,FPRO,JPN,00:34:27,01:38:46,01:19:55,04:14:09,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
1,Team Zona14,1112,RELAY,JPN,00:41:07,01:32:59,01:18:52,04:15:07,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
1,Kimiko Uji,998,F35-39,JPN,00:35:52,01:50:53,01:23:45,04:16:18,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
1,Takamine Naomi,988,F30-34,JPN,00:30:03,01:52:22,01:23:41,04:17:57,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
1,Hirayanagi Mizuki,981,F25-29,JPN,00:40:29,01:44:02,01:24:41,04:19:36,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
1,Kubota Rena,972,F18-24,JPN,00:46:59,01:29:44,01:27:04,04:19:59,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
2,Ichikawa Noriko,997,F35-39,JPN,00:41:31,01:28:12,01:29:20,04:20:36,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
1,Ohmura Tomoko,1053,F55-59,JPN,00:51:40,01:32:02,01:30:41,04:20:54,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
2,Noriko Kumehara,986,F30-34,JPN,00:44:10,01:35:04,01:29:31,04:21:44,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
2,Team Freeman＋とこなめrc,1075,RELAY,JPN,00:37:22,01:30:09,01:21:25,04:24:57,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
2,Midori Kurobane,1062,F55-59,JPN,00:49:28,01:32:36,01:35:46,04:25:20,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
3,Martin Sarah,991,F35-39,IRL,00:47:57,01:27:31,01:32:55,04:25:30,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
3,Team △ミサイル,1100,RELAY,JPN,00:29:48,01:48:47,01:29:53,04:25:49,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
1,Shirato Ayako,1043,F50-54,JPN,00:44:58,01:27:20,01:35:10,04:26:24,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
4,Team Go！田村b,1103,RELAY,JPN,00:29:18,01:46:07,01:36:37,04:26:52,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
5,Team 名古屋トヨペットl&v,1097,RELAY,JPN,01:03:57,01:01:54,01:21:48,04:27:01,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
4,Suzuki Saho,993,F35-39,JPN,00:57:56,01:20:28,01:26:35,04:27:10,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
1,Fujishiro Ken,895,M60-64,JPN,00:49:21,01:54:09,01:18:38,04:29:13,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
6,Team ネアカ,1115,RELAY,JPN,00:52:30,01:06:46,01:40:38,04:30:13,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
7,Team Eguchi,1102,RELAY,JPN,00:57:45,01:08:42,01:32:22,04:30:16,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
8,Team R758,1106,RELAY,JPN,00:33:43,01:40:18,01:32:46,04:31:00,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
2,Kobayashi Kenro,926,M60-64,JPN,00:43:21,01:35:43,01:31:19,04:31:13,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
1,Watanabe Mizuki,821,M55-59,JPN,00:49:45,01:30:35,01:32:19,04:31:14,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
5,Teraki Sawako,994,F35-39,JPN,00:39:48,01:40:18,01:31:25,04:31:40,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
3,Kawakami Yumiko,1056,F55-59,JPN,00:46:46,01:35:06,01:35:30,04:31:45,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
9,Team カミハギアスリートクラブ,1114,RELAY,JPN,00:38:58,01:36:15,01:33:39,04:32:16,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
1,Takako Inui,1011,F40-44,JPN,00:53:58,01:19:01,01:43:18,04:32:33,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
10,Team セントレア,1082,RELAY,JPN,00:39:54,01:35:13,01:25:40,04:33:14,Ironman 70.3 Japan,10/18/2020,"Centrair Tokoname, Japan"
